Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:34:00,LONG,10:20:00,ASIANPAINT,3346.05,3339.65,10:34:00,29885,,-191264.0000000027,-191264.0000000027,99808736.0
2021-12-28 10:42:00,SHORT,10:35:00,ASIANPAINT,3341.65,3339.0,10:42:00,29868,,79150.20000000272,-112113.79999999999,99887886.19999999
2021-12-28 10:44:00,SHORT,10:43:00,ASIANPAINT,3339.7,3338.1,10:44:00,29909,,47854.39999999728,-64259.40000000271,99935740.60000001
2021-12-28 10:54:00,LONG,10:46:00,ASIANPAINT,3338.85,3339.85,10:54:00,29931,,29931.0,-34328.40000000271,99965671.60000001
2021-12-28 11:09:00,SHORT,10:55:00,ASIANPAINT,3341.0,3347.0,11:09:00,29920,,-179520.0,-213848.4000000027,99786151.60000002
2021-12-28 11:14:00,LONG,11:10:00,ASIANPAINT,3346.0,3350.0,11:14:00,29822,,119288.0,-94560.4000000027,99905439.60000002
2021-12-28 11:19:00,SHORT,11:15:00,ASIANPAINT,3352.0,3348.2,11:19:00,29804,,113255.20000000542,18694.800000002724,100018694.80000003
2021-12-28 11:41:00,SHORT,11:20:00,ASIANPAINT,3351.4,3351.0,11:41:00,29843,,11937.200000002715,30632.00000000544,100030632.00000003
2021-12-28 11:43:00,LONG,11:42:00,ASIANPAINT,3347.25,3351.0,11:43:00,29884,,112065.0,142697.00000000544,100142697.00000003
2021-12-28 11:55:00,LONG,11:44:00,ASIANPAINT,3349.3,3350.85,11:55:00,29899,,46343.44999999184,189040.44999999728,100189040.45000002
2021-12-28 12:06:00,SHORT,11:56:00,ASIANPAINT,3352.65,3355.2,12:06:00,29883,,-76201.64999999185,112838.80000000543,100112838.80000004
2021-12-28 12:20:00,LONG,12:08:00,ASIANPAINT,3353.0,3356.95,12:20:00,29857,,117935.14999999457,230773.95,100230773.95000003
2021-12-28 12:26:00,SHORT,12:21:00,ASIANPAINT,3356.7,3354.6,12:26:00,29859,,62703.89999999729,293477.8499999973,100293477.85000004
2021-12-28 12:32:00,LONG,12:27:00,ASIANPAINT,3354.05,3355.5,12:32:00,29902,,43357.89999999456,336835.74999999185,100336835.75000003
2021-12-28 12:40:00,SHORT,12:33:00,ASIANPAINT,3355.7,3355.0,12:40:00,29900,,20929.99999999456,357765.74999998644,100357765.75000003
2021-12-28 12:42:00,SHORT,12:41:00,ASIANPAINT,3355.8,3355.0,12:42:00,29905,,23924.00000000544,381689.74999999185,100381689.75000003
2021-12-28 12:45:00,LONG,12:43:00,ASIANPAINT,3355.0,3357.0,12:45:00,29920,,59840.0,441529.74999999185,100441529.75000003
