Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:43:00,LONG,10:20:00,AXISBANK,675.8,673.4,10:43:00,147972,,-355132.7999999966,-355132.7999999966,99644867.2
2021-12-28 10:48:00,SHORT,10:44:00,AXISBANK,673.5,673.15,10:48:00,147950,,51782.50000000336,-303350.29999999324,99696649.69999999
2021-12-28 10:51:00,LONG,10:49:00,AXISBANK,672.9,673.35,10:51:00,148159,,66671.55000000674,-236678.7499999865,99763321.25
2021-12-28 11:04:00,SHORT,10:52:00,AXISBANK,673.5,673.8,11:04:00,148126,,-44437.799999993265,-281116.5499999798,99718883.45
2021-12-28 11:09:00,LONG,11:05:00,AXISBANK,673.5,674.2,11:09:00,148060,,103642.00000000674,-177474.54999997304,99822525.45
2021-12-28 11:40:00,SHORT,11:10:00,AXISBANK,674.4,675.1,11:40:00,148016,,-103611.20000000673,-281085.74999997974,99718914.24999999
2021-12-28 11:55:00,LONG,11:41:00,AXISBANK,675.05,674.65,11:55:00,147720,,-59087.99999999664,-340173.74999997637,99659826.24999999
2021-12-28 12:20:00,SHORT,11:56:00,AXISBANK,674.9,675.3,12:20:00,147666,,-59066.39999999664,-399240.149999973,99600759.84999998
2021-12-28 12:23:00,SHORT,12:21:00,AXISBANK,676.0,675.65,12:23:00,147338,,51568.30000000335,-347671.84999996965,99652328.14999996
2021-12-28 12:28:00,LONG,12:24:00,AXISBANK,675.45,675.9,12:28:00,147534,,66390.29999998993,-281281.54999997973,99718718.44999994
2021-12-28 12:33:00,LONG,12:29:00,AXISBANK,675.7,675.8,12:33:00,147578,,14757.799999986579,-266523.74999999313,99733476.24999993
2021-12-28 12:46:00,SHORT,12:34:00,AXISBANK,675.75,676.15,12:46:00,147589,,-59035.599999996644,-325559.3499999898,99674440.64999995
2021-12-28 12:50:00,SHORT,12:47:00,AXISBANK,676.55,676.1,12:50:00,147327,,66297.14999998995,-259262.19999999984,99740737.79999994
2021-12-28 12:53:00,LONG,12:51:00,AXISBANK,675.85,676.25,12:53:00,147578,,59031.19999999664,-200231.0000000032,99799768.99999994
2021-12-28 12:55:00,SHORT,12:54:00,AXISBANK,676.3,676.0,12:55:00,147567,,44270.09999999329,-155960.90000000992,99844039.09999993
2021-12-28 12:59:00,LONG,12:56:00,AXISBANK,675.9,676.4,12:59:00,147720,,73860.0,-82100.90000000992,99917899.09999993
2021-12-28 13:03:00,SHORT,13:00:00,AXISBANK,676.85,675.95,13:03:00,147621,,132858.89999999665,50757.99999998673,100050757.99999993
2021-12-28 13:14:00,LONG,13:04:00,AXISBANK,675.65,675.85,13:14:00,148080,,29616.000000006734,80373.99999999347,100080373.99999993
2021-12-28 13:20:00,LONG,13:15:00,AXISBANK,675.65,675.8,13:20:00,148124,,22218.599999996633,102592.5999999901,100102592.59999992
2021-12-28 13:43:00,SHORT,13:21:00,AXISBANK,676.35,675.65,13:43:00,148004,,103602.80000000673,206195.39999999682,100206195.39999995
2021-12-28 14:03:00,SHORT,13:44:00,AXISBANK,675.95,676.15,14:03:00,148244,,-29648.79999998989,176546.60000000693,100176546.59999996
2021-12-28 14:12:00,LONG,14:04:00,AXISBANK,676.0,676.6,14:12:00,148190,,88914.00000000338,265460.60000001034,100265460.59999996
2021-12-28 14:28:00,LONG,14:13:00,AXISBANK,676.2,676.15,14:28:00,148277,,-7413.850000010114,258046.75000000023,100258046.74999996
2021-12-28 14:33:00,SHORT,14:29:00,AXISBANK,676.1,675.65,14:33:00,148288,,66729.60000000674,324776.35000000696,100324776.34999995
2021-12-28 14:50:00,LONG,14:34:00,AXISBANK,675.6,674.35,14:50:00,148497,,-185621.25,139155.10000000696,100139155.09999995
2021-12-28 14:53:00,SHORT,14:51:00,AXISBANK,674.25,673.7,14:53:00,148519,,81685.44999999325,220840.55000000022,100220840.54999995
2021-12-28 14:55:00,SHORT,14:54:00,AXISBANK,674.1,674.0,14:55:00,148673,,14867.30000000338,235707.85000000361,100235707.84999996
2021-12-28 15:21:00,SHORT,14:56:00,AXISBANK,674.7,675.35,15:21:00,148563,,-96565.94999999662,139141.900000007,100139141.89999999
2021-12-28 15:29:00,LONG,15:22:00,AXISBANK,675.3,675.45,15:29:00,148288,,22243.200000013487,161385.1000000205,100161385.10000001
2021-12-29 09:16:00,LONG,09:15:00,AXISBANK,672.6,674.25,09:16:00,148916,,245711.39999999662,407096.5000000171,100407096.5
2021-12-29 09:25:00,SHORT,09:17:00,AXISBANK,675.5,677.15,09:25:00,148641,,-245257.64999999662,161838.8500000205,100161838.85000001
2021-12-29 09:44:00,SHORT,09:26:00,AXISBANK,677.3,678.0,09:44:00,147884,,-103518.80000000673,58320.05000001377,100058320.05000001
2021-12-29 09:54:00,SHORT,09:45:00,AXISBANK,678.3,678.15,09:54:00,147513,,22126.949999996647,80447.00000001042,100080446.99999999
2021-12-29 10:20:00,LONG,09:55:00,AXISBANK,678.0,675.75,10:20:00,147611,,-332124.75,-251677.74999998958,99748322.24999999
2021-12-29 10:22:00,LONG,10:21:00,AXISBANK,675.3,676.0,10:22:00,147709,,103396.30000000671,-148281.44999998287,99851718.55
2021-12-29 10:34:00,SHORT,10:23:00,AXISBANK,676.0,675.3,10:34:00,147709,,103396.30000000671,-44885.14999997616,99955114.85000002
2021-12-29 10:42:00,LONG,10:35:00,AXISBANK,674.75,676.3,10:42:00,148136,,229610.79999999327,184725.6500000171,100184725.65000002
2021-12-29 10:48:00,SHORT,10:43:00,AXISBANK,676.3,675.5,10:48:00,148136,,118508.79999999327,303234.4500000104,100303234.45000002
2021-12-29 11:18:00,LONG,10:49:00,AXISBANK,675.4,674.75,11:18:00,148509,,-96530.84999999663,206703.60000001374,100206703.60000002
2021-12-29 11:31:00,SHORT,11:19:00,AXISBANK,674.85,675.05,11:31:00,148487,,-29697.39999998987,177006.20000002388,100177006.20000002
2021-12-29 11:37:00,SHORT,11:32:00,AXISBANK,675.2,675.05,11:37:00,148366,,22254.900000013495,199261.10000003738,100199261.10000004
2021-12-29 11:42:00,SHORT,11:38:00,AXISBANK,675.1,675.15,11:42:00,148421,,-7421.049999993251,191840.0500000441,100191840.05000006
2021-12-29 11:53:00,LONG,11:43:00,AXISBANK,674.95,675.65,11:53:00,148443,,103910.09999998988,295750.150000034,100295750.15000005
2021-12-29 11:56:00,SHORT,11:54:00,AXISBANK,675.25,675.2,11:56:00,148531,,7426.549999993245,303176.70000002725,100303176.70000003
2021-12-29 11:58:00,SHORT,11:57:00,AXISBANK,675.45,675.15,11:58:00,148498,,44549.40000001013,347726.1000000374,100347726.10000004
2021-12-29 12:02:00,LONG,11:59:00,AXISBANK,675.15,675.5,12:02:00,148630,,52020.500000003376,399746.6000000408,100399746.60000004
2021-12-29 12:21:00,LONG,12:03:00,AXISBANK,675.0,674.3,12:21:00,148740,,-104118.00000000677,295628.600000034,100295628.60000004
