Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:54:00,LONG,10:21:00,BHARTIARTL,680.65,680.75,10:54:00,146918,,14691.80000000334,14691.80000000334,100014691.8
2021-12-28 11:05:00,SHORT,10:55:00,BHARTIARTL,680.65,680.35,11:05:00,146939,,44081.69999999332,58773.49999999666,100058773.49999997
2021-12-28 11:18:00,SHORT,11:06:00,BHARTIARTL,680.75,680.65,11:18:00,146983,,14698.300000003343,73471.8,100073471.79999997
2021-12-28 11:21:00,SHORT,11:20:00,BHARTIARTL,682.0,681.1,11:21:00,146735,,132061.49999999665,205533.29999999667,100205533.29999995
2021-12-28 11:24:00,SHORT,11:22:00,BHARTIARTL,681.5,681.2,11:24:00,147036,,44110.799999993316,249644.09999999,100249644.09999995
2021-12-28 11:27:00,LONG,11:25:00,BHARTIARTL,681.15,681.55,11:27:00,147177,,58870.799999996656,308514.89999998664,100308514.89999995
2021-12-28 11:29:00,LONG,11:28:00,BHARTIARTL,681.3,681.95,11:29:00,147231,,95700.1500000134,404215.05000000005,100404215.04999995
2021-12-28 11:43:00,SHORT,11:30:00,BHARTIARTL,681.8,681.7,11:43:00,147263,,14726.299999986606,418941.34999998665,100418941.34999992
2021-12-28 11:48:00,LONG,11:44:00,BHARTIARTL,681.55,681.85,11:48:00,147339,,44201.70000001005,463143.04999999667,100463143.04999994
2021-12-28 12:05:00,LONG,11:49:00,BHARTIARTL,681.55,681.45,12:05:00,147403,,-14740.299999986593,448402.75000001007,100448402.74999996
2021-12-28 12:07:00,LONG,12:06:00,BHARTIARTL,680.6,681.05,12:07:00,147588,,66414.59999998994,514817.35,100514817.34999995
2021-12-28 12:09:00,LONG,12:08:00,BHARTIARTL,680.95,681.45,12:09:00,147609,,73804.5,588621.85,100588621.84999995
2021-12-28 12:14:00,LONG,12:10:00,BHARTIARTL,680.95,682.05,12:14:00,147718,,162489.79999998657,751111.6499999865,100751111.64999993
2021-12-28 12:26:00,SHORT,12:15:00,BHARTIARTL,681.9,682.15,12:26:00,147750,,-36937.5,714174.1499999865,100714174.14999992
2021-12-28 12:29:00,LONG,12:27:00,BHARTIARTL,682.05,682.35,12:29:00,147663,,44298.90000001007,758473.0499999966,100758473.04999992
