Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:27:00,LONG,10:18:00,HCLTECH,1283.4,1285.0,10:27:00,77918,,124668.79999999292,124668.79999999292,100124668.8
2021-12-28 10:34:00,LONG,10:28:00,HCLTECH,1283.85,1283.55,10:34:00,77987,,-23396.099999996455,101272.69999999646,100101272.7
2021-12-28 11:00:00,SHORT,10:35:00,HCLTECH,1284.45,1283.15,11:00:00,77933,,101312.89999999646,202585.59999999293,100202585.60000001
2021-12-28 11:03:00,LONG,11:01:00,HCLTECH,1282.45,1283.65,11:03:00,78133,,93759.60000000356,296345.19999999646,100296345.2
2021-12-28 11:05:00,LONG,11:04:00,HCLTECH,1283.25,1283.65,11:05:00,78158,,31263.20000000711,327608.4000000036,100327608.4
2021-12-28 11:52:00,SHORT,11:06:00,HCLTECH,1283.8,1287.6,11:52:00,78148,,-296962.3999999965,30646.0000000071,100030646.00000001
2021-12-28 11:54:00,SHORT,11:53:00,HCLTECH,1287.65,1287.05,11:54:00,77684,,46610.400000010595,77256.40000001769,100077256.40000002
2021-12-28 11:56:00,SHORT,11:55:00,HCLTECH,1287.65,1287.45,11:56:00,77720,,15544.000000003534,92800.40000002123,100092800.40000004
2021-12-28 11:59:00,LONG,11:57:00,HCLTECH,1287.25,1287.85,11:59:00,77757,,46654.199999992925,139454.60000001415,100139454.60000002
2021-12-28 12:07:00,LONG,12:00:00,HCLTECH,1286.95,1285.95,12:07:00,77811,,-77811.0,61643.60000001415,100061643.60000002
2021-12-28 12:12:00,LONG,12:08:00,HCLTECH,1285.35,1286.2,12:12:00,77847,,66169.95000001062,127813.55000002477,100127813.55000004
2021-12-28 12:18:00,SHORT,12:13:00,HCLTECH,1286.85,1285.9,12:18:00,77808,,73917.59999998585,201731.15000001062,100201731.15000002
2021-12-28 12:21:00,LONG,12:19:00,HCLTECH,1285.2,1286.75,12:21:00,77965,,120845.74999999645,322576.90000000707,100322576.90000002
2021-12-28 12:23:00,LONG,12:22:00,HCLTECH,1286.0,1286.65,12:23:00,78011,,50707.150000007096,373284.05000001413,100373284.05000003
2021-12-28 12:31:00,SHORT,12:24:00,HCLTECH,1286.45,1286.05,12:31:00,78023,,31209.200000007095,404493.25000002125,100404493.25000004
2021-12-28 12:34:00,LONG,12:33:00,HCLTECH,1286.05,1286.3,12:34:00,78071,,19517.75,424011.00000002125,100424011.00000004
2021-12-28 12:50:00,SHORT,12:35:00,HCLTECH,1286.85,1285.6,12:50:00,78038,,97547.5,521558.50000002125,100521558.50000004
2021-12-28 12:53:00,LONG,12:51:00,HCLTECH,1284.3,1285.3,12:53:00,78269,,78269.0,599827.5000000212,100599827.50000004
2021-12-28 12:55:00,SHORT,12:54:00,HCLTECH,1285.3,1284.95,12:55:00,78269,,27394.149999992882,627221.6500000141,100627221.65000005
2021-12-28 13:04:00,SHORT,12:57:00,HCLTECH,1285.45,1285.35,13:04:00,78281,,7828.10000001068,635049.7500000248,100635049.75000006
2021-12-28 13:13:00,SHORT,13:05:00,HCLTECH,1285.6,1285.3,13:13:00,78278,,23483.39999999644,658533.1500000212,100658533.15000008
2021-12-28 13:15:00,LONG,13:14:00,HCLTECH,1284.95,1285.5,13:15:00,78336,,43084.79999999644,701617.9500000176,100701617.95000008
2021-12-28 13:27:00,LONG,13:16:00,HCLTECH,1284.8,1285.9,13:27:00,78379,,86216.90000001069,787834.8500000284,100787834.85000008
2021-12-28 14:05:00,SHORT,13:28:00,HCLTECH,1285.8,1287.7,14:05:00,78385,,-148931.50000000713,638903.3500000213,100638903.35000008
2021-12-28 14:07:00,SHORT,14:06:00,HCLTECH,1287.8,1287.65,14:07:00,78147,,11722.049999989338,650625.4000000106,100650625.40000007
2021-12-28 14:14:00,SHORT,14:08:00,HCLTECH,1287.95,1288.05,14:14:00,78147,,-7814.699999992892,642810.7000000178,100642810.70000008
2021-12-28 14:18:00,SHORT,14:15:00,HCLTECH,1288.6,1288.0,14:18:00,78102,,46861.199999992896,689671.9000000106,100689671.90000007
2021-12-28 14:44:00,LONG,14:19:00,HCLTECH,1286.4,1280.65,14:44:00,78272,,-450064.0,239607.90000001062,100239607.90000007
2021-12-28 14:48:00,LONG,14:45:00,HCLTECH,1279.05,1279.5,14:48:00,78370,,35266.500000003565,274874.40000001417,100274874.40000007
2021-12-28 14:50:00,LONG,14:49:00,HCLTECH,1278.7,1279.65,14:50:00,78419,,74498.05000000357,349372.45000001776,100349372.45000008
2021-12-28 15:16:00,SHORT,14:51:00,HCLTECH,1279.5,1284.0,15:16:00,78428,,-352926.0,-3553.549999982235,99996446.45000008
2021-12-28 15:18:00,LONG,15:17:00,HCLTECH,1284.0,1285.0,15:18:00,77878,,77878.0,74324.45000001776,100074324.45000008
2021-12-28 15:21:00,SHORT,15:19:00,HCLTECH,1285.3,1284.0,15:21:00,77860,,101217.99999999646,175542.4500000142,100175542.45000008
2021-12-28 15:29:00,LONG,15:22:00,HCLTECH,1283.3,1280.0,15:29:00,78060,,-257597.99999999645,-82055.54999998224,99917944.45000008
2021-12-29 09:17:00,LONG,09:15:00,HCLTECH,1278.95,1282.65,09:17:00,78124,,289058.80000000354,207003.2500000213,100207003.25000009
2021-12-29 09:20:00,SHORT,09:18:00,HCLTECH,1284.65,1284.15,09:20:00,78003,,39001.5,246004.7500000213,100246004.7500001
