Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 11:08:00,LONG,10:13:00,HDFC,2568.55,2557.0,11:08:00,38932,,-449664.6000000071,-449664.6000000071,99550335.39999999
2021-12-28 11:18:00,SHORT,11:09:00,HDFC,2557.2,2557.05,11:18:00,38929,,5839.349999985838,-443825.25000002125,99556174.74999999
2021-12-28 11:20:00,LONG,11:19:00,HDFC,2556.7,2560.05,11:20:00,38939,,130445.65000001417,-313379.6000000071,99686620.39999999
2021-12-28 11:37:00,SHORT,11:21:00,HDFC,2560.1,2559.2,11:37:00,38938,,35044.20000000354,-278335.4000000035,99721664.6
2021-12-28 11:39:00,LONG,11:38:00,HDFC,2558.95,2559.95,11:39:00,38969,,38969.0,-239366.40000000352,99760633.6
2021-12-28 11:41:00,SHORT,11:40:00,HDFC,2559.5,2559.05,11:41:00,38976,,17539.19999999291,-221827.2000000106,99778172.79999998
2021-12-28 11:43:00,LONG,11:42:00,HDFC,2559.0,2560.65,11:43:00,38991,,64335.150000003545,-157492.05000000706,99842507.94999999
2021-12-28 12:09:00,SHORT,11:44:00,HDFC,2559.9,2567.15,12:09:00,39002,,-282764.5,-440256.55000000703,99559743.45
2021-12-28 12:19:00,SHORT,12:10:00,HDFC,2569.4,2567.45,12:19:00,38748,,75558.60000001057,-364697.94999999646,99635302.05000001
2021-12-28 12:23:00,SHORT,12:21:00,HDFC,2569.9,2567.6,12:23:00,38770,,89171.00000000706,-275526.9499999894,99724473.05000001
2021-12-28 12:51:00,SHORT,12:24:00,HDFC,2568.0,2565.55,12:51:00,38833,,95140.84999999293,-180386.09999999648,99819613.9
2021-12-28 13:00:00,LONG,12:54:00,HDFC,2566.05,2567.55,13:00:00,38900,,58350.0,-122036.09999999648,99877963.9
2021-12-28 13:14:00,LONG,13:01:00,HDFC,2567.0,2563.0,13:14:00,38908,,-155632.0,-277668.0999999965,99722331.9
2021-12-28 13:18:00,SHORT,13:15:00,HDFC,2562.4,2560.5,13:18:00,38917,,73942.30000000354,-203725.79999999295,99796274.19999999
2021-12-28 13:34:00,SHORT,13:19:00,HDFC,2562.95,2563.65,13:34:00,38938,,-27256.600000010625,-230982.40000000357,99769017.59999998
2021-12-28 13:46:00,LONG,13:35:00,HDFC,2561.5,2564.65,13:46:00,38949,,122689.35000000354,-108293.05000000003,99891706.94999999
2021-12-28 14:05:00,SHORT,13:47:00,HDFC,2564.55,2564.85,14:05:00,38950,,-11684.999999989373,-119978.04999998941,99880021.94999999
