Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:31:00,LONG,10:15:00,HDFCBANK,1460.75,1457.05,10:31:00,68457,,-253290.9000000031,-253290.9000000031,99746709.1
2021-12-28 11:33:00,SHORT,10:32:00,HDFCBANK,1458.1,1464.55,11:33:00,68408,,-441231.6000000031,-694522.5000000063,99305477.49999999
2021-12-28 11:40:00,SHORT,11:34:00,HDFCBANK,1465.15,1462.8,11:40:00,67778,,159278.30000000924,-535244.199999997,99464755.8
2021-12-28 11:45:00,LONG,11:41:00,HDFCBANK,1461.55,1463.0,11:45:00,68054,,98678.30000000309,-436565.89999999397,99563434.1
2021-12-28 11:47:00,SHORT,11:46:00,HDFCBANK,1463.0,1462.85,11:47:00,68054,,10208.10000000619,-426357.79999998776,99573642.2
2021-12-28 11:56:00,LONG,11:48:00,HDFCBANK,1462.6,1462.7,11:56:00,68079,,6807.900000009287,-419549.8999999785,99580450.10000001
2021-12-28 12:05:00,SHORT,11:57:00,HDFCBANK,1463.25,1462.45,12:05:00,68054,,54443.199999996905,-365106.69999998156,99634893.30000003
2021-12-28 12:20:00,SHORT,12:06:00,HDFCBANK,1463.3,1462.4,12:20:00,68089,,61280.099999990714,-303826.59999999084,99696173.40000002
2021-12-28 12:23:00,SHORT,12:21:00,HDFCBANK,1463.5,1461.85,12:23:00,68121,,112399.6500000062,-191426.94999998464,99808573.05000004
2021-12-28 12:28:00,LONG,12:27:00,HDFCBANK,1462.25,1463.0,12:28:00,68256,,51192.0,-140234.94999998464,99859765.05000004
2021-12-28 12:32:00,SHORT,12:29:00,HDFCBANK,1463.6,1462.55,12:32:00,68228,,71639.3999999969,-68595.54999998775,99931404.45000003
2021-12-28 12:51:00,SHORT,12:33:00,HDFCBANK,1463.0,1462.95,12:51:00,68305,,3415.249999996894,-65180.29999999086,99934819.70000005
2021-12-28 12:59:00,LONG,12:54:00,HDFCBANK,1463.1,1463.7,12:59:00,68303,,40981.800000009316,-24198.49999998154,99975801.50000006
2021-12-28 13:02:00,SHORT,13:00:00,HDFCBANK,1464.6,1463.6,13:02:00,68261,,68261.0,44062.50000001846,100044062.50000006
2021-12-28 13:05:00,LONG,13:03:00,HDFCBANK,1461.25,1462.0,13:05:00,68464,,51348.0,95410.50000001845,100095410.50000006
2021-12-28 13:07:00,SHORT,13:06:00,HDFCBANK,1461.75,1460.65,13:07:00,68476,,75323.59999999378,170734.10000001223,100170734.10000005
2021-12-28 13:14:00,LONG,13:09:00,HDFCBANK,1460.4,1462.15,13:14:00,68591,,120034.25,290768.3500000122,100290768.35000005
2021-12-28 13:18:00,SHORT,13:15:00,HDFCBANK,1461.9,1461.55,13:18:00,68603,,24011.05000000936,314779.40000002156,100314779.40000008
2021-12-28 13:36:00,SHORT,13:19:00,HDFCBANK,1461.95,1461.45,13:36:00,68617,,34308.5,349087.90000002156,100349087.90000007
2021-12-28 13:41:00,SHORT,13:37:00,HDFCBANK,1462.0,1461.5,13:41:00,68638,,34319.0,383406.90000002156,100383406.90000007
2021-12-28 13:46:00,LONG,13:42:00,HDFCBANK,1461.45,1463.0,13:46:00,68687,,106464.84999999688,489871.75000001845,100489871.75000006
2021-12-28 14:04:00,SHORT,13:47:00,HDFCBANK,1462.85,1462.3,14:04:00,68694,,37781.699999996876,527653.4500000153,100527653.45000003
2021-12-28 14:12:00,LONG,14:05:00,HDFCBANK,1462.0,1463.25,14:12:00,68760,,85950.0,613603.4500000153,100613603.45000003
2021-12-28 14:27:00,LONG,14:13:00,HDFCBANK,1462.45,1460.25,14:27:00,68797,,-151353.40000000314,462250.05000001215,100462250.05000003
2021-12-28 14:31:00,LONG,14:28:00,HDFCBANK,1459.85,1460.2,14:31:00,68816,,24085.600000009388,486335.65000002156,100486335.65000004
2021-12-28 14:48:00,LONG,14:32:00,HDFCBANK,1460.15,1456.15,14:48:00,68819,,-275276.0,211059.65000002156,100211059.65000004
2021-12-28 15:29:00,SHORT,14:49:00,HDFCBANK,1455.85,1461.0,15:29:00,68833,,-354489.95000000624,-143430.29999998468,99856569.70000005
2021-12-29 09:17:00,LONG,09:15:00,HDFCBANK,1450.8,1451.75,09:17:00,68828,,65386.60000000313,-78043.69999998156,99921956.30000006
2021-12-29 09:53:00,SHORT,09:18:00,HDFCBANK,1453.95,1458.25,09:53:00,68724,,-295513.19999999687,-373556.8999999784,99626443.10000005
2021-12-29 10:03:00,LONG,09:54:00,HDFCBANK,1458.2,1460.0,10:03:00,68321,,122977.79999999689,-250579.09999998152,99749420.90000005
2021-12-29 10:08:00,SHORT,10:04:00,HDFCBANK,1459.15,1458.55,10:08:00,68361,,41016.600000009326,-209562.4999999722,99790437.50000007
2021-12-29 10:24:00,LONG,10:09:00,HDFCBANK,1458.45,1455.65,10:24:00,68422,,-191581.5999999969,-401144.0999999691,99598855.90000008
2021-12-29 10:27:00,SHORT,10:25:00,HDFCBANK,1455.6,1455.5,10:27:00,68424,,6842.399999993777,-394301.69999997533,99605698.30000007
2021-12-29 10:29:00,LONG,10:28:00,HDFCBANK,1455.4,1455.7,10:29:00,68438,,20531.399999996887,-373770.29999997845,99626229.70000008
2021-12-29 10:35:00,SHORT,10:30:00,HDFCBANK,1456.15,1454.25,10:35:00,68417,,129992.30000000622,-243777.99999997223,99756222.00000009
2021-12-29 10:39:00,SHORT,10:37:00,HDFCBANK,1456.15,1455.25,10:39:00,68506,,61655.40000000623,-182122.599999966,99817877.4000001
2021-12-29 10:45:00,SHORT,10:40:00,HDFCBANK,1456.05,1455.1,10:45:00,68553,,65125.35000000312,-116997.24999996289,99883002.75000007
2021-12-29 11:14:00,LONG,10:47:00,HDFCBANK,1455.05,1452.4,11:14:00,68645,,-181909.24999999063,-298906.49999995355,99701093.50000007
2021-12-29 11:22:00,SHORT,11:15:00,HDFCBANK,1452.0,1451.55,11:22:00,68664,,30898.800000003124,-268007.6999999504,99731992.30000006
2021-12-29 11:24:00,LONG,11:23:00,HDFCBANK,1451.55,1452.0,11:24:00,68707,,30918.150000003123,-237089.5499999473,99762910.45000006
2021-12-29 11:43:00,SHORT,11:25:00,HDFCBANK,1452.4,1453.05,11:43:00,68688,,-44647.199999990626,-281736.74999993795,99718263.25000007
2021-12-29 11:49:00,SHORT,11:44:00,HDFCBANK,1453.3,1452.95,11:49:00,68615,,24015.24999999376,-257721.49999994418,99742278.50000006
2021-12-29 11:53:00,LONG,11:50:00,HDFCBANK,1452.95,1454.4,11:53:00,68648,,99539.60000000312,-158181.89999994106,99841818.10000005
2021-12-29 12:06:00,SHORT,11:54:00,HDFCBANK,1454.0,1453.5,12:06:00,68667,,34333.5,-123848.39999994106,99876151.60000005
2021-12-29 12:20:00,SHORT,12:08:00,HDFCBANK,1454.0,1454.0,12:20:00,68690,,0.0,-123848.39999994106,99876151.60000005
2021-12-29 12:22:00,SHORT,12:21:00,HDFCBANK,1454.25,1453.95,12:22:00,68678,,20603.399999996876,-103244.99999994418,99896755.00000004
2021-12-29 12:39:00,SHORT,12:23:00,HDFCBANK,1454.7,1454.7,12:39:00,68671,,0.0,-103244.99999994418,99896755.00000004
2021-12-29 12:42:00,LONG,12:40:00,HDFCBANK,1454.65,1455.3,12:42:00,68674,,44638.099999990634,-58606.899999953544,99941393.10000004
2021-12-29 13:02:00,SHORT,12:43:00,HDFCBANK,1455.5,1454.75,13:02:00,68664,,51498.0,-7108.8999999535445,99992891.10000002
2021-12-29 13:11:00,LONG,13:04:00,HDFCBANK,1454.8,1455.25,13:11:00,68733,,30929.850000003127,23820.950000049583,100023820.95000003
2021-12-29 13:26:00,SHORT,13:12:00,HDFCBANK,1455.5,1456.05,13:26:00,68721,,-37796.549999996874,-13975.599999947292,99986024.40000005
2021-12-29 13:34:00,LONG,13:27:00,HDFCBANK,1456.0,1456.2,13:34:00,68671,,13734.200000003122,-241.3999999441694,99999758.60000005
2021-12-29 13:37:00,SHORT,13:35:00,HDFCBANK,1456.15,1456.05,13:37:00,68674,,6867.400000009369,6626.0000000652,100006626.00000004
2021-12-29 13:50:00,SHORT,13:38:00,HDFCBANK,1456.1,1456.05,13:50:00,68681,,3434.049999996877,10060.050000062078,100010060.05000003
2021-12-29 14:05:00,LONG,13:51:00,HDFCBANK,1456.05,1454.25,14:05:00,68685,,-123632.99999999687,-113572.94999993479,99886427.05000003
2021-12-29 14:16:00,SHORT,14:06:00,HDFCBANK,1454.45,1457.0,14:16:00,68676,,-175123.79999999687,-288696.74999993166,99711303.25000003
2021-12-29 14:23:00,LONG,14:18:00,HDFCBANK,1456.9,1457.4,14:23:00,68440,,34220.0,-254476.74999993166,99745523.25000003
2021-12-29 14:26:00,SHORT,14:24:00,HDFCBANK,1458.0,1457.45,14:26:00,68412,,37626.59999999689,-216850.14999993477,99783149.85000002
2021-12-29 14:29:00,LONG,14:27:00,HDFCBANK,1457.4,1457.7,14:29:00,68466,,20539.799999996885,-196310.3499999379,99803689.65000002
2021-12-29 14:32:00,LONG,14:30:00,HDFCBANK,1457.4,1457.4,14:32:00,68480,,0.0,-196310.3499999379,99803689.65000002
2021-12-29 15:00:00,SHORT,14:33:00,HDFCBANK,1457.85,1457.55,15:00:00,68459,,20537.699999996887,-175772.649999941,99824227.35000001
2021-12-29 15:04:00,LONG,15:01:00,HDFCBANK,1456.5,1457.25,15:04:00,68537,,51402.75,-124369.899999941,99875630.10000001
2021-12-29 15:09:00,LONG,15:05:00,HDFCBANK,1455.4,1456.5,15:09:00,68624,,75486.39999999377,-48883.499999947235,99951116.5
2021-12-29 15:11:00,SHORT,15:10:00,HDFCBANK,1456.3,1455.65,15:11:00,68633,,44611.44999999064,-4272.049999956595,99995727.94999997
2021-12-29 15:28:00,LONG,15:12:00,HDFCBANK,1454.5,1450.5,15:28:00,68749,,-274996.0,-279268.0499999566,99720731.94999997
2021-12-30 09:23:00,SHORT,15:29:00,HDFCBANK,1451.0,1452.0,09:23:00,68725,,-68725.0,-347993.0499999566,99652006.94999999
2021-12-30 09:27:00,LONG,09:24:00,HDFCBANK,1450.55,1452.8,09:27:00,68699,,154572.75,-193420.29999995662,99806579.69999999
2021-12-30 09:33:00,SHORT,09:28:00,HDFCBANK,1454.05,1455.2,09:33:00,68640,,-78936.00000000624,-272356.29999996285,99727643.69999999
2021-12-30 09:39:00,LONG,09:35:00,HDFCBANK,1455.2,1456.05,09:39:00,68531,,58251.34999999377,-214104.94999996907,99785895.04999998
2021-12-30 09:44:00,SHORT,09:40:00,HDFCBANK,1456.4,1455.15,09:44:00,68515,,85643.75,-128461.19999996907,99871538.79999998
2021-12-30 10:12:00,SHORT,09:45:00,HDFCBANK,1455.8,1457.1,10:12:00,68602,,-89182.59999999688,-217643.79999996594,99782356.19999999
2021-12-30 10:18:00,SHORT,10:13:00,HDFCBANK,1457.45,1457.1,10:18:00,68463,,23962.05000000934,-193681.7499999566,99806318.25000001
2021-12-30 10:22:00,LONG,10:19:00,HDFCBANK,1457.0,1457.55,10:22:00,68501,,37675.54999999688,-156006.19999995973,99843993.80000001
2021-12-30 10:30:00,SHORT,10:23:00,HDFCBANK,1460.45,1459.0,10:30:00,68365,,99129.25000000311,-56876.94999995662,99943123.05000001
2021-12-30 10:57:00,LONG,10:31:00,HDFCBANK,1458.3,1457.35,10:57:00,68533,,-65106.35000000312,-121983.29999995974,99878016.70000002
