Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:39:00,LONG,10:13:00,HINDUNILVR,2312.95,2310.5,10:39:00,43234,,-105923.29999999213,-105923.29999999213,99894076.7
2021-12-28 10:58:00,SHORT,10:40:00,HINDUNILVR,2310.6,2309.2,10:58:00,43232,,60524.80000000393,-45398.4999999882,99954601.50000001
2021-12-28 11:02:00,LONG,10:59:00,HINDUNILVR,2309.0,2310.55,11:02:00,43289,,67097.95000000787,21699.45000001967,100021699.45000002
2021-12-28 11:17:00,LONG,11:03:00,HINDUNILVR,2309.7,2309.05,11:17:00,43305,,-28148.249999984248,-6448.799999964576,99993551.20000005
2021-12-28 11:31:00,SHORT,11:18:00,HINDUNILVR,2307.9,2308.0,11:31:00,43326,,-4332.5999999960595,-10781.399999960635,99989218.60000005
2021-12-28 11:53:00,SHORT,11:32:00,HINDUNILVR,2310.15,2310.0,11:53:00,43282,,6492.3000000039365,-4289.099999956698,99995710.90000004
2021-12-28 11:55:00,LONG,11:54:00,HINDUNILVR,2309.25,2310.6,11:55:00,43302,,58457.69999999606,54168.60000003936,100054168.60000004
2021-12-28 11:57:00,LONG,11:56:00,HINDUNILVR,2310.1,2311.0,11:57:00,43311,,38979.90000000394,93148.5000000433,100093148.50000004
2021-12-28 12:18:00,SHORT,11:58:00,HINDUNILVR,2311.6,2313.9,12:18:00,43300,,-99590.00000000787,-6441.499999964566,99993558.50000006
2021-12-28 12:23:00,LONG,12:19:00,HINDUNILVR,2313.8,2314.55,12:23:00,43216,,32412.0,25970.500000035434,100025970.50000006
2021-12-28 12:25:00,LONG,12:24:00,HINDUNILVR,2314.2,2314.35,12:25:00,43222,,6483.300000003931,32453.800000039366,100032453.80000007
2021-12-28 12:48:00,LONG,12:26:00,HINDUNILVR,2313.85,2313.0,12:48:00,43232,,-36747.19999999607,-4293.399999956702,99995706.60000007
2021-12-28 12:54:00,SHORT,12:49:00,HINDUNILVR,2313.0,2312.05,12:54:00,43232,,41070.399999992136,36777.000000035434,100036777.00000007
2021-12-28 13:06:00,SHORT,12:55:00,HINDUNILVR,2312.5,2312.35,13:06:00,43259,,6488.850000003935,43265.85000003937,100043265.85000007
2021-12-28 13:12:00,SHORT,13:08:00,HINDUNILVR,2313.2,2311.95,13:12:00,43248,,54060.0,97325.85000003937,100097325.85000005
2021-12-28 13:16:00,SHORT,13:14:00,HINDUNILVR,2313.1,2312.0,13:16:00,43274,,47601.399999996065,144927.25000003545,100144927.25000006
2021-12-28 13:39:00,LONG,13:17:00,HINDUNILVR,2311.95,2307.75,13:39:00,43316,,-181927.19999999212,-36999.949999956676,99963000.05000007
