Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:33:00,LONG,10:13:00,ICICIBANK,736.65,733.95,10:33:00,135749,,-366522.29999999073,-366522.29999999073,99633477.70000002
2021-12-28 10:35:00,LONG,10:34:00,ICICIBANK,733.7,734.3,10:35:00,135795,,81476.99999998765,-285045.3000000031,99714954.70000002
2021-12-28 10:38:00,SHORT,10:36:00,ICICIBANK,734.4,733.9,10:38:00,135777,,67888.5,-217156.80000000307,99782843.2
2021-12-28 10:52:00,LONG,10:39:00,ICICIBANK,733.9,734.9,10:52:00,135962,,135962.0,-81194.80000000307,99918805.2
2021-12-28 11:18:00,SHORT,10:53:00,ICICIBANK,735.5,736.0,11:18:00,135851,,-67925.5,-149120.30000000307,99850879.69999999
2021-12-28 11:20:00,LONG,11:19:00,ICICIBANK,735.9,737.0,11:20:00,135685,,149253.50000000309,133.20000000001164,100000133.19999999
2021-12-28 11:40:00,SHORT,11:21:00,ICICIBANK,736.8,736.15,11:40:00,135722,,88219.29999999692,88352.49999999693,100088352.49999999
2021-12-28 11:55:00,LONG,11:41:00,ICICIBANK,736.0,735.4,11:55:00,135989,,-81593.4000000031,6759.099999993836,100006759.09999998
2021-12-28 12:46:00,SHORT,11:56:00,ICICIBANK,736.25,737.35,12:46:00,135832,,-149415.2000000031,-142656.10000000926,99857343.89999996
2021-12-28 12:51:00,SHORT,12:47:00,ICICIBANK,738.0,737.0,12:51:00,135308,,135308.0,-7348.100000009261,99992651.89999998
2021-12-28 12:54:00,SHORT,12:53:00,ICICIBANK,737.65,737.4,12:54:00,135555,,33888.75,26540.64999999074,100026540.64999998
2021-12-28 12:58:00,LONG,12:55:00,ICICIBANK,737.35,737.5,12:58:00,135656,,20348.399999996916,46889.049999987656,100046889.04999997
2021-12-28 13:03:00,SHORT,12:59:00,ICICIBANK,737.5,736.35,13:03:00,135656,,156004.3999999969,202893.44999998456,100202893.44999994
2021-12-28 13:20:00,LONG,13:04:00,ICICIBANK,736.15,736.2,13:20:00,136117,,6805.8500000092845,209699.29999999385,100209699.29999995
2021-12-28 13:24:00,SHORT,13:21:00,ICICIBANK,737.1,736.35,13:24:00,135951,,101963.25,311662.5499999939,100311662.54999997
2021-12-28 13:26:00,LONG,13:25:00,ICICIBANK,736.0,736.85,13:26:00,136293,,115849.0500000031,427511.59999999695,100427511.59999996
2021-12-28 13:43:00,SHORT,13:27:00,ICICIBANK,736.75,736.3,13:43:00,136311,,61339.950000006196,488851.55000000313,100488851.54999997
2021-12-28 13:46:00,LONG,13:44:00,ICICIBANK,736.25,736.7,13:46:00,136487,,61419.15000000621,550270.7000000094,100550270.69999997
2021-12-28 14:03:00,SHORT,13:47:00,ICICIBANK,736.95,737.75,14:03:00,136441,,-109152.79999999379,441117.9000000156,100441117.89999998
2021-12-28 14:14:00,SHORT,14:04:00,ICICIBANK,738.25,738.6,14:14:00,136052,,-47618.2000000031,393499.7000000125,100393499.69999997
2021-12-28 14:23:00,SHORT,14:15:00,ICICIBANK,739.2,738.55,14:23:00,135813,,88278.45000001235,481778.1500000249,100481778.14999999
2021-12-28 14:30:00,LONG,14:26:00,ICICIBANK,738.95,739.45,14:30:00,135979,,67989.5,549767.6500000248,100549767.64999999
2021-12-28 14:34:00,SHORT,14:31:00,ICICIBANK,740.35,739.2,14:34:00,135813,,156184.9499999969,705952.6000000217,100705952.59999998
2021-12-28 14:48:00,LONG,14:35:00,ICICIBANK,738.2,735.55,14:48:00,136420,,-361513.0000000124,344439.60000000935,100344439.59999998
2021-12-28 14:50:00,LONG,14:49:00,ICICIBANK,735.35,735.9,14:50:00,136458,,75051.8999999938,419491.50000000314,100419491.49999999
2021-12-28 15:06:00,SHORT,14:51:00,ICICIBANK,735.75,735.7,15:06:00,136485,,6824.249999993794,426315.7499999969,100426315.75
2021-12-28 15:15:00,SHORT,15:07:00,ICICIBANK,736.05,735.45,15:15:00,136439,,81863.3999999876,508179.14999998454,100508179.14999998
2021-12-28 15:19:00,LONG,15:16:00,ICICIBANK,735.1,736.0,15:19:00,136727,,123054.29999999689,631233.4499999814,100631233.44999997
2021-12-28 15:22:00,SHORT,15:20:00,ICICIBANK,735.85,735.55,15:22:00,136755,,41026.50000000933,672259.9499999908,100672259.94999999
2021-12-28 15:24:00,LONG,15:23:00,ICICIBANK,735.55,735.95,15:24:00,136866,,54746.40000001245,727006.3500000032,100727006.35
2021-12-28 15:26:00,SHORT,15:25:00,ICICIBANK,735.8,735.65,15:26:00,136894,,20534.099999996888,747540.4500000001,100747540.44999999
2021-12-28 15:29:00,SHORT,15:27:00,ICICIBANK,735.8,736.5,15:29:00,136922,,-95845.40000000622,651695.0499999939,100651695.04999998
2021-12-29 09:39:00,SHORT,09:15:00,ICICIBANK,737.25,743.1,09:39:00,136523,,-798659.5500000031,-146964.5000000092,99853035.49999999
2021-12-29 09:58:00,SHORT,09:40:00,ICICIBANK,744.15,743.6,09:58:00,134184,,73801.1999999939,-73163.3000000153,99926836.69999996
2021-12-29 10:01:00,SHORT,09:59:00,ICICIBANK,743.95,743.2,10:01:00,134319,,100739.25,27575.949999984703,100027575.94999996
2021-12-29 10:10:00,LONG,10:03:00,ICICIBANK,743.25,744.05,10:10:00,134581,,107664.79999999388,135240.74999997858,100135240.74999996
2021-12-29 10:12:00,SHORT,10:11:00,ICICIBANK,743.9,743.2,10:12:00,134608,,94225.59999999082,229466.34999996942,100229466.34999995
2021-12-29 10:20:00,LONG,10:13:00,ICICIBANK,743.15,742.15,10:20:00,134871,,-134871.0,94595.34999996942,100094595.34999995
2021-12-29 10:22:00,LONG,10:21:00,ICICIBANK,741.8,741.9,10:22:00,134934,,13493.400000003068,108088.74999997248,100108088.74999996
2021-12-29 10:25:00,SHORT,10:23:00,ICICIBANK,742.0,741.85,10:25:00,134916,,20237.39999999693,128326.1499999694,100128326.14999993
2021-12-29 10:29:00,LONG,10:26:00,ICICIBANK,741.8,742.0,10:29:00,134980,,26996.000000006137,155322.14999997555,100155322.14999993
2021-12-29 10:46:00,SHORT,10:30:00,ICICIBANK,742.55,741.9,10:46:00,134880,,87671.99999999693,242994.1499999725,100242994.14999992
2021-12-29 10:49:00,LONG,10:47:00,ICICIBANK,741.5,742.1,10:49:00,135189,,81113.40000000308,324107.5499999756,100324107.54999992
2021-12-29 10:58:00,SHORT,10:50:00,ICICIBANK,742.3,741.7,10:58:00,135153,,81091.7999999877,405199.3499999633,100405199.34999992
2021-12-29 11:12:00,LONG,10:59:00,ICICIBANK,741.5,740.9,11:12:00,135408,,-81244.80000000307,323954.54999996023,100323954.54999992
2021-12-29 11:28:00,SHORT,11:13:00,ICICIBANK,741.0,741.75,11:28:00,135389,,-101541.75,222412.79999996023,100222412.79999992
2021-12-29 11:40:00,LONG,11:29:00,ICICIBANK,741.65,741.15,11:40:00,135134,,-67567.0,154845.79999996023,100154845.79999992
2021-12-29 11:42:00,SHORT,11:41:00,ICICIBANK,741.15,740.7,11:42:00,135134,,60810.299999990784,215656.09999995102,100215656.0999999
2021-12-29 11:46:00,LONG,11:43:00,ICICIBANK,740.5,741.0,11:46:00,135335,,67667.5,283323.599999951,100283323.5999999
2021-12-29 11:48:00,SHORT,11:47:00,ICICIBANK,741.0,740.55,11:48:00,135335,,60900.750000006155,344224.3499999572,100344224.3499999
2021-12-29 12:23:00,LONG,11:49:00,ICICIBANK,740.5,739.35,12:23:00,135508,,-155834.19999999693,188390.14999996027,100188390.1499999
2021-12-29 12:25:00,SHORT,12:24:00,ICICIBANK,739.15,738.8,12:25:00,135545,,47440.750000003085,235830.89999996335,100235830.89999992
2021-12-29 12:28:00,LONG,12:26:00,ICICIBANK,738.75,739.1,12:28:00,135683,,47489.05000000309,283319.9499999664,100283319.94999991
2021-12-29 12:31:00,SHORT,12:29:00,ICICIBANK,739.15,739.05,12:31:00,135673,,13567.300000003084,296887.2499999695,100296887.24999993
2021-12-29 12:34:00,LONG,12:32:00,ICICIBANK,738.6,740.2,12:34:00,135793,,217268.80000000307,514156.0499999726,100514156.04999994
2021-12-29 12:39:00,SHORT,12:35:00,ICICIBANK,740.0,739.7,12:39:00,135829,,40748.69999999382,554904.7499999664,100554904.74999994
2021-12-29 13:02:00,SHORT,12:40:00,ICICIBANK,739.95,740.35,13:02:00,135894,,-54357.59999999691,500547.14999996946,100500547.14999995
2021-12-29 13:05:00,SHORT,13:04:00,ICICIBANK,741.0,740.5,13:05:00,135628,,67814.0,568361.1499999694,100568361.14999995
2021-12-29 13:10:00,LONG,13:06:00,ICICIBANK,739.75,740.5,13:10:00,135949,,101961.75,670322.8999999694,100670322.89999995
2021-12-29 13:13:00,SHORT,13:11:00,ICICIBANK,740.6,740.4,13:13:00,135930,,27186.00000000618,697508.8999999756,100697508.89999995
2021-12-29 13:20:00,SHORT,13:14:00,ICICIBANK,740.7,739.75,13:20:00,135949,,129151.55000000619,826660.4499999818,100826660.44999996
2021-12-29 13:38:00,LONG,13:24:00,ICICIBANK,740.1,739.45,13:38:00,136233,,-88551.4499999969,738108.9999999849,100738108.99999997
2021-12-29 13:42:00,SHORT,13:39:00,ICICIBANK,739.95,739.4,13:42:00,136141,,74877.55000000929,812986.5499999941,100812986.55
2021-12-29 13:44:00,SHORT,13:43:00,ICICIBANK,739.55,739.35,13:44:00,136316,,27263.199999990702,840249.7499999849,100840249.74999999
2021-12-29 14:05:00,LONG,13:45:00,ICICIBANK,739.0,738.7,14:05:00,136455,,-40936.49999999379,799313.249999991,100799313.24999999
2021-12-29 14:19:00,SHORT,14:06:00,ICICIBANK,738.85,739.05,14:19:00,136427,,-27285.399999990696,772027.8500000003,100772027.85
2021-12-29 14:21:00,SHORT,14:20:00,ICICIBANK,739.3,739.15,14:21:00,136307,,20446.0499999969,792473.8999999972,100792473.89999999
2021-12-29 14:23:00,LONG,14:22:00,ICICIBANK,739.15,739.35,14:23:00,136362,,27272.4000000062,819746.3000000034,100819746.3
2021-12-29 14:37:00,LONG,14:24:00,ICICIBANK,739.15,738.25,14:37:00,136399,,-122759.09999999689,696987.2000000065,100696987.2
