Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:35:00,LONG,10:13:00,INDUSINDBK,854.7,850.0,10:35:00,117000,,-549900.0000000054,-549900.0000000054,99450100.0
2021-12-28 10:38:00,SHORT,10:36:00,INDUSINDBK,850.5,849.05,10:38:00,116931,,169549.9500000053,-380350.05000000005,99619649.95
2021-12-28 10:53:00,LONG,10:39:00,INDUSINDBK,848.85,847.6,10:53:00,117358,,-146697.5,-527047.55,99472952.45
2021-12-28 10:55:00,LONG,10:54:00,INDUSINDBK,846.85,847.5,10:55:00,117462,,76350.29999999733,-450697.25000000274,99549302.75
2021-12-28 10:57:00,SHORT,10:56:00,INDUSINDBK,847.65,847.0,10:57:00,117441,,76336.64999999733,-374360.6000000054,99625639.39999998
2021-12-28 11:05:00,SHORT,10:58:00,INDUSINDBK,847.25,846.15,11:05:00,117587,,129345.70000000267,-245014.9000000027,99754985.09999998
2021-12-28 11:38:00,SHORT,11:07:00,INDUSINDBK,847.3,850.25,11:38:00,117732,,-347309.4000000054,-592324.3000000081,99407675.69999999
2021-12-28 11:45:00,LONG,11:39:00,INDUSINDBK,850.25,849.7,11:45:00,116915,,-64303.24999999468,-656627.5500000027,99343372.44999999
2021-12-28 11:52:00,SHORT,11:46:00,INDUSINDBK,850.4,849.7,11:52:00,116819,,81773.29999999203,-574854.2500000107,99425145.74999997
2021-12-28 12:03:00,SHORT,11:53:00,INDUSINDBK,850.0,850.2,12:03:00,116970,,-23394.00000000532,-598248.2500000161,99401751.74999997
2021-12-28 12:19:00,SHORT,12:04:00,INDUSINDBK,850.85,851.4,12:19:00,116826,,-64254.299999994684,-662502.5500000108,99337497.44999997
2021-12-28 12:21:00,LONG,12:20:00,INDUSINDBK,851.35,851.9,12:21:00,116682,,64175.099999994694,-598327.450000016,99401672.54999997
2021-12-28 12:23:00,SHORT,12:22:00,INDUSINDBK,851.9,851.3,12:23:00,116682,,70009.20000000266,-528318.2500000134,99471681.74999997
2021-12-28 12:31:00,LONG,12:24:00,INDUSINDBK,850.6,851.4,12:31:00,116942,,93553.59999999468,-434764.6500000187,99565235.34999996
2021-12-28 12:33:00,SHORT,12:32:00,INDUSINDBK,851.35,851.2,12:33:00,116949,,17542.34999999734,-417222.30000002135,99582777.69999996
2021-12-28 12:51:00,SHORT,12:34:00,INDUSINDBK,851.85,853.45,12:51:00,116901,,-187041.60000000265,-604263.900000024,99395736.09999995
2021-12-28 12:59:00,LONG,12:53:00,INDUSINDBK,853.6,854.0,12:59:00,116442,,46576.799999997354,-557687.1000000266,99442312.89999995
2021-12-28 13:03:00,SHORT,13:00:00,INDUSINDBK,854.25,853.5,13:03:00,116408,,87306.0,-470381.10000002664,99529618.89999995
2021-12-28 13:14:00,LONG,13:04:00,INDUSINDBK,852.35,854.1,13:14:00,116770,,204347.5,-266033.60000002664,99733966.39999995
2021-12-28 13:35:00,SHORT,13:15:00,INDUSINDBK,854.35,854.0,13:35:00,116736,,40857.600000002654,-225176.00000002398,99774823.99999994
2021-12-28 13:46:00,LONG,13:36:00,INDUSINDBK,854.0,854.45,13:46:00,116832,,52574.40000000531,-172601.60000001866,99827398.39999995
2021-12-28 13:49:00,SHORT,13:47:00,INDUSINDBK,853.9,853.75,13:49:00,116907,,17536.049999997344,-155065.55000002132,99844934.44999993
2021-12-28 14:13:00,SHORT,13:50:00,INDUSINDBK,854.45,854.1,14:13:00,116852,,40898.20000000266,-114167.35000001866,99885832.64999993
2021-12-28 14:20:00,LONG,14:14:00,INDUSINDBK,854.05,854.8,14:20:00,116955,,87716.25,-26451.10000001866,99973548.89999993
2021-12-28 14:47:00,LONG,14:21:00,INDUSINDBK,854.3,850.45,14:47:00,117023,,-450538.54999998934,-476989.650000008,99523010.34999995
2021-12-28 14:50:00,LONG,14:48:00,INDUSINDBK,850.1,851.3,14:50:00,117072,,140486.39999999202,-336503.25000001595,99663496.74999994
2021-12-28 15:11:00,SHORT,14:51:00,INDUSINDBK,851.75,852.3,15:11:00,117010,,-64355.49999999468,-400858.75000001065,99599141.24999994
2021-12-28 15:15:00,LONG,15:13:00,INDUSINDBK,851.85,853.15,15:15:00,116920,,151995.99999999467,-248862.75000001598,99751137.24999994
2021-12-28 15:20:00,LONG,15:16:00,INDUSINDBK,852.3,853.55,15:20:00,117037,,146296.25,-102566.50000001598,99897433.49999994
