Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:24:00,LONG,10:14:00,INFY,1881.8,1883.7,10:24:00,53140,,100966.00000000483,100966.00000000483,100100966.0
2021-12-28 10:30:00,SHORT,10:25:00,INFY,1884.0,1882.5,10:30:00,53132,,79698.0,180664.00000000483,100180664.0
2021-12-28 10:35:00,LONG,10:31:00,INFY,1882.15,1884.8,10:35:00,53226,,141048.89999999275,321712.8999999976,100321712.89999999
2021-12-28 10:55:00,SHORT,10:36:00,INFY,1884.65,1885.45,10:55:00,53230,,-42583.99999999758,279128.9,100279128.89999998
2021-12-28 11:12:00,LONG,10:56:00,INFY,1885.4,1886.6,11:12:00,53187,,63824.399999990324,342953.2999999903,100342953.29999995
2021-12-28 11:20:00,SHORT,11:13:00,INFY,1887.65,1890.3,11:20:00,53157,,-140866.04999999274,202087.24999999758,100202087.24999997
2021-12-28 11:42:00,SHORT,11:22:00,INFY,1891.2,1892.65,11:42:00,52983,,-76825.3500000024,125261.89999999518,100125261.89999996
2021-12-28 11:47:00,LONG,11:44:00,INFY,1892.8,1893.45,11:47:00,52897,,34383.05000000481,159644.94999999998,100159644.94999997
2021-12-28 11:54:00,SHORT,11:48:00,INFY,1893.75,1892.9,11:54:00,52889,,44955.64999999519,204600.59999999517,100204600.59999998
2021-12-28 12:03:00,SHORT,11:55:00,INFY,1893.35,1894.15,12:03:00,52924,,-42339.20000000963,162261.39999998553,100162261.39999996
2021-12-28 12:21:00,LONG,12:04:00,INFY,1893.4,1893.5,12:21:00,52900,,5289.999999995189,167551.39999998073,100167551.39999996
2021-12-28 12:27:00,SHORT,12:22:00,INFY,1893.95,1892.65,12:27:00,52888,,68754.3999999976,236305.79999997834,100236305.79999997
2021-12-28 12:29:00,SHORT,12:28:00,INFY,1892.9,1892.6,12:29:00,52953,,15885.900000009631,252191.69999998796,100252191.69999997
2021-12-28 12:31:00,LONG,12:30:00,INFY,1892.15,1892.95,12:31:00,52983,,42386.39999999759,294578.09999998554,100294578.09999998
2021-12-28 12:45:00,SHORT,12:32:00,INFY,1892.85,1893.45,12:45:00,52986,,-31791.600000007227,262786.4999999783,100262786.49999999
2021-12-28 12:53:00,LONG,12:46:00,INFY,1893.45,1891.3,12:53:00,52952,,-113846.80000000482,148939.69999997347,100148939.69999997
2021-12-28 12:55:00,LONG,12:54:00,INFY,1890.45,1891.3,12:55:00,52976,,45029.59999999518,193969.29999996864,100193969.29999997
2021-12-28 12:58:00,LONG,12:56:00,INFY,1891.0,1891.35,12:58:00,52984,,18544.39999999518,212513.69999996384,100212513.69999996
2021-12-28 13:00:00,SHORT,12:59:00,INFY,1891.3,1890.1,13:00:00,52986,,63583.20000000241,276096.89999996626,100276096.89999995
2021-12-28 13:33:00,LONG,13:02:00,INFY,1888.55,1886.45,13:33:00,53096,,-111501.59999999517,164595.2999999711,100164595.29999995
2021-12-28 13:36:00,LONG,13:34:00,INFY,1885.35,1886.4,13:36:00,53127,,55783.35000000966,220378.64999998076,100220378.64999998
2021-12-28 13:45:00,LONG,13:37:00,INFY,1885.75,1888.85,13:45:00,53146,,164752.59999999517,385131.2499999759,100385131.24999997
2021-12-28 14:01:00,SHORT,13:46:00,INFY,1889.05,1888.2,14:01:00,53140,,45168.99999999517,430300.24999997107,100430300.24999997
2021-12-28 14:08:00,LONG,14:02:00,INFY,1887.65,1887.0,14:08:00,53203,,-34581.950000004836,395718.2999999662,100395718.29999997
2021-12-28 14:13:00,SHORT,14:09:00,INFY,1889.9,1889.1,14:13:00,53122,,42497.60000000966,438215.89999997587,100438215.89999998
2021-12-28 14:48:00,LONG,14:14:00,INFY,1887.5,1881.2,14:48:00,53212,,-335235.5999999976,102980.29999997828,100102980.29999998
2021-12-28 15:13:00,SHORT,14:49:00,INFY,1881.3,1887.8,15:13:00,53209,,-345858.5,-242878.20000002172,99757121.8
2021-12-28 15:15:00,SHORT,15:14:00,INFY,1889.75,1887.7,15:15:00,52788,,108215.3999999976,-134662.80000002414,99865337.2
2021-12-28 15:29:00,LONG,15:16:00,INFY,1886.45,1885.2,15:29:00,52938,,-66172.5,-200835.30000002414,99799164.7
2021-12-29 09:19:00,LONG,09:15:00,INFY,1881.95,1881.75,09:19:00,53029,,-10605.800000002411,-211441.10000002655,99788558.9
2021-12-29 09:29:00,LONG,09:20:00,INFY,1880.8,1881.0,09:29:00,53056,,10611.200000002413,-200829.90000002412,99799170.10000001
2021-12-29 10:16:00,SHORT,09:30:00,INFY,1882.75,1887.75,10:16:00,53007,,-265035.0,-465864.9000000241,99534135.10000002
2021-12-29 10:20:00,LONG,10:17:00,INFY,1887.15,1888.65,10:20:00,52743,,79114.5,-386750.4000000241,99613249.60000002
2021-12-29 10:36:00,SHORT,10:21:00,INFY,1888.55,1891.05,10:36:00,52745,,-131862.5,-518612.9000000241,99481387.10000002
2021-12-29 10:38:00,SHORT,10:37:00,INFY,1892.0,1891.0,10:38:00,52580,,52580.0,-466032.9000000241,99533967.10000002
2021-12-29 10:54:00,LONG,10:39:00,INFY,1890.5,1890.35,10:54:00,52649,,-7897.350000004788,-473930.25000002893,99526069.75000001
2021-12-29 11:16:00,LONG,10:55:00,INFY,1889.6,1886.6,11:16:00,52670,,-158010.0,-631940.2500000289,99368059.75000001
2021-12-29 11:28:00,SHORT,11:17:00,INFY,1887.15,1886.55,11:28:00,52655,,31593.000000007185,-600347.2500000217,99399652.75
2021-12-29 11:46:00,LONG,11:29:00,INFY,1886.55,1885.8,11:46:00,52688,,-39516.0,-639863.2500000217,99360136.75
2021-12-29 11:48:00,SHORT,11:47:00,INFY,1886.3,1885.35,11:48:00,52674,,50040.3000000024,-589822.9500000193,99410177.05
2021-12-29 11:57:00,LONG,11:49:00,INFY,1885.0,1885.7,11:57:00,52737,,36915.900000002395,-552907.0500000169,99447092.95
2021-12-29 12:00:00,LONG,11:58:00,INFY,1885.45,1885.9,12:00:00,52744,,23734.800000002397,-529172.2500000146,99470827.75000001
2021-12-29 12:02:00,LONG,12:01:00,INFY,1885.4,1886.2,12:02:00,52758,,42206.3999999976,-486965.850000017,99513034.15000002
2021-12-29 12:04:00,SHORT,12:03:00,INFY,1885.75,1885.5,12:04:00,52771,,13192.75,-473773.100000017,99526226.90000004
2021-12-29 12:21:00,LONG,12:05:00,INFY,1885.2,1884.5,12:21:00,52793,,-36955.1000000024,-510728.2000000194,99489271.80000003
2021-12-29 12:29:00,LONG,12:22:00,INFY,1884.0,1884.1,12:29:00,52807,,5280.699999995197,-505447.5000000242,99494552.50000001
2021-12-29 12:31:00,SHORT,12:30:00,INFY,1884.5,1884.0,12:31:00,52796,,26398.0,-479049.5000000242,99520950.5
