Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:23:00,LONG,10:14:00,ITC,219.15,219.3,10:23:00,456308,,68446.20000000259,68446.20000000259,100068446.2
2021-12-28 10:27:00,SHORT,10:24:00,ITC,219.3,219.25,10:27:00,456308,,22815.40000000519,91261.60000000778,100091261.60000002
2021-12-28 10:31:00,SHORT,10:28:00,ITC,219.3,219.25,10:31:00,456412,,22820.60000000519,114082.20000001296,100114082.20000005
2021-12-28 10:33:00,SHORT,10:32:00,ITC,219.3,219.2,10:33:00,456516,,45651.60000001038,159733.80000002333,100159733.80000007
2021-12-28 10:37:00,SHORT,10:35:00,ITC,219.3,219.25,10:37:00,456724,,22836.200000005192,182570.00000002852,100182570.00000006
2021-12-28 10:41:00,SHORT,10:38:00,ITC,219.3,219.25,10:41:00,456828,,22841.400000005193,205411.40000003373,100205411.40000007
2021-12-28 10:44:00,LONG,10:42:00,ITC,219.25,219.35,10:44:00,457037,,45703.6999999974,251115.10000003112,100251115.10000007
2021-12-28 10:54:00,SHORT,10:45:00,ITC,219.3,219.4,10:54:00,457141,,-45714.0999999974,205401.0000000337,100205401.00000009
2021-12-28 10:58:00,LONG,10:55:00,ITC,219.35,219.5,10:58:00,456828,,68524.2000000026,273925.2000000363,100273925.20000009
2021-12-28 11:11:00,SHORT,10:59:00,ITC,219.55,219.6,11:11:00,456724,,-22836.19999999221,251089.00000004406,100251089.0000001
2021-12-28 11:14:00,LONG,11:12:00,ITC,219.6,219.65,11:14:00,456516,,22825.80000000519,273914.80000004923,100273914.80000012
2021-12-28 11:27:00,LONG,11:15:00,ITC,219.6,219.65,11:27:00,456620,,22831.00000000519,296745.8000000544,100296745.80000012
2021-12-28 11:29:00,LONG,11:28:00,ITC,219.6,219.8,11:29:00,456724,,91344.80000000779,388090.6000000622,100388090.60000013
2021-12-28 11:32:00,SHORT,11:30:00,ITC,219.9,219.75,11:32:00,456517,,68477.5500000026,456568.1500000648,100456568.15000013
2021-12-28 11:46:00,LONG,11:33:00,ITC,219.75,219.8,11:46:00,457140,,22857.0000000052,479425.15000007,100479425.15000013
2021-12-28 11:53:00,SHORT,11:47:00,ITC,219.85,219.75,11:53:00,457036,,45703.5999999974,525128.7500000674,100525128.75000012
2021-12-28 11:56:00,LONG,11:54:00,ITC,219.75,219.9,11:56:00,457452,,68617.8000000026,593746.55000007,100593746.55000012
2021-12-28 11:58:00,SHORT,11:57:00,ITC,219.85,219.75,11:58:00,457556,,45755.5999999974,639502.1500000674,100639502.1500001
2021-12-28 12:31:00,SHORT,11:59:00,ITC,219.85,219.75,12:31:00,457764,,45776.3999999974,685278.5500000648,100685278.55000007
