Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:34:00,LONG,10:21:00,L&TFH,78.05,78.0,10:34:00,1281229,,-64061.44999999636,-64061.44999999636,99935938.55
2021-12-28 10:55:00,SHORT,10:35:00,L&TFH,78.0,77.9,10:55:00,1281229,,128122.89999999272,64061.44999999636,100064061.45
2021-12-28 10:57:00,LONG,10:56:00,L&TFH,77.9,77.95,10:57:00,1284519,,64225.94999999635,128287.39999999272,100128287.39999999
2021-12-28 11:00:00,LONG,10:58:00,L&TFH,77.9,77.95,11:00:00,1285343,,64267.14999999635,192554.54999998907,100192554.55
2021-12-28 11:09:00,LONG,11:01:00,L&TFH,77.9,77.9,11:09:00,1286168,,0.0,192554.54999998907,100192554.55
2021-12-28 11:29:00,SHORT,11:10:00,L&TFH,77.95,77.9,11:29:00,1285343,,64267.14999999635,256821.69999998543,100256821.7
2021-12-28 11:31:00,SHORT,11:30:00,L&TFH,77.95,77.9,11:31:00,1286168,,64308.39999999634,321130.09999998176,100321130.10000001
2021-12-28 11:49:00,LONG,11:32:00,L&TFH,77.9,77.8,11:49:00,1287819,,-128781.90000001098,192348.1999999708,100192348.2
2021-12-28 11:56:00,LONG,11:50:00,L&TFH,77.75,77.8,11:56:00,1288647,,64432.34999999634,256780.54999996713,100256780.55
2021-12-28 11:58:00,SHORT,11:57:00,L&TFH,77.8,77.7,11:58:00,1288647,,128864.69999999268,385645.24999995984,100385645.24999997
2021-12-28 12:03:00,SHORT,12:00:00,L&TFH,77.8,77.75,12:03:00,1290303,,64515.149999996334,450160.3999999562,100450160.39999998
2021-12-28 12:06:00,SHORT,12:04:00,L&TFH,77.8,77.75,12:06:00,1291133,,64556.64999999633,514717.04999995255,100514717.04999995
2021-12-28 12:08:00,SHORT,12:07:00,L&TFH,77.8,77.75,12:08:00,1291962,,64598.09999999633,579315.1499999489,100579315.14999995
2021-12-28 12:24:00,SHORT,12:09:00,L&TFH,77.8,77.75,12:24:00,1292793,,64639.64999999633,643954.7999999452,100643954.79999995
2021-12-28 12:27:00,SHORT,12:25:00,L&TFH,77.8,77.75,12:27:00,1293624,,64681.19999999632,708635.9999999416,100708635.99999994
2021-12-28 13:11:00,SHORT,12:28:00,L&TFH,77.85,77.85,13:11:00,1293624,,0.0,708635.9999999416,100708635.99999993
2021-12-28 13:18:00,SHORT,13:12:00,L&TFH,77.95,77.85,13:18:00,1291964,,129196.40000001101,837832.3999999525,100837832.39999993
2021-12-28 13:53:00,SHORT,13:19:00,L&TFH,77.9,78.2,13:53:00,1294452,,-388335.5999999963,449496.7999999562,100449496.79999992
2021-12-28 14:01:00,SHORT,13:54:00,L&TFH,78.3,78.2,14:01:00,1282879,,128287.8999999927,577784.699999949,100577784.69999994
2021-12-28 14:10:00,LONG,14:02:00,L&TFH,78.2,78.25,14:10:00,1286160,,64307.99999999635,642092.6999999454,100642092.69999994
2021-12-28 14:15:00,LONG,14:11:00,L&TFH,78.15,78.25,14:15:00,1287806,,128780.59999999269,770873.299999938,100770873.29999994
2021-12-28 14:17:00,SHORT,14:16:00,L&TFH,78.25,78.2,14:17:00,1287806,,64390.29999999634,835263.5999999343,100835263.59999995
2021-12-28 14:20:00,SHORT,14:18:00,L&TFH,78.3,78.2,14:20:00,1287806,,128780.59999999269,964044.199999927,100964044.19999994
2021-12-28 14:22:00,SHORT,14:21:00,L&TFH,78.25,78.2,14:22:00,1290275,,64513.74999999633,1028557.9499999234,101028557.94999993
2021-12-28 14:31:00,LONG,14:23:00,L&TFH,78.15,78.3,14:31:00,1292751,,193912.64999998896,1222470.5999999123,101222470.59999992
2021-12-28 14:34:00,SHORT,14:32:00,L&TFH,78.65,78.35,14:34:00,1286998,,386099.40000001463,1608569.999999927,101608569.99999993
2021-12-28 14:36:00,LONG,14:35:00,L&TFH,78.1,78.35,14:36:00,1301006,,325251.5,1933821.499999927,101933821.49999993
2021-12-28 14:54:00,LONG,14:37:00,L&TFH,78.25,78.15,14:54:00,1302668,,-130266.7999999926,1803554.6999999343,101803554.69999993
2021-12-28 15:29:00,SHORT,14:55:00,L&TFH,78.05,78.25,15:29:00,1304337,,-260867.40000000372,1542687.2999999307,101542687.29999992
2021-12-29 09:17:00,LONG,09:15:00,L&TFH,78.0,78.3,09:17:00,1301829,,390548.6999999963,1933235.999999927,101933235.99999993
2021-12-29 09:26:00,SHORT,09:18:00,L&TFH,78.6,78.6,09:26:00,1296860,,0.0,1933235.999999927,101933235.99999994
2021-12-29 10:07:00,SHORT,09:27:00,L&TFH,78.65,78.65,10:07:00,1296036,,0.0,1933235.999999927,101933235.99999994
2021-12-29 10:09:00,LONG,10:08:00,L&TFH,78.6,78.7,10:09:00,1296860,,129686.00000001106,2062921.999999938,102062921.99999994
2021-12-29 10:20:00,LONG,10:10:00,L&TFH,78.65,78.35,10:20:00,1297684,,-389305.20000001474,1673616.7999999234,101673616.79999992
2021-12-29 10:32:00,SHORT,10:21:00,L&TFH,78.35,78.3,10:32:00,1297684,,64884.19999999631,1738500.9999999197,101738500.99999993
2021-12-29 10:38:00,LONG,10:33:00,L&TFH,78.25,78.3,10:38:00,1300172,,65008.5999999963,1803509.599999916,101803509.59999992
2021-12-29 11:16:00,LONG,10:39:00,L&TFH,78.25,78.05,11:16:00,1301003,,-260200.6000000037,1543308.9999999125,101543308.99999991
2021-12-29 11:30:00,SHORT,11:17:00,L&TFH,78.1,78.05,11:30:00,1300170,,65008.499999996304,1608317.4999999087,101608317.49999991
2021-12-29 11:39:00,LONG,11:31:00,L&TFH,78.0,78.05,11:39:00,1302670,,65133.4999999963,1673450.999999905,101673450.99999991
2021-12-29 11:43:00,SHORT,11:40:00,L&TFH,78.05,78.0,11:43:00,1302670,,65133.4999999963,1738584.4999999013,101738584.49999991
