Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:33:00,LONG,10:22:00,M&M,828.1,827.4,10:33:00,120758,,-84530.60000000549,-84530.60000000549,99915469.4
2021-12-28 11:20:00,SHORT,10:34:00,M&M,827.9,831.35,11:20:00,120685,,-416363.2500000055,-500893.850000011,99499106.15
2021-12-28 11:42:00,SHORT,11:21:00,M&M,831.65,832.3,11:42:00,119640,,-77765.99999999728,-578659.8500000082,99421340.15
2021-12-28 11:44:00,SHORT,11:43:00,M&M,832.6,831.95,11:44:00,119410,,77616.49999999728,-501043.350000011,99498956.65
2021-12-28 11:48:00,SHORT,11:47:00,M&M,832.65,832.4,11:48:00,119496,,29874.0,-471169.350000011,99528830.65000002
2021-12-28 11:57:00,LONG,11:49:00,M&M,832.4,832.0,11:57:00,119568,,-47827.19999999728,-518996.55000000825,99481003.45000002
2021-12-28 12:12:00,LONG,11:58:00,M&M,831.8,832.05,12:12:00,119597,,29899.25,-489097.30000000825,99510902.70000002
2021-12-28 12:47:00,SHORT,12:13:00,M&M,832.2,833.0,12:47:00,119575,,-95659.99999999456,-584757.3000000028,99415242.70000002
2021-12-28 12:49:00,SHORT,12:48:00,M&M,833.3,832.35,12:49:00,119303,,113337.84999999186,-471419.450000011,99528580.55000003
2021-12-28 13:00:00,LONG,12:51:00,M&M,832.15,832.9,13:00:00,119604,,89703.0,-381716.450000011,99618283.55000003
2021-12-28 13:03:00,SHORT,13:01:00,M&M,832.6,832.2,13:03:00,119647,,47858.79999999728,-333857.65000001376,99666142.35000002
2021-12-28 13:05:00,LONG,13:04:00,M&M,831.85,832.55,13:05:00,119812,,83868.39999999183,-249989.25000002194,99750010.75000001
2021-12-28 13:08:00,LONG,13:06:00,M&M,831.45,832.75,13:08:00,119971,,155962.29999999455,-94026.9500000274,99905973.05000001
2021-12-28 13:11:00,LONG,13:09:00,M&M,831.15,831.8,13:11:00,120202,,78131.29999999727,-15895.650000030131,99984104.35000001
2021-12-28 13:18:00,SHORT,13:12:00,M&M,831.7,831.0,13:18:00,120216,,84151.20000000547,68255.54999997534,100068255.55000001
2021-12-28 14:04:00,SHORT,13:21:00,M&M,831.8,836.65,14:04:00,120303,,-583469.5500000027,-515214.00000002736,99484785.99999999
2021-12-28 14:09:00,LONG,14:05:00,M&M,836.5,837.1,14:09:00,118929,,71357.4000000027,-443856.60000002466,99556143.39999999
2021-12-28 14:19:00,SHORT,14:10:00,M&M,837.9,837.5,14:19:00,118816,,47526.3999999973,-396330.20000002737,99603669.79999998
2021-12-28 14:22:00,LONG,14:20:00,M&M,837.5,838.35,14:22:00,118929,,101089.6500000027,-295240.55000002467,99704759.44999999
2021-12-28 14:50:00,LONG,14:23:00,M&M,837.8,833.4,14:50:00,119007,,-523630.7999999973,-818871.350000022,99181128.64999999
2021-12-28 14:53:00,LONG,14:51:00,M&M,833.0,833.85,14:53:00,119064,,101204.4000000027,-717666.9500000193,99282333.05
2021-12-28 15:07:00,SHORT,14:54:00,M&M,834.35,837.8,15:07:00,118993,,-410525.8499999919,-1128192.8000000112,98871807.2
2021-12-28 15:27:00,SHORT,15:08:00,M&M,838.95,838.05,15:27:00,117851,,106065.90000001072,-1022126.9000000005,98977873.10000001
2021-12-28 15:29:00,SHORT,15:28:00,M&M,838.95,839.45,15:29:00,117978,,-58989.0,-1081115.9000000004,98918884.10000001
2021-12-29 09:16:00,SHORT,09:15:00,M&M,839.95,837.5,09:16:00,117767,,288529.1500000054,-792586.749999995,99207413.25
2021-12-29 09:20:00,SHORT,09:17:00,M&M,839.45,837.1,09:20:00,118181,,277725.3500000027,-514861.3999999923,99485138.59999998
2021-12-29 09:30:00,LONG,09:21:00,M&M,837.1,837.0,09:30:00,118844,,-11884.400000002703,-526745.799999995,99473254.19999997
2021-12-29 09:54:00,SHORT,09:31:00,M&M,837.7,838.65,09:54:00,118745,,-112807.7499999919,-639553.5499999869,99360446.44999999
2021-12-29 10:05:00,LONG,09:55:00,M&M,838.0,839.85,10:05:00,118568,,219350.8000000027,-420202.74999998417,99579797.24999999
2021-12-29 10:14:00,SHORT,10:06:00,M&M,840.4,839.05,10:14:00,118490,,159961.5000000027,-260241.24999998146,99739758.75
2021-12-29 10:23:00,LONG,10:15:00,M&M,838.5,838.9,10:23:00,118950,,47579.99999999729,-212661.24999998417,99787338.75
2021-12-29 10:34:00,SHORT,10:24:00,M&M,838.55,838.9,10:34:00,118999,,-41649.65000000271,-254310.89999998687,99745689.1
2021-12-29 11:02:00,LONG,10:35:00,M&M,837.95,837.75,11:02:00,119035,,-23807.000000005413,-278117.8999999923,99721882.1
2021-12-29 11:05:00,LONG,11:03:00,M&M,836.8,837.5,11:05:00,119170,,83419.00000000541,-194698.89999998687,99805301.1
2021-12-29 11:16:00,LONG,11:06:00,M&M,837.15,836.8,11:16:00,119220,,-41727.000000002714,-236425.89999998958,99763574.1
2021-12-29 11:44:00,SHORT,11:17:00,M&M,837.05,836.8,11:44:00,119184,,29796.0,-206629.89999998958,99793370.1
2021-12-29 12:06:00,SHORT,11:45:00,M&M,837.5,837.7,12:06:00,119156,,-23831.200000005418,-230461.099999995,99769538.89999999
