Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:34:00,LONG,10:20:00,MARUTI,7336.4,7326.7,10:34:00,13630,,-132210.99999999753,-132210.99999999753,99867789.0
2021-12-28 10:55:00,SHORT,10:35:00,MARUTI,7329.85,7324.35,10:55:00,13624,,74932.0,-57278.999999997526,99942721.0
2021-12-28 11:37:00,LONG,10:56:00,MARUTI,7315.0,7301.9,11:37:00,13662,,-178972.20000000496,-236251.2000000025,99763748.8
2021-12-28 11:42:00,SHORT,11:38:00,MARUTI,7304.15,7300.45,11:42:00,13658,,50534.59999999752,-185716.60000000498,99814283.4
2021-12-28 11:50:00,LONG,11:43:00,MARUTI,7300.25,7300.0,11:50:00,13672,,-3418.0,-189134.60000000498,99810865.4
2021-12-28 12:05:00,LONG,11:51:00,MARUTI,7297.45,7299.95,12:05:00,13677,,34192.5,-154942.10000000498,99845057.9
2021-12-28 12:08:00,SHORT,12:06:00,MARUTI,7302.6,7296.1,12:08:00,13672,,88868.0,-66074.10000000498,99933925.90000002
2021-12-28 12:11:00,SHORT,12:09:00,MARUTI,7301.8,7296.1,12:11:00,13686,,78010.19999999751,11936.099999992526,100011936.10000001
2021-12-28 12:16:00,LONG,12:12:00,MARUTI,7292.0,7298.5,12:16:00,13715,,89147.5,101083.59999999253,100101083.60000001
2021-12-28 12:19:00,LONG,12:17:00,MARUTI,7297.85,7298.75,12:19:00,13716,,12344.39999999501,113427.99999998754,100113428.0
2021-12-28 12:23:00,SHORT,12:20:00,MARUTI,7298.7,7298.0,12:23:00,13716,,9601.199999997505,123029.19999998505,100123029.19999999
2021-12-28 12:45:00,SHORT,12:24:00,MARUTI,7299.1,7312.0,12:45:00,13717,,-176949.299999995,-53920.10000000996,99946079.89999998
2021-12-28 12:48:00,SHORT,12:46:00,MARUTI,7314.0,7310.05,12:48:00,13665,,53976.74999999751,56.64999998755229,100000056.64999998
2021-12-28 12:59:00,LONG,12:50:00,MARUTI,7308.0,7312.0,12:59:00,13683,,54732.0,54788.64999998755,100054788.64999998
2021-12-28 13:02:00,SHORT,13:00:00,MARUTI,7313.0,7307.35,13:02:00,13681,,77297.64999999502,132086.29999998258,100132086.29999997
2021-12-28 13:22:00,LONG,13:03:00,MARUTI,7305.25,7297.8,13:22:00,13706,,-102109.69999999751,29976.599999985076,100029976.59999996
2021-12-28 13:24:00,SHORT,13:23:00,MARUTI,7298.85,7295.0,13:24:00,13704,,52760.400000004985,82736.99999999006,100082736.99999997
