Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 11:21:00,LONG,10:42:00,NESTLEIND,19401.9,19387.25,11:21:00,5154,,-75506.1000000075,-75506.1000000075,99924493.89999999
2021-12-28 12:01:00,SHORT,11:26:00,NESTLEIND,19399.9,19380.9,12:01:00,5150,,97850.0,22343.8999999925,100022343.89999999
2021-12-28 12:08:00,SHORT,12:02:00,NESTLEIND,19389.4,19379.0,12:08:00,5158,,53643.200000007506,75987.1,100075987.1
2021-12-28 12:27:00,LONG,12:15:00,NESTLEIND,19380.0,19382.1,12:27:00,5163,,10842.299999992487,86829.39999999249,100086829.39999999
2021-12-28 12:34:00,SHORT,12:31:00,NESTLEIND,19385.8,19381.45,12:34:00,5162,,22454.69999999249,109284.09999998497,100109284.1
2021-12-28 13:38:00,LONG,12:47:00,NESTLEIND,19374.3,19360.0,13:38:00,5167,,-73888.09999999624,35395.99999998874,100035396.0
2021-12-28 14:13:00,SHORT,13:43:00,NESTLEIND,19370.05,19375.95,14:13:00,5164,,-30467.600000007515,4928.399999981222,100004928.39999999
2021-12-28 15:10:00,LONG,14:15:00,NESTLEIND,19372.8,19344.25,15:10:00,5162,,-147375.09999999625,-142446.70000001503,99857553.3
2021-12-28 15:29:00,SHORT,15:12:00,NESTLEIND,19343.95,19339.9,15:29:00,5162,,20906.099999996244,-121540.60000001878,99878459.39999998
2021-12-29 09:52:00,LONG,09:40:00,NESTLEIND,19321.65,19333.45,09:52:00,5169,,60994.19999999624,-60546.400000022535,99939453.59999996
2021-12-29 10:43:00,SHORT,09:53:00,NESTLEIND,19337.0,19349.0,10:43:00,5168,,-62016.0,-122562.40000002254,99877437.59999996
2021-12-29 12:09:00,LONG,10:46:00,NESTLEIND,19344.0,19331.15,12:09:00,5163,,-66344.54999999248,-188906.95000001503,99811093.04999997
2021-12-29 13:09:00,SHORT,12:10:00,NESTLEIND,19331.0,19364.0,13:09:00,5163,,-170379.0,-359285.95000001503,99640714.04999995
2021-12-29 13:23:00,LONG,13:10:00,NESTLEIND,19364.0,19363.9,13:23:00,5145,,-514.499999992513,-359800.4500000075,99640199.54999997
2021-12-29 13:25:00,SHORT,13:24:00,NESTLEIND,19363.15,19360.0,13:25:00,5145,,16206.750000007487,-343593.7,99656406.29999998
2021-12-29 13:34:00,LONG,13:26:00,NESTLEIND,19360.0,19362.0,13:34:00,5147,,10294.0,-333299.7,99666700.29999998
2021-12-29 14:09:00,SHORT,13:42:00,NESTLEIND,19365.0,19381.0,14:09:00,5146,,-82336.0,-415635.7,99584364.29999998
2021-12-29 14:11:00,SHORT,14:10:00,NESTLEIND,19387.0,19386.8,14:11:00,5136,,1027.200000003737,-414608.4999999963,99585391.49999999
2021-12-29 14:15:00,LONG,14:12:00,NESTLEIND,19385.6,19387.0,14:15:00,5137,,7191.800000007475,-407416.6999999888,99592583.3
2021-12-29 14:19:00,LONG,14:16:00,NESTLEIND,19382.3,19388.05,14:19:00,5138,,29543.5,-377873.1999999888,99622126.8
2021-12-29 14:21:00,LONG,14:20:00,NESTLEIND,19379.4,19388.25,14:21:00,5140,,45488.99999999252,-332384.1999999962,99667615.79999998
2021-12-29 14:24:00,SHORT,14:22:00,NESTLEIND,19389.0,19383.45,14:24:00,5140,,28526.99999999626,-303857.19999999995,99696142.79999998
2021-12-29 14:33:00,LONG,14:25:00,NESTLEIND,19382.5,19387.85,14:33:00,5143,,27515.049999992516,-276342.1500000074,99723657.84999998
2021-12-29 14:37:00,LONG,14:34:00,NESTLEIND,19384.95,19386.0,14:37:00,5144,,5401.199999996257,-270940.95000001113,99729059.04999998
2021-12-29 14:43:00,SHORT,14:38:00,NESTLEIND,19385.15,19380.0,14:43:00,5144,,26491.600000007486,-244449.35000000364,99755550.64999998
2021-12-29 14:50:00,SHORT,14:45:00,NESTLEIND,19390.2,19386.75,14:50:00,5144,,17746.800000003743,-226702.5499999999,99773297.44999999
2021-12-29 14:57:00,SHORT,14:55:00,NESTLEIND,19395.0,19385.0,14:57:00,5144,,51440.0,-175262.5499999999,99824737.44999999
2021-12-29 15:05:00,SHORT,15:01:00,NESTLEIND,19390.8,19386.55,15:05:00,5148,,21879.0,-153383.5499999999,99846616.44999997
2021-12-29 15:29:00,SHORT,15:08:00,NESTLEIND,19391.95,19440.0,15:29:00,5148,,-247361.39999999624,-400744.9499999961,99599255.04999998
