Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:39:00,LONG,10:21:00,NTPC,122.65,122.5,10:39:00,815328,,-122299.20000000464,-122299.20000000464,99877700.8
2021-12-28 10:41:00,LONG,10:40:00,NTPC,122.45,122.55,10:41:00,815661,,81566.09999999536,-40733.100000009275,99959266.89999999
2021-12-28 11:13:00,SHORT,10:42:00,NTPC,122.5,122.7,11:13:00,815994,,-163198.80000000232,-203931.9000000116,99796068.09999998
2021-12-28 11:16:00,LONG,11:14:00,NTPC,122.65,122.75,11:16:00,813665,,81366.49999999537,-122565.40000001623,99877434.59999998
2021-12-28 11:20:00,SHORT,11:17:00,NTPC,122.8,122.65,11:20:00,813334,,122000.09999999306,-565.3000000231696,99999434.69999997
2021-12-28 11:23:00,LONG,11:21:00,NTPC,122.65,122.8,11:23:00,815323,,122298.44999999304,121733.14999996987,100121733.14999996
2021-12-28 11:25:00,LONG,11:24:00,NTPC,122.7,122.8,11:25:00,815988,,81598.79999999536,203331.94999996523,100203331.94999994
2021-12-28 11:34:00,SHORT,11:26:00,NTPC,122.85,123.0,11:34:00,815655,,-122348.25000000464,80983.69999996059,100080983.69999993
2021-12-28 11:54:00,SHORT,11:35:00,NTPC,123.15,123.3,11:54:00,812675,,-121901.24999999307,-40917.55000003248,99959082.44999993
2021-12-28 11:56:00,LONG,11:55:00,NTPC,123.3,123.35,11:56:00,810698,,40534.899999997695,-382.6500000347878,99999617.34999993
2021-12-28 12:16:00,SHORT,11:57:00,NTPC,123.35,123.5,12:16:00,810698,,-121604.70000000461,-121987.3500000394,99878012.64999992
2021-12-28 12:18:00,LONG,12:17:00,NTPC,123.5,123.6,12:18:00,808728,,80872.7999999954,-41114.55000004399,99958885.44999991
2021-12-28 12:40:00,SHORT,12:19:00,NTPC,123.6,123.9,12:40:00,808728,,-242618.4000000092,-283732.95000005316,99716267.04999991
2021-12-28 12:45:00,LONG,12:41:00,NTPC,123.9,124.0,12:45:00,804812,,80481.19999999543,-203251.75000005774,99796748.2499999
2021-12-28 12:47:00,SHORT,12:46:00,NTPC,123.95,123.9,12:47:00,805137,,40256.849999997714,-162994.90000006004,99837005.0999999
2021-12-28 13:05:00,SHORT,12:48:00,NTPC,124.0,124.0,13:05:00,805137,,0.0,-162994.90000006004,99837005.0999999
2021-12-28 13:08:00,LONG,13:06:00,NTPC,124.0,124.1,13:08:00,805137,,80513.69999999543,-82481.20000006461,99917518.7999999
2021-12-28 13:14:00,SHORT,13:09:00,NTPC,124.1,124.05,13:14:00,805137,,40256.849999997714,-42224.350000066894,99957775.64999989
