Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:39:00,LONG,10:21:00,POWERGRID,206.25,205.7,10:39:00,484848,,-266666.4000000055,-266666.4000000055,99733333.6
2021-12-28 11:14:00,SHORT,10:40:00,POWERGRID,205.55,205.5,11:14:00,485202,,24260.100000005517,-242406.3,99757593.69999999
2021-12-28 11:16:00,LONG,11:15:00,POWERGRID,205.5,205.55,11:16:00,485438,,24271.90000000552,-218134.39999999446,99781865.6
2021-12-28 11:18:00,LONG,11:17:00,POWERGRID,205.5,205.6,11:18:00,485556,,48555.59999999724,-169578.79999999722,99830421.19999999
2021-12-28 11:37:00,LONG,11:19:00,POWERGRID,205.5,205.55,11:37:00,485792,,24289.60000000552,-145289.1999999917,99854710.8
2021-12-28 11:40:00,SHORT,11:38:00,POWERGRID,205.4,205.15,11:40:00,486147,,121536.75,-23752.449999991688,99976247.55
2021-12-28 11:57:00,LONG,11:41:00,POWERGRID,204.95,203.85,11:57:00,487807,,-536587.6999999973,-560340.149999989,99439659.85000001
2021-12-28 12:17:00,SHORT,11:58:00,POWERGRID,204.1,204.0,12:17:00,487210,,48720.99999999723,-511619.14999999176,99488380.85000002
2021-12-28 12:22:00,LONG,12:18:00,POWERGRID,203.7,204.15,12:22:00,488406,,219782.70000000834,-291836.4499999834,99708163.55000004
2021-12-28 12:38:00,SHORT,12:23:00,POWERGRID,204.3,204.2,12:38:00,488047,,48804.7000000111,-243031.74999997232,99756968.25000004
2021-12-28 12:40:00,SHORT,12:39:00,POWERGRID,204.3,204.1,12:40:00,488286,,97657.20000000832,-145374.54999996402,99854625.45000008
2021-12-28 12:45:00,SHORT,12:42:00,POWERGRID,204.25,204.2,12:45:00,488884,,24444.20000000556,-120930.34999995846,99879069.65000008
2021-12-28 13:01:00,LONG,12:46:00,POWERGRID,204.1,204.3,13:01:00,489363,,97872.60000000834,-23057.749999950116,99976942.25000009
2021-12-28 13:05:00,LONG,13:02:00,POWERGRID,204.05,204.25,13:05:00,489962,,97992.39999999444,74934.65000004432,100074934.65000008
2021-12-28 13:11:00,LONG,13:06:00,POWERGRID,204.2,204.25,13:11:00,490082,,24504.100000005572,99438.75000004988,100099438.75000009
2021-12-28 13:13:00,LONG,13:12:00,POWERGRID,204.2,204.25,13:13:00,490202,,24510.100000005572,123948.85000005545,100123948.8500001
2021-12-28 13:25:00,SHORT,13:14:00,POWERGRID,204.55,204.3,13:25:00,489483,,122370.75,246319.60000005545,100246319.60000011
2021-12-28 13:28:00,SHORT,13:26:00,POWERGRID,204.4,204.15,13:28:00,490441,,122610.25,368929.85000005545,100368929.85000011
2021-12-28 13:36:00,LONG,13:30:00,POWERGRID,204.2,204.35,13:36:00,491522,,73728.3000000028,442658.15000005823,100442658.15000013
2021-12-28 13:41:00,SHORT,13:37:00,POWERGRID,204.4,204.25,13:41:00,491402,,73710.3000000028,516368.450000061,100516368.4500001
2021-12-28 13:46:00,LONG,13:43:00,POWERGRID,204.2,204.35,13:46:00,492244,,73836.6000000028,590205.0500000638,100590205.0500001
2021-12-28 13:48:00,SHORT,13:47:00,POWERGRID,204.35,204.25,13:48:00,492244,,49224.3999999972,639429.4500000611,100639429.4500001
2021-12-28 14:36:00,SHORT,13:50:00,POWERGRID,204.4,204.95,14:36:00,492365,,-270800.7499999916,368628.70000006945,100368628.7000001
2021-12-28 14:49:00,LONG,14:37:00,POWERGRID,204.8,204.8,14:49:00,490081,,0.0,368628.70000006945,100368628.7000001
2021-12-28 15:00:00,LONG,14:50:00,POWERGRID,204.7,204.75,15:00:00,490320,,24516.000000005573,393144.70000007504,100393144.7000001
