Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:23:00,LONG,10:13:00,SUNPHARMA,804.2,804.45,10:23:00,124347,,31086.75,31086.75,100031086.75
2021-12-28 10:25:00,SHORT,10:24:00,SUNPHARMA,804.8,803.4,10:25:00,124293,,174010.19999999716,205096.94999999716,100205096.94999997
2021-12-28 10:36:00,LONG,10:26:00,SUNPHARMA,803.15,803.75,10:36:00,124765,,74859.00000000284,279955.95,100279955.94999997
2021-12-28 10:38:00,SHORT,10:37:00,SUNPHARMA,804.0,801.55,10:38:00,124726,,305578.70000000566,585534.6500000057,100585534.64999999
2021-12-28 10:49:00,SHORT,10:39:00,SUNPHARMA,803.5,802.9,10:49:00,125184,,75110.40000000285,660645.0500000085,100660645.04999998
2021-12-28 11:01:00,SHORT,10:50:00,SUNPHARMA,803.3,802.95,11:01:00,125308,,43857.7999999886,704502.8499999972,100704502.84999998
2021-12-28 11:04:00,LONG,11:02:00,SUNPHARMA,802.95,803.0,11:04:00,125418,,6270.899999994297,710773.7499999915,100710773.74999997
2021-12-28 11:10:00,LONG,11:05:00,SUNPHARMA,802.5,802.85,11:10:00,125496,,43923.60000000285,754697.3499999944,100754697.34999998
2021-12-28 11:12:00,LONG,11:11:00,SUNPHARMA,802.65,802.9,11:12:00,125527,,31381.75,786079.0999999944,100786079.09999998
2021-12-28 11:16:00,LONG,11:13:00,SUNPHARMA,802.65,802.85,11:16:00,125566,,25113.20000000571,811192.3,100811192.3
2021-12-28 11:28:00,LONG,11:17:00,SUNPHARMA,802.35,802.15,11:28:00,125644,,-25128.800000005715,786063.4999999943,100786063.49999999
2021-12-28 11:53:00,SHORT,11:29:00,SUNPHARMA,802.9,802.9,11:53:00,125527,,0.0,786063.4999999943,100786063.49999999
2021-12-28 12:16:00,LONG,11:54:00,SUNPHARMA,802.6,800.35,12:16:00,125574,,-282541.5,503521.9999999943,100503521.99999999
2021-12-28 12:29:00,SHORT,12:17:00,SUNPHARMA,800.25,800.0,12:29:00,125590,,31397.5,534919.4999999943,100534919.5
2021-12-28 12:57:00,LONG,12:30:00,SUNPHARMA,798.95,797.9,12:57:00,125833,,-132124.65000000858,402794.8499999857,100402794.85
2021-12-28 13:05:00,SHORT,12:58:00,SUNPHARMA,798.05,798.8,13:05:00,125810,,-94357.5,308437.3499999857,100308437.35
2021-12-28 13:24:00,LONG,13:06:00,SUNPHARMA,798.8,797.65,13:24:00,125573,,-144408.94999999713,164028.3999999886,100164028.4
2021-12-28 13:41:00,LONG,13:25:00,SUNPHARMA,797.4,797.8,13:41:00,125613,,50245.199999997145,214273.59999998572,100214273.6
2021-12-28 13:44:00,LONG,13:42:00,SUNPHARMA,797.45,798.95,13:44:00,125668,,188502.0,402775.5999999857,100402775.6
2021-12-28 13:53:00,SHORT,13:45:00,SUNPHARMA,799.9,799.45,13:53:00,125519,,56483.54999999144,459259.14999997715,100459259.14999998
2021-12-28 14:03:00,LONG,13:55:00,SUNPHARMA,798.7,798.9,14:03:00,125778,,25155.59999999142,484414.74999996857,100484414.74999997
2021-12-28 14:08:00,LONG,14:04:00,SUNPHARMA,798.5,799.5,14:08:00,125841,,125841.0,610255.7499999686,100610255.74999997
2021-12-28 14:28:00,SHORT,14:09:00,SUNPHARMA,799.05,808.4,14:28:00,125912,,-1177277.2000000027,-567021.4500000342,99432978.54999997
2021-12-28 14:50:00,LONG,14:29:00,SUNPHARMA,807.6,807.5,14:50:00,123121,,-12312.1000000028,-579333.550000037,99420666.44999996
2021-12-28 15:07:00,SHORT,14:51:00,SUNPHARMA,807.8,812.5,15:07:00,123075,,-578452.5000000056,-1157786.0500000427,98842213.94999996
2021-12-28 15:21:00,LONG,15:08:00,SUNPHARMA,811.85,814.4,15:21:00,121749,,310459.9499999945,-847326.1000000482,99152673.89999995
2021-12-28 15:28:00,SHORT,15:22:00,SUNPHARMA,815.5,816.5,15:28:00,121585,,-121585.0,-968911.1000000482,99031088.89999995
2021-12-29 09:15:00,SHORT,15:29:00,SUNPHARMA,818.6,817.35,09:15:00,120976,,151220.0,-817691.1000000482,99182308.89999993
2021-12-29 09:30:00,SHORT,09:16:00,SUNPHARMA,818.1,820.1,09:30:00,121234,,-242468.0,-1060159.100000048,98939840.89999995
2021-12-29 09:37:00,LONG,09:32:00,SUNPHARMA,820.25,821.5,09:37:00,120621,,150776.25,-909382.850000048,99090617.14999995
2021-12-29 09:39:00,SHORT,09:38:00,SUNPHARMA,821.95,820.6,09:39:00,120555,,162749.25000000274,-746633.6000000453,99253366.39999995
2021-12-29 09:46:00,LONG,09:40:00,SUNPHARMA,820.5,821.5,09:46:00,120966,,120966.0,-625667.6000000453,99374332.39999995
2021-12-29 09:48:00,SHORT,09:47:00,SUNPHARMA,821.65,821.3,09:48:00,120944,,42330.40000000275,-583337.2000000426,99416662.79999995
2021-12-29 10:08:00,LONG,09:50:00,SUNPHARMA,820.25,821.7,10:08:00,121202,,175742.90000000552,-407594.30000003707,99592405.69999996
2021-12-29 10:16:00,SHORT,10:09:00,SUNPHARMA,821.95,822.7,10:16:00,121166,,-90874.5,-498468.80000003707,99501531.19999997
2021-12-29 10:18:00,LONG,10:17:00,SUNPHARMA,822.55,823.25,10:18:00,120967,,84676.9000000055,-413791.9000000316,99586208.09999998
2021-12-29 10:30:00,SHORT,10:19:00,SUNPHARMA,823.55,825.15,10:30:00,120923,,-193476.80000000275,-607268.7000000343,99392731.29999997
2021-12-29 10:41:00,LONG,10:33:00,SUNPHARMA,825.7,826.4,10:41:00,120373,,84261.09999999178,-523007.6000000425,99476992.39999996
2021-12-29 11:10:00,SHORT,10:42:00,SUNPHARMA,826.65,828.5,11:10:00,120337,,-222623.45000000275,-745631.0500000452,99254368.94999996
2021-12-29 11:24:00,LONG,11:11:00,SUNPHARMA,828.3,829.4,11:24:00,119829,,131811.90000000273,-613819.1500000425,99386180.84999996
2021-12-29 11:38:00,SHORT,11:25:00,SUNPHARMA,829.5,829.1,11:38:00,119814,,47925.59999999728,-565893.5500000452,99434106.44999996
2021-12-29 11:41:00,LONG,11:39:00,SUNPHARMA,828.8,829.5,11:41:00,119973,,83981.10000000546,-481912.45000003977,99518087.54999997
2021-12-29 11:45:00,LONG,11:42:00,SUNPHARMA,829.15,830.2,11:45:00,120024,,126025.20000000819,-355887.25000003155,99644112.74999999
2021-12-29 11:59:00,SHORT,11:46:00,SUNPHARMA,830.05,829.45,11:59:00,120045,,72026.99999998909,-283860.2500000425,99716139.75
2021-12-29 12:15:00,SHORT,12:00:00,SUNPHARMA,829.8,829.5,12:15:00,120168,,36050.39999999454,-247809.85000004794,99752190.14999998
2021-12-29 12:30:00,LONG,12:16:00,SUNPHARMA,829.25,828.3,12:30:00,120292,,-114277.40000000547,-362087.25000005343,99637912.74999997
2021-12-29 13:42:00,SHORT,12:31:00,SUNPHARMA,828.0,834.0,13:42:00,120335,,-722010.0,-1084097.2500000536,98915902.74999997
2021-12-29 13:44:00,SHORT,13:43:00,SUNPHARMA,834.15,833.85,13:44:00,118582,,35574.59999999461,-1048522.6500000589,98951477.34999995
2021-12-29 13:46:00,LONG,13:45:00,SUNPHARMA,833.8,834.25,13:46:00,118675,,53403.7500000054,-995118.9000000536,99004881.09999995
2021-12-29 13:58:00,SHORT,13:47:00,SUNPHARMA,834.8,836.4,13:58:00,118597,,-189755.2000000027,-1184874.1000000562,98815125.89999993
2021-12-29 14:08:00,LONG,14:00:00,SUNPHARMA,836.1,836.1,14:08:00,118185,,0.0,-1184874.1000000562,98815125.89999993
2021-12-29 14:24:00,SHORT,14:09:00,SUNPHARMA,837.2,838.8,14:24:00,118030,,-188847.99999998926,-1373722.1000000455,98626277.89999992
2021-12-29 14:57:00,SHORT,14:25:00,SUNPHARMA,840.0,841.8,14:57:00,117412,,-211341.59999999465,-1585063.7000000402,98414936.29999992
2021-12-29 14:59:00,SHORT,14:58:00,SUNPHARMA,841.95,841.45,14:59:00,116889,,58444.5,-1526619.2000000402,98473380.79999992
2021-12-29 15:04:00,SHORT,15:01:00,SUNPHARMA,842.2,841.35,15:04:00,116923,,99384.55000000265,-1427234.6500000376,98572765.34999992
2021-12-29 15:16:00,LONG,15:05:00,SUNPHARMA,840.75,838.8,15:16:00,117243,,-228623.85000000533,-1655858.5000000428,98344141.49999991
2021-12-29 15:18:00,LONG,15:17:00,SUNPHARMA,838.6,838.85,15:18:00,117271,,29317.75,-1626540.7500000428,98373459.24999991
2021-12-29 15:21:00,SHORT,15:19:00,SUNPHARMA,838.75,837.5,15:21:00,117285,,146606.25,-1479934.5000000428,98520065.49999991
2021-12-29 15:29:00,LONG,15:22:00,SUNPHARMA,836.35,834.5,15:29:00,117797,,-217924.4500000027,-1697858.9500000456,98302141.04999991
2021-12-30 09:17:00,LONG,09:15:00,SUNPHARMA,831.95,832.95,09:17:00,118158,,118158.0,-1579700.9500000456,98420299.04999991
2021-12-30 09:19:00,SHORT,09:18:00,SUNPHARMA,833.2,832.0,09:19:00,118123,,141747.60000000536,-1437953.3500000401,98562046.64999992
2021-12-30 09:21:00,LONG,09:20:00,SUNPHARMA,831.7,833.4,09:21:00,118506,,201460.19999999192,-1236493.1500000483,98763506.8499999
2021-12-30 09:29:00,LONG,09:22:00,SUNPHARMA,832.0,833.65,09:29:00,118706,,195864.8999999973,-1040628.250000051,98959371.7499999
2021-12-30 09:32:00,SHORT,09:30:00,SUNPHARMA,834.0,831.25,09:32:00,118656,,326304.0,-714324.250000051,99285675.74999988
2021-12-30 09:35:00,LONG,09:33:00,SUNPHARMA,830.5,834.5,09:35:00,119549,,478196.0,-236128.250000051,99763871.74999988
2021-12-30 10:43:00,SHORT,09:36:00,SUNPHARMA,833.5,839.0,10:43:00,119692,,-658306.0,-894434.250000051,99105565.74999988
2021-12-30 10:46:00,LONG,10:44:00,SUNPHARMA,836.3,837.55,10:46:00,118504,,148130.0,-746304.250000051,99253695.74999988
2021-12-30 11:04:00,SHORT,10:47:00,SUNPHARMA,838.4,838.0,11:04:00,118384,,47353.59999999731,-698950.6500000537,99301049.34999987
2021-12-30 11:07:00,SHORT,11:06:00,SUNPHARMA,838.7,838.45,11:07:00,118398,,29599.5,-669351.1500000537,99330648.84999986
2021-12-30 11:11:00,SHORT,11:08:00,SUNPHARMA,838.65,838.5,11:11:00,118441,,17766.149999997306,-651585.0000000563,99348414.99999985
2021-12-30 11:41:00,LONG,11:12:00,SUNPHARMA,838.3,835.5,11:41:00,118511,,-331830.79999999463,-983415.800000051,99016584.19999985
2021-12-30 11:44:00,SHORT,11:42:00,SUNPHARMA,835.7,834.9,11:44:00,118483,,94786.40000000809,-888629.400000043,99111370.59999986
2021-12-30 11:54:00,SHORT,11:45:00,SUNPHARMA,835.6,835.4,11:54:00,118611,,23722.200000005392,-864907.2000000376,99135092.79999988
2021-12-30 12:11:00,SHORT,11:55:00,SUNPHARMA,835.85,836.0,12:11:00,118603,,-17790.449999997305,-882697.6500000348,99117302.34999987
2021-12-30 12:26:00,LONG,12:12:00,SUNPHARMA,836.0,835.6,12:26:00,118561,,-47424.3999999973,-930122.0500000322,99069877.94999988
2021-12-30 12:30:00,SHORT,12:27:00,SUNPHARMA,835.7,834.75,12:30:00,118547,,112619.6500000054,-817502.4000000268,99182497.5999999
2021-12-30 12:43:00,LONG,12:33:00,SUNPHARMA,834.35,834.95,12:43:00,118873,,71323.80000000271,-746178.6000000241,99253821.39999992
2021-12-30 13:01:00,SHORT,12:44:00,SUNPHARMA,834.75,835.65,13:01:00,118902,,-107011.7999999973,-853190.4000000213,99146809.59999992
2021-12-30 13:09:00,SHORT,13:02:00,SUNPHARMA,835.9,835.3,13:09:00,118610,,71166.00000000269,-782024.4000000186,99217975.5999999
