Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:57:00,LONG,10:14:00,TATAMOTORS,477.1,478.1,10:57:00,209599,,209599.0,209599.0,100209599.0
2021-12-28 11:36:00,SHORT,10:58:00,TATAMOTORS,478.1,479.0,11:36:00,209599,,-188639.09999999523,20959.900000004767,100020959.9
2021-12-28 11:53:00,SHORT,11:37:00,TATAMOTORS,479.05,479.0,11:53:00,208790,,10439.500000002374,31399.40000000714,100031399.4
2021-12-28 12:12:00,LONG,11:55:00,TATAMOTORS,478.7,479.1,12:12:00,208964,,83585.60000000712,114985.00000001426,100114985.00000001
2021-12-28 12:17:00,SHORT,12:13:00,TATAMOTORS,479.2,479.15,12:17:00,208921,,10446.050000002375,125431.05000001664,100125431.05000003
2021-12-28 12:19:00,SHORT,12:18:00,TATAMOTORS,479.25,479.05,12:19:00,208921,,41784.199999997625,167215.25000001426,100167215.25000001
2021-12-28 12:21:00,SHORT,12:20:00,TATAMOTORS,479.2,479.1,12:21:00,209030,,20902.99999999287,188118.25000000713,100188118.25
2021-12-28 12:29:00,LONG,12:22:00,TATAMOTORS,479.05,479.2,12:29:00,209139,,31370.849999995244,219489.10000000236,100219489.1
2021-12-28 12:31:00,LONG,12:30:00,TATAMOTORS,479.0,479.2,12:31:00,209226,,41845.19999999762,261334.3,100261334.3
2021-12-28 12:33:00,SHORT,12:32:00,TATAMOTORS,479.15,479.05,12:33:00,209248,,20924.799999992865,282259.0999999929,100282259.1
2021-12-28 12:35:00,SHORT,12:34:00,TATAMOTORS,479.15,479.05,12:35:00,209291,,20929.09999999286,303188.19999998575,100303188.2
2021-12-28 12:38:00,LONG,12:36:00,TATAMOTORS,478.9,479.25,12:38:00,209444,,73305.40000000477,376493.59999999055,100376493.60000001
2021-12-28 12:47:00,SHORT,12:39:00,TATAMOTORS,479.15,479.3,12:47:00,209488,,-31423.200000007146,345070.3999999834,100345070.4
2021-12-28 12:50:00,LONG,12:49:00,TATAMOTORS,479.35,479.45,12:50:00,209335,,20933.49999999286,366003.8999999762,100366003.9
2021-12-28 12:57:00,LONG,12:51:00,TATAMOTORS,479.1,479.0,12:57:00,209488,,-20948.80000000476,345055.09999997145,100345055.1
2021-12-28 13:04:00,SHORT,12:58:00,TATAMOTORS,479.15,478.75,13:04:00,209423,,83769.19999999524,428824.2999999667,100428824.29999998
2021-12-28 13:07:00,SHORT,13:05:00,TATAMOTORS,479.05,478.9,13:07:00,209641,,31446.15000000715,460270.4499999738,100460270.44999997
2021-12-28 13:19:00,LONG,13:08:00,TATAMOTORS,478.85,477.9,13:19:00,209794,,-199304.30000000953,260966.14999996428,100260966.14999996
2021-12-28 13:26:00,LONG,13:20:00,TATAMOTORS,477.5,477.9,13:26:00,209970,,83987.99999999523,344954.1499999595,100344954.14999996
2021-12-28 13:28:00,LONG,13:27:00,TATAMOTORS,477.8,478.1,13:28:00,210014,,63004.20000000239,407958.3499999619,100407958.34999996
2021-12-28 14:05:00,SHORT,13:29:00,TATAMOTORS,478.1,480.35,14:05:00,210014,,-472531.5,-64573.15000003809,99935426.84999996
2021-12-28 14:07:00,LONG,14:06:00,TATAMOTORS,480.15,480.7,14:07:00,208133,,114473.15000000237,49899.999999964275,100049899.99999997
2021-12-28 14:29:00,SHORT,14:08:00,TATAMOTORS,481.2,481.95,14:29:00,207917,,-155937.75,-106037.75000003572,99893962.24999999
2021-12-28 14:48:00,LONG,14:30:00,TATAMOTORS,481.85,479.0,14:48:00,207313,,-590842.0500000047,-696879.8000000404,99303120.19999997
2021-12-28 14:52:00,LONG,14:49:00,TATAMOTORS,478.55,479.25,14:52:00,207508,,145255.59999999765,-551624.2000000428,99448375.79999997
2021-12-28 15:29:00,SHORT,14:53:00,TATAMOTORS,479.45,480.35,15:29:00,207421,,-186678.90000000707,-738303.1000000499,99261696.89999996
2021-12-29 09:17:00,LONG,09:15:00,TATAMOTORS,477.35,478.9,09:17:00,207943,,322311.64999999054,-415991.4500000594,99584008.54999994
2021-12-29 09:26:00,SHORT,09:18:00,TATAMOTORS,480.0,479.55,09:26:00,207466,,93359.69999999764,-322631.75000006176,99677368.24999996
2021-12-29 09:30:00,LONG,09:28:00,TATAMOTORS,479.75,480.5,09:30:00,207769,,155826.75,-166805.00000006176,99833194.99999996
2021-12-29 09:36:00,SHORT,09:31:00,TATAMOTORS,480.85,480.2,09:36:00,207618,,134951.70000000708,-31853.300000054674,99968146.69999996
2021-12-29 09:47:00,LONG,09:37:00,TATAMOTORS,479.8,480.7,09:47:00,208353,,187517.69999999527,155664.3999999406,100155664.39999995
2021-12-29 09:54:00,SHORT,09:48:00,TATAMOTORS,480.5,479.8,09:54:00,208440,,145907.99999999764,301572.3999999382,100301572.39999995
2021-12-29 10:20:00,LONG,09:55:00,TATAMOTORS,479.5,477.35,10:20:00,209179,,-449734.84999999526,-148162.45000005706,99851837.54999995
2021-12-29 10:35:00,SHORT,10:21:00,TATAMOTORS,477.3,477.2,10:35:00,209201,,20920.100000004757,-127242.3500000523,99872757.64999996
2021-12-29 10:47:00,SHORT,10:36:00,TATAMOTORS,477.5,477.35,10:47:00,209157,,31373.549999995244,-95868.80000005706,99904131.19999997
2021-12-29 10:58:00,SHORT,10:49:00,TATAMOTORS,477.8,477.4,10:58:00,209091,,83636.40000000712,-12232.400000049936,99987767.59999998
2021-12-29 11:13:00,LONG,10:59:00,TATAMOTORS,477.25,476.95,11:13:00,209508,,-62852.40000000238,-75084.80000005232,99924915.19999997
2021-12-29 11:31:00,SHORT,11:14:00,TATAMOTORS,477.2,477.1,11:31:00,209398,,20939.799999992858,-54145.00000005946,99945854.99999994
2021-12-29 11:42:00,LONG,11:32:00,TATAMOTORS,476.8,477.1,11:42:00,209617,,62885.100000002385,8740.099999942926,100008740.09999993
2021-12-29 11:46:00,LONG,11:43:00,TATAMOTORS,476.95,477.2,11:46:00,209683,,52420.75,61160.849999942926,100061160.84999993
2021-12-29 11:59:00,SHORT,11:47:00,TATAMOTORS,477.5,477.0,11:59:00,209552,,104776.0,165936.84999994293,100165936.84999993
2021-12-29 12:06:00,SHORT,12:00:00,TATAMOTORS,477.2,477.0,12:06:00,209903,,41980.59999999761,207917.44999994055,100207917.44999993
2021-12-29 12:09:00,LONG,12:08:00,TATAMOTORS,477.0,477.4,12:09:00,210079,,84031.59999999522,291949.0499999358,100291949.04999992
2021-12-29 12:15:00,SHORT,12:10:00,TATAMOTORS,477.35,476.7,12:15:00,210101,,136565.65000000715,428514.6999999429,100428514.69999991
2021-12-29 12:25:00,LONG,12:17:00,TATAMOTORS,476.75,477.3,12:25:00,210652,,115858.60000000239,544373.2999999453,100544373.29999992
2021-12-29 12:43:00,SHORT,12:26:00,TATAMOTORS,477.1,477.2,12:43:00,210740,,-21073.99999999281,523299.29999995255,100523299.29999992
2021-12-29 12:47:00,LONG,12:45:00,TATAMOTORS,477.1,477.3,12:47:00,210696,,42139.1999999976,565438.4999999502,100565438.49999991
2021-12-29 12:50:00,SHORT,12:48:00,TATAMOTORS,477.3,477.15,12:50:00,210696,,31604.400000007186,597042.8999999574,100597042.8999999
2021-12-29 12:52:00,SHORT,12:51:00,TATAMOTORS,477.3,477.25,12:52:00,210762,,10538.100000002396,607580.9999999598,100607580.99999991
2021-12-29 12:54:00,SHORT,12:53:00,TATAMOTORS,477.3,477.25,12:54:00,210784,,10539.200000002396,618120.1999999622,100618120.19999993
2021-12-29 13:05:00,LONG,12:55:00,TATAMOTORS,477.15,477.05,13:05:00,210873,,-21087.299999992807,597032.8999999694,100597032.89999995
