Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:15:00,LONG,10:14:00,TATASTEEL,112.64,112.76,10:15:00,887784,,106534.08000000403,106534.08000000403,100106534.08
2021-12-28 10:21:00,LONG,10:16:00,TATASTEEL,112.72,112.76,10:21:00,888099,,35523.96000000555,142058.04000000958,100142058.04
2021-12-28 10:25:00,SHORT,10:22:00,TATASTEEL,112.81,112.74,10:25:00,887705,,62139.35000000656,204197.39000001614,100204197.39000002
2021-12-28 10:37:00,LONG,10:26:00,TATASTEEL,112.69,112.73,10:37:00,889202,,35568.08000000556,239765.47000002168,100239765.47000003
2021-12-28 10:42:00,SHORT,10:38:00,TATASTEEL,112.69,112.62,10:42:00,889517,,62266.189999993934,302031.66000001563,100302031.66000004
2021-12-28 10:45:00,SHORT,10:43:00,TATASTEEL,112.68,112.62,10:45:00,890149,,53408.940000002025,355440.6000000177,100355440.60000004
2021-12-28 10:50:00,LONG,10:46:00,TATASTEEL,112.57,112.67,10:50:00,891493,,89149.3000000076,444589.9000000253,100444589.90000005
2021-12-28 11:05:00,SHORT,10:51:00,TATASTEEL,112.7,112.74,11:05:00,891256,,-35650.239999992904,408939.6600000324,100408939.66000006
2021-12-28 11:43:00,SHORT,11:06:00,TATASTEEL,112.81,112.91,11:43:00,890071,,-89007.09999999494,319932.5600000374,100319932.56000008
2021-12-28 11:53:00,SHORT,11:44:00,TATASTEEL,112.93,112.87,11:53:00,888337,,53300.22000000202,373232.78000003943,100373232.78000009
2021-12-28 12:08:00,SHORT,11:54:00,TATASTEEL,112.92,113.0,12:08:00,888887,,-71110.95999999848,302121.8200000409,100302121.82000011
2021-12-28 12:13:00,SHORT,12:10:00,TATASTEEL,113.07,113.06,12:13:00,887079,,8870.789999991932,310992.6100000329,100310992.61000012
2021-12-28 12:17:00,SHORT,12:14:00,TATASTEEL,113.09,113.06,12:17:00,887001,,26610.03000000101,337602.6400000339,100337602.6400001
2021-12-28 12:39:00,LONG,12:18:00,TATASTEEL,112.93,113.01,12:39:00,888493,,71079.43999999849,408682.0800000324,100408682.0800001
2021-12-28 12:42:00,LONG,12:40:00,TATASTEEL,112.97,113.01,12:42:00,888808,,35552.32000000556,444234.4000000379,100444234.4000001
2021-12-28 12:58:00,LONG,12:43:00,TATASTEEL,112.94,112.88,12:58:00,889359,,-53361.54000000202,390872.8600000359,100390872.8600001
2021-12-28 13:00:00,SHORT,12:59:00,TATASTEEL,112.88,112.82,13:00:00,889359,,53361.54000000202,444234.4000000379,100444234.4000001
2021-12-28 13:26:00,LONG,13:01:00,TATASTEEL,112.77,112.72,13:26:00,890699,,-44534.949999997465,399699.45000004047,100399699.4500001
2021-12-28 13:28:00,LONG,13:27:00,TATASTEEL,112.68,112.72,13:28:00,891016,,35640.63999999291,435340.0900000334,100435340.0900001
2021-12-28 13:30:00,LONG,13:29:00,TATASTEEL,112.68,112.72,13:30:00,891332,,35653.279999992905,470993.3700000263,100470993.37000008
2021-12-28 13:54:00,SHORT,13:31:00,TATASTEEL,112.7,112.76,13:54:00,891490,,-53489.400000002024,417503.9700000243,100417503.97000006
2021-12-28 13:58:00,SHORT,13:55:00,TATASTEEL,112.81,112.76,13:58:00,890147,,44507.34999999747,462011.3200000218,100462011.32000008
2021-12-28 14:00:00,LONG,13:59:00,TATASTEEL,112.7,112.78,14:00:00,891410,,71312.79999999847,533324.1200000203,100533324.12000008
2021-12-28 14:03:00,LONG,14:01:00,TATASTEEL,112.73,112.79,14:03:00,891806,,53508.36000000203,586832.4800000223,100586832.48000008
2021-12-28 14:06:00,SHORT,14:04:00,TATASTEEL,112.82,112.72,14:06:00,891569,,89156.89999999493,675989.3800000172,100675989.38000007
2021-12-28 14:11:00,SHORT,14:07:00,TATASTEEL,112.79,112.76,14:11:00,892596,,26777.880000001016,702767.2600000183,100702767.26000008
2021-12-28 14:17:00,LONG,14:12:00,TATASTEEL,112.76,112.79,14:17:00,893071,,26792.130000001016,729559.3900000193,100729559.39000008
2021-12-28 14:37:00,SHORT,14:18:00,TATASTEEL,112.84,112.84,14:37:00,892675,,0.0,729559.3900000193,100729559.39000008
2021-12-28 14:47:00,LONG,14:38:00,TATASTEEL,112.84,112.47,14:47:00,892675,,-330289.7500000041,399269.64000001526,100399269.64000008
2021-12-28 14:50:00,LONG,14:48:00,TATASTEEL,112.44,112.47,14:50:00,892914,,26787.420000001017,426057.0600000163,100426057.06000008
2021-12-28 15:21:00,SHORT,14:51:00,TATASTEEL,112.51,112.69,15:21:00,892596,,-160667.2799999934,265389.7800000229,100265389.7800001
2021-12-28 15:23:00,SHORT,15:22:00,TATASTEEL,112.72,112.67,15:23:00,889508,,44475.39999999747,309865.18000002037,100309865.18000011
2021-12-28 15:27:00,SHORT,15:25:00,TATASTEEL,112.71,112.7,15:27:00,889981,,8899.809999991905,318764.9900000123,100318764.99000011
2021-12-28 15:29:00,LONG,15:28:00,TATASTEEL,112.7,112.7,15:29:00,890139,,0.0,318764.9900000123,100318764.99000011
2021-12-29 09:16:00,LONG,09:15:00,TATASTEEL,111.9,112.2,09:16:00,896503,,268950.89999999746,587715.8900000097,100587715.89000012
2021-12-29 09:25:00,SHORT,09:17:00,TATASTEEL,112.39,112.33,09:25:00,894988,,53699.280000002036,641415.1700000117,100641415.17000014
2021-12-29 09:32:00,LONG,09:26:00,TATASTEEL,112.3,112.45,09:32:00,896183,,134427.4500000051,775842.6200000168,100775842.62000015
2021-12-29 09:35:00,SHORT,09:33:00,TATASTEEL,112.45,112.33,09:35:00,896183,,107541.96000000408,883384.5800000208,100883384.58000015
2021-12-29 10:22:00,LONG,09:36:00,TATASTEEL,112.1,111.25,10:22:00,899940,,-764948.9999999949,118435.58000002592,100118435.58000015
2021-12-29 10:27:00,SHORT,10:23:00,TATASTEEL,111.26,111.19,10:27:00,899860,,62990.20000000665,181425.78000003257,100181425.78000017
2021-12-29 10:30:00,SHORT,10:28:00,TATASTEEL,111.25,111.09,10:30:00,900507,,144081.11999999694,325506.9000000295,100325506.90000014
2021-12-29 10:36:00,LONG,10:31:00,TATASTEEL,111.01,111.04,10:36:00,903751,,27112.53000000103,352619.4300000305,100352619.43000014
2021-12-29 11:06:00,SHORT,10:37:00,TATASTEEL,111.02,111.0,11:06:00,903914,,18078.279999996405,370697.7100000269,100370697.71000016
2021-12-29 11:31:00,SHORT,11:07:00,TATASTEEL,111.07,111.12,11:31:00,903670,,-45183.500000010274,325514.2100000166,100325514.21000013
2021-12-29 11:36:00,LONG,11:33:00,TATASTEEL,111.13,111.18,11:36:00,902776,,45138.80000001026,370653.0100000269,100370653.01000014
2021-12-29 11:44:00,LONG,11:37:00,TATASTEEL,111.15,111.18,11:44:00,903019,,27090.570000001026,397743.5800000279,100397743.58000013
2021-12-29 11:54:00,SHORT,11:45:00,TATASTEEL,111.24,111.21,11:54:00,902532,,27075.960000001025,424819.5400000289,100424819.54000011
2021-12-29 11:56:00,SHORT,11:55:00,TATASTEEL,111.26,111.22,11:56:00,902613,,36104.52000000564,460924.0600000346,100460924.06000014
2021-12-29 11:58:00,LONG,11:57:00,TATASTEEL,111.22,111.26,11:58:00,903263,,36130.52000000565,497054.58000004024,100497054.58000015
2021-12-29 12:02:00,SHORT,11:59:00,TATASTEEL,111.28,111.21,12:02:00,903100,,63217.00000000667,560271.5800000469,100560271.58000016
2021-12-29 12:15:00,SHORT,12:03:00,TATASTEEL,111.24,111.18,12:15:00,903993,,54239.57999998921,614511.1600000361,100614511.16000015
2021-12-29 12:18:00,SHORT,12:16:00,TATASTEEL,111.26,111.17,12:18:00,904318,,81388.62000000308,695899.7800000391,100695899.78000015
2021-12-29 12:37:00,LONG,12:19:00,TATASTEEL,111.17,111.18,12:37:00,905783,,9057.830000004635,704957.6100000438,100704957.61000016
2021-12-29 12:39:00,SHORT,12:38:00,TATASTEEL,111.17,111.14,12:39:00,905864,,27175.92000000103,732133.5300000447,100732133.53000017
2021-12-29 12:51:00,LONG,12:40:00,TATASTEEL,111.14,111.16,12:51:00,906353,,18127.059999996392,750260.5900000412,100750260.59000017
2021-12-29 12:53:00,LONG,12:52:00,TATASTEEL,111.14,111.18,12:53:00,906516,,36260.64000000567,786521.2300000469,100786521.23000018
2021-12-29 13:05:00,SHORT,12:54:00,TATASTEEL,111.2,111.42,13:05:00,906353,,-199397.65999999896,587123.5700000479,100587123.57000019
2021-12-29 13:14:00,LONG,13:06:00,TATASTEEL,111.42,111.44,13:14:00,902774,,18055.47999999641,605179.0500000443,100605179.05000019
2021-12-29 13:27:00,SHORT,13:15:00,TATASTEEL,111.46,111.58,13:27:00,902612,,-108313.4400000041,496865.61000004015,100496865.61000018
2021-12-29 13:58:00,LONG,13:29:00,TATASTEEL,111.56,111.47,13:58:00,900832,,-81074.88000000308,415790.73000003706,100415790.73000017
2021-12-29 14:00:00,SHORT,13:59:00,TATASTEEL,111.6,111.48,14:00:00,899783,,107973.9599999913,523764.69000002835,100523764.69000015
2021-12-29 14:02:00,SHORT,14:01:00,TATASTEEL,111.5,111.48,14:02:00,901558,,18031.159999996413,541795.8500000248,100541795.85000014
2021-12-29 14:12:00,LONG,14:03:00,TATASTEEL,111.43,111.47,14:12:00,902286,,36091.43999999282,577887.2900000176,100577887.29000014
2021-12-29 14:18:00,SHORT,14:13:00,TATASTEEL,111.46,111.43,14:18:00,902367,,27071.009999988204,604958.3000000059,100604958.30000013
2021-12-29 14:20:00,SHORT,14:19:00,TATASTEEL,111.44,111.37,14:20:00,902772,,63194.039999993845,668152.3399999997,100668152.34000014
2021-12-29 14:24:00,LONG,14:21:00,TATASTEEL,111.35,111.47,14:24:00,904069,,108488.28000000412,776640.6200000038,100776640.62000014
2021-12-29 14:47:00,SHORT,14:25:00,TATASTEEL,111.52,111.64,14:47:00,903664,,-108439.68000000411,668200.9399999997,100668200.94000016
2021-12-29 14:49:00,LONG,14:48:00,TATASTEEL,111.64,111.68,14:49:00,901721,,36068.840000005635,704269.7800000054,100704269.78000017
2021-12-29 14:53:00,SHORT,14:50:00,TATASTEEL,111.67,111.63,14:53:00,901802,,36072.08000000564,740341.860000011,100740341.8600002
2021-12-29 15:01:00,SHORT,14:54:00,TATASTEEL,111.73,111.68,15:01:00,901640,,45081.99999999744,785423.8600000085,100785423.86000018
2021-12-29 15:13:00,LONG,15:02:00,TATASTEEL,111.64,111.62,15:13:00,902771,,-18055.419999996408,767368.440000012,100767368.44000019
2021-12-29 15:21:00,SHORT,15:14:00,TATASTEEL,111.7,111.67,15:21:00,902125,,27063.750000001026,794432.1900000131,100794432.19000018
2021-12-29 15:29:00,LONG,15:22:00,TATASTEEL,111.54,111.55,15:29:00,903661,,9036.60999999178,803468.8000000049,100803468.80000016
2021-12-30 09:16:00,LONG,09:15:00,TATASTEEL,111.49,111.64,09:16:00,904148,,135622.20000000513,939091.00000001,100939091.00000016
2021-12-30 09:24:00,SHORT,09:17:00,TATASTEEL,111.8,112.3,09:24:00,902854,,-451427.0,487664.00000001,100487664.00000016
2021-12-30 09:29:00,LONG,09:26:00,TATASTEEL,112.22,112.5,09:29:00,895452,,250726.56000000102,738390.560000011,100738390.56000017
2021-12-30 09:33:00,SHORT,09:30:00,TATASTEEL,112.57,112.4,09:33:00,894895,,152132.14999998882,890522.7099999998,100890522.71000016
2021-12-30 10:28:00,LONG,09:34:00,TATASTEEL,112.24,111.6,10:28:00,898882,,-575284.4800000006,315238.2299999993,100315238.23000015
2021-12-30 10:30:00,SHORT,10:29:00,TATASTEEL,111.55,111.54,10:30:00,899284,,8992.839999991822,324231.0699999911,100324231.07000016
2021-12-30 10:55:00,LONG,10:31:00,TATASTEEL,111.51,111.31,10:55:00,899688,,-179937.60000000257,144293.46999998853,100144293.47000015
2021-12-30 10:57:00,SHORT,10:56:00,TATASTEEL,111.29,111.22,10:57:00,899849,,62989.43000000665,207282.8999999952,100207282.90000015
2021-12-30 11:04:00,SHORT,10:58:00,TATASTEEL,111.28,111.21,11:04:00,900496,,63034.72000000665,270317.62000000186,100270317.62000015
