Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:35:00,LONG,10:14:00,TCS,3714.35,3713.95,10:35:00,26922,,-10768.800000002448,-10768.800000002448,99989231.19999999
2021-12-28 10:42:00,SHORT,10:36:00,TCS,3712.95,3712.05,10:42:00,26929,,24236.099999990205,13467.299999987757,100013467.3
2021-12-28 10:46:00,SHORT,10:43:00,TCS,3712.65,3712.2,10:46:00,26938,,12122.10000000735,25589.39999999511,100025589.4
2021-12-28 10:48:00,SHORT,10:47:00,TCS,3713.1,3712.35,10:48:00,26938,,20203.5,45792.899999995105,100045792.89999999
2021-12-28 10:52:00,LONG,10:49:00,TCS,3712.25,3712.7,10:52:00,26950,,12127.499999995098,57920.3999999902,100057920.39999999
2021-12-28 10:55:00,SHORT,10:53:00,TCS,3713.5,3710.95,10:55:00,26944,,68707.2000000049,126627.5999999951,100126627.59999998
2021-12-28 11:01:00,LONG,10:56:00,TCS,3710.95,3712.6,11:01:00,26981,,44518.65000000245,171146.24999999756,100171146.24999999
2021-12-28 11:04:00,LONG,11:02:00,TCS,3712.1,3712.6,11:04:00,26985,,13492.5,184638.74999999756,100184638.74999999
2021-12-28 11:25:00,SHORT,11:05:00,TCS,3713.2,3717.6,11:25:00,26980,,-118712.00000000246,65926.7499999951,100065926.75
2021-12-28 11:27:00,LONG,11:26:00,TCS,3713.0,3717.0,11:27:00,26950,,107800.0,173726.7499999951,100173726.75
2021-12-28 11:49:00,SHORT,11:28:00,TCS,3716.2,3716.55,11:49:00,26955,,-9434.250000009806,164292.4999999853,100164292.5
2021-12-28 11:52:00,LONG,11:51:00,TCS,3717.0,3718.35,11:52:00,26947,,36378.44999999755,200670.94999998284,100200670.95
2021-12-28 11:55:00,LONG,11:53:00,TCS,3715.2,3718.2,11:55:00,26970,,80910.0,281580.94999998284,100281580.95
2021-12-28 12:03:00,SHORT,11:56:00,TCS,3719.9,3715.65,12:03:00,26958,,114571.5,396152.44999998284,100396152.45
2021-12-28 12:28:00,LONG,12:05:00,TCS,3715.75,3717.85,12:28:00,27019,,56739.89999999754,452892.34999998036,100452892.35
2021-12-28 12:32:00,LONG,12:29:00,TCS,3716.1,3716.75,12:32:00,27031,,17570.150000002457,470462.4999999828,100470462.5
2021-12-28 12:34:00,SHORT,12:33:00,TCS,3716.9,3716.2,12:34:00,27030,,18921.000000007374,489383.4999999902,100489383.5
2021-12-28 12:40:00,SHORT,12:35:00,TCS,3717.25,3716.05,12:40:00,27033,,32439.599999995084,521823.0999999853,100521823.1
2021-12-28 12:51:00,SHORT,12:41:00,TCS,3718.6,3716.75,12:51:00,27032,,50009.19999999754,571832.2999999828,100571832.30000001
2021-12-28 13:16:00,SHORT,12:52:00,TCS,3717.7,3716.65,13:16:00,27052,,28404.59999999262,600236.8999999755,100600236.89999999
2021-12-28 13:22:00,SHORT,13:17:00,TCS,3718.35,3717.05,13:22:00,27055,,35171.499999992615,635408.3999999681,100635408.39999998
2021-12-28 13:33:00,SHORT,13:23:00,TCS,3717.7,3717.2,13:33:00,27069,,13534.5,648942.8999999681,100648942.89999999
2021-12-28 13:36:00,SHORT,13:34:00,TCS,3718.7,3716.95,13:36:00,27065,,47363.75,696306.6499999681,100696306.64999998
2021-12-28 14:05:00,SHORT,13:38:00,TCS,3717.85,3722.55,14:05:00,27084,,-127294.8000000074,569011.8499999607,100569011.84999995
2021-12-28 14:17:00,SHORT,14:06:00,TCS,3723.65,3722.4,14:17:00,27008,,33760.0,602771.8499999607,100602771.84999995
2021-12-28 14:28:00,LONG,14:18:00,TCS,3721.95,3720.95,14:28:00,27029,,-27029.0,575742.8499999607,100575742.84999995
2021-12-28 14:30:00,SHORT,14:29:00,TCS,3722.0,3720.0,14:30:00,27021,,54042.0,629784.8499999607,100629784.84999996
2021-12-28 14:42:00,LONG,14:31:00,TCS,3719.65,3708.2,14:42:00,27053,,-309756.85000000737,320027.9999999534,100320027.99999996
2021-12-28 14:45:00,SHORT,14:43:00,TCS,3707.0,3706.0,14:45:00,27062,,27062.0,347089.9999999534,100347089.99999994
2021-12-28 14:50:00,LONG,14:46:00,TCS,3701.0,3704.0,14:50:00,27113,,81339.0,428428.9999999534,100428428.99999994
2021-12-28 14:53:00,SHORT,14:51:00,TCS,3702.75,3700.65,14:53:00,27122,,56956.19999999753,485385.1999999509,100485385.19999994
2021-12-28 15:01:00,LONG,14:55:00,TCS,3696.1,3700.85,15:01:00,27186,,129133.5,614518.6999999508,100614518.69999994
2021-12-28 15:29:00,SHORT,15:02:00,TCS,3704.15,3706.95,15:29:00,27162,,-76053.59999999258,538465.0999999582,100538465.09999995
2021-12-29 09:19:00,LONG,09:15:00,TCS,3699.45,3704.0,09:19:00,27176,,123650.80000000494,662115.8999999631,100662115.89999996
2021-12-29 09:29:00,LONG,09:20:00,TCS,3703.45,3700.55,09:29:00,27180,,-78821.9999999901,583293.899999973,100583293.89999996
2021-12-29 10:09:00,SHORT,09:30:00,TCS,3700.75,3714.05,10:09:00,27179,,-361480.70000000496,221813.19999996806,100221813.19999997
2021-12-29 10:17:00,LONG,10:11:00,TCS,3712.95,3711.0,10:17:00,26992,,-52634.39999999509,169178.79999997298,100169178.79999998
2021-12-29 10:20:00,LONG,10:18:00,TCS,3709.4,3709.9,10:20:00,27004,,13502.0,182680.79999997298,100182680.79999998
