Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:22:00,LONG,10:14:00,TECHM,1798.0,1803.95,10:22:00,55617,,330921.1500000025,330921.1500000025,100330921.15
2021-12-28 10:24:00,LONG,10:23:00,TECHM,1803.0,1807.6,10:24:00,55646,,255971.59999999494,586892.7499999974,100586892.75
2021-12-28 11:36:00,SHORT,10:25:00,TECHM,1804.2,1816.05,11:36:00,55751,,-660649.349999995,-73756.59999999753,99926243.39999999
2021-12-28 11:44:00,SHORT,11:38:00,TECHM,1818.45,1818.0,11:44:00,54951,,24727.9500000025,-49028.64999999503,99950971.35
2021-12-28 12:02:00,SHORT,11:45:00,TECHM,1818.5,1818.4,12:02:00,54963,,5496.299999995001,-43532.350000000035,99956467.64999999
2021-12-28 12:21:00,LONG,12:03:00,TECHM,1817.65,1816.65,12:21:00,54992,,-54992.0,-98524.35000000003,99901475.64999999
2021-12-28 12:25:00,LONG,12:22:00,TECHM,1815.7,1815.85,12:25:00,55020,,8252.999999992495,-90271.35000000754,99909728.64999999
2021-12-28 12:40:00,LONG,12:26:00,TECHM,1815.3,1814.2,12:40:00,55037,,-60540.69999999499,-150812.05000000255,99849187.95
2021-12-28 12:46:00,SHORT,12:41:00,TECHM,1814.15,1812.75,12:46:00,55039,,77054.60000000501,-73757.44999999754,99926242.55000001
2021-12-28 12:57:00,LONG,12:47:00,TECHM,1812.25,1808.9,12:57:00,55139,,-184715.649999995,-258473.09999999253,99741526.90000002
2021-12-28 12:59:00,LONG,12:58:00,TECHM,1808.0,1809.1,12:59:00,55166,,60682.599999994985,-197790.49999999756,99802209.50000001
2021-12-28 13:09:00,SHORT,13:00:00,TECHM,1810.8,1808.9,13:09:00,55114,,104716.59999999248,-93073.90000000507,99906926.10000001
2021-12-28 13:21:00,LONG,13:11:00,TECHM,1808.6,1807.5,13:21:00,55239,,-60762.899999994974,-153836.80000000005,99846163.20000002
2021-12-28 13:23:00,LONG,13:22:00,TECHM,1806.6,1807.6,13:23:00,55267,,55267.0,-98569.80000000005,99901430.20000002
2021-12-28 13:27:00,SHORT,13:24:00,TECHM,1808.0,1806.4,13:27:00,55255,,88407.99999999498,-10161.800000005067,99989838.20000002
2021-12-28 13:43:00,LONG,13:28:00,TECHM,1806.2,1805.9,13:43:00,55359,,-16607.699999997483,-26769.50000000255,99973230.50000003
2021-12-28 13:55:00,SHORT,13:44:00,TECHM,1806.4,1810.95,13:55:00,55343,,-251810.6499999975,-278580.15,99721419.85000004
2021-12-28 13:57:00,SHORT,13:56:00,TECHM,1812.8,1811.45,13:57:00,55009,,74262.149999995,-204318.000000005,99795682.00000004
2021-12-28 14:08:00,LONG,13:59:00,TECHM,1810.65,1809.3,14:08:00,55115,,-74405.25000000752,-278723.2500000125,99721276.75000004
2021-12-28 14:10:00,SHORT,14:09:00,TECHM,1809.95,1807.0,14:10:00,55096,,162533.20000000251,-116190.05000001,99883809.95000005
2021-12-28 14:43:00,LONG,14:12:00,TECHM,1807.15,1797.95,14:43:00,55271,,-508493.2000000025,-624683.2500000126,99375316.75000004
2021-12-28 14:49:00,LONG,14:44:00,TECHM,1796.35,1795.35,14:49:00,55320,,-55320.0,-680003.2500000126,99319996.75000004
2021-12-28 15:24:00,SHORT,14:50:00,TECHM,1797.1,1807.1,15:24:00,55266,,-552660.0,-1232663.2500000126,98767336.75000003
2021-12-28 15:29:00,LONG,15:25:00,TECHM,1805.9,1803.95,15:29:00,54691,,-106647.45000000249,-1339310.700000015,98660689.30000003
2021-12-29 09:18:00,LONG,09:15:00,TECHM,1803.65,1810.65,09:18:00,54700,,382900.0,-956410.7000000151,99043589.30000003
2021-12-29 09:20:00,SHORT,09:19:00,TECHM,1812.7,1809.0,09:20:00,54638,,202160.60000000248,-754250.1000000127,99245749.90000004
2021-12-29 09:22:00,SHORT,09:21:00,TECHM,1809.5,1808.2,09:22:00,54847,,71301.0999999975,-682949.0000000151,99317051.00000003
2021-12-29 09:32:00,LONG,09:23:00,TECHM,1807.2,1807.8,09:32:00,54956,,32973.599999995,-649975.4000000202,99350024.60000002
2021-12-29 09:55:00,SHORT,09:33:00,TECHM,1809.1,1813.0,09:55:00,54916,,-214172.400000005,-864147.8000000252,99135852.20000002
2021-12-29 09:57:00,LONG,09:56:00,TECHM,1812.6,1815.0,09:57:00,54692,,131260.80000000497,-732887.0000000203,99267113.00000003
2021-12-29 09:59:00,LONG,09:58:00,TECHM,1813.4,1815.85,09:59:00,54740,,134112.99999999005,-598774.0000000303,99401226.00000003
2021-12-29 10:01:00,SHORT,10:00:00,TECHM,1815.75,1812.6,10:01:00,54743,,172440.450000005,-426333.5500000253,99573666.45000003
2021-12-29 10:08:00,LONG,10:03:00,TECHM,1811.4,1813.95,10:08:00,54970,,140173.4999999975,-286160.0500000278,99713839.95000003
2021-12-29 10:21:00,LONG,10:09:00,TECHM,1812.4,1811.25,10:21:00,55017,,-63269.550000005,-349429.6000000328,99650570.40000002
2021-12-29 10:40:00,SHORT,10:22:00,TECHM,1811.25,1808.55,10:40:00,55017,,148545.9000000025,-200883.7000000303,99799116.30000004
2021-12-29 11:37:00,LONG,10:42:00,TECHM,1808.45,1800.65,11:37:00,55184,,-430435.1999999975,-631318.9000000278,99368681.10000005
2021-12-29 11:42:00,SHORT,11:38:00,TECHM,1800.0,1799.35,11:42:00,55204,,35882.60000000502,-595436.3000000229,99404563.70000006
2021-12-29 11:44:00,LONG,11:43:00,TECHM,1799.35,1799.95,11:44:00,55244,,33146.40000000754,-562289.9000000153,99437710.10000007
2021-12-29 11:46:00,LONG,11:45:00,TECHM,1799.55,1800.0,11:46:00,55256,,24865.200000002515,-537424.7000000128,99462575.30000007
