Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:31:00,LONG,10:14:00,TITAN,2352.95,2356.95,10:31:00,42499,,169996.0,169996.0,100169996.0
2021-12-28 10:45:00,SHORT,10:32:00,TITAN,2357.45,2361.0,10:45:00,42490,,-150839.50000000774,19156.49999999226,100019156.5
2021-12-28 11:10:00,SHORT,10:46:00,TITAN,2361.25,2365.7,11:10:00,42358,,-188493.0999999923,-169336.60000000003,99830663.4
2021-12-28 11:23:00,LONG,11:11:00,TITAN,2364.3,2367.85,11:23:00,42224,,149895.1999999885,-19441.40000001155,99980558.6
2021-12-28 11:25:00,SHORT,11:24:00,TITAN,2367.15,2364.0,11:25:00,42236,,133043.40000000384,113601.99999999229,100113602.0
2021-12-28 11:34:00,LONG,11:26:00,TITAN,2362.0,2365.25,11:34:00,42385,,137751.25,251353.2499999923,100251353.25
2021-12-28 12:15:00,SHORT,11:35:00,TITAN,2365.7,2378.9,12:15:00,42377,,-559376.4000000115,-308023.15000001923,99691976.84999998
2021-12-28 12:17:00,LONG,12:16:00,TITAN,2378.9,2379.6,12:17:00,41906,,29334.19999999238,-278688.95000002685,99721311.04999997
2021-12-28 12:19:00,LONG,12:18:00,TITAN,2378.7,2379.2,12:19:00,41922,,20961.0,-257727.95000002685,99742272.04999997
2021-12-28 12:21:00,LONG,12:20:00,TITAN,2378.2,2379.8,12:21:00,41940,,67104.00000001525,-190623.9500000116,99809376.05
2021-12-28 12:30:00,SHORT,12:22:00,TITAN,2381.3,2379.5,12:30:00,41913,,75443.40000000762,-115180.55000000398,99884819.44999999
2021-12-28 12:34:00,SHORT,12:31:00,TITAN,2382.0,2380.0,12:34:00,41933,,83866.0,-31314.550000003976,99968685.44999999
2021-12-28 12:36:00,LONG,12:35:00,TITAN,2379.35,2381.25,12:36:00,42015,,79828.50000000383,48513.94999999985,100048513.94999999
2021-12-28 12:41:00,SHORT,12:37:00,TITAN,2382.45,2380.35,12:41:00,41993,,88185.29999999618,136699.24999999604,100136699.24999999
2021-12-28 12:46:00,SHORT,12:42:00,TITAN,2381.95,2380.2,12:46:00,42039,,73568.25,210267.49999999604,100210267.49999999
2021-12-28 12:48:00,SHORT,12:47:00,TITAN,2380.95,2380.0,12:48:00,42088,,39983.599999992344,250251.0999999884,100250251.09999996
2021-12-28 12:57:00,LONG,12:49:00,TITAN,2379.3,2380.6,12:57:00,42134,,54774.1999999885,305025.2999999769,100305025.29999995
2021-12-28 12:59:00,LONG,12:58:00,TITAN,2380.25,2381.85,12:59:00,42140,,67423.99999999617,372449.29999997304,100372449.29999995
2021-12-28 13:01:00,LONG,13:00:00,TITAN,2380.5,2381.5,13:01:00,42164,,42164.0,414613.29999997304,100414613.29999995
2021-12-28 13:03:00,SHORT,13:02:00,TITAN,2381.9,2380.5,13:03:00,42157,,59019.80000000384,473633.09999997687,100473633.09999996
2021-12-28 13:13:00,LONG,13:04:00,TITAN,2380.3,2373.45,13:13:00,42210,,-289138.50000001537,184494.5999999615,100184494.59999993
2021-12-28 13:24:00,SHORT,13:14:00,TITAN,2374.0,2377.5,13:24:00,42200,,-147700.0,36794.5999999615,100036794.59999993
2021-12-28 13:32:00,SHORT,13:26:00,TITAN,2379.7,2377.5,13:32:00,42037,,92481.39999999235,129275.99999995386,100129275.99999994
2021-12-28 13:37:00,SHORT,13:34:00,TITAN,2378.1,2377.4,13:37:00,42104,,29472.79999999234,158748.7999999462,100158748.79999991
2021-12-28 13:49:00,LONG,13:38:00,TITAN,2376.0,2378.25,13:49:00,42154,,94846.5,253595.2999999462,100253595.29999991
2021-12-28 14:19:00,SHORT,13:50:00,TITAN,2378.45,2382.0,14:19:00,42150,,-149632.50000000765,103962.79999993855,100103962.7999999
2021-12-28 14:27:00,LONG,14:20:00,TITAN,2381.95,2380.9,14:27:00,42026,,-44127.299999988536,59835.499999950014,100059835.49999991
2021-12-28 14:29:00,SHORT,14:28:00,TITAN,2381.5,2380.0,14:29:00,42015,,63022.5,122857.99999995001,100122857.99999991
