Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:23:00,LONG,10:16:00,ULTRACEMCO,7365.5,7372.0,10:23:00,13576,,88244.0,88244.0,100088244.0
2021-12-28 10:25:00,SHORT,10:24:00,ULTRACEMCO,7370.0,7369.0,10:25:00,13580,,13580.0,101824.0,100101824.0
2021-12-28 10:44:00,LONG,10:26:00,ULTRACEMCO,7367.95,7359.7,10:44:00,13586,,-112084.5,-10260.5,99989739.5
2021-12-28 10:47:00,LONG,10:45:00,ULTRACEMCO,7355.3,7358.0,10:47:00,13594,,36703.79999999753,26443.29999999753,100026443.3
2021-12-28 10:49:00,SHORT,10:48:00,ULTRACEMCO,7358.0,7355.1,10:49:00,13594,,39422.59999999506,65865.89999999259,100065865.9
2021-12-28 11:18:00,SHORT,10:50:00,ULTRACEMCO,7359.0,7360.2,11:18:00,13597,,-16316.399999997528,49549.49999999506,100049549.50000001
2021-12-28 11:20:00,SHORT,11:19:00,ULTRACEMCO,7365.0,7361.15,11:20:00,13584,,52298.40000000494,101847.9,100101847.9
2021-12-28 11:22:00,SHORT,11:21:00,ULTRACEMCO,7363.85,7360.5,11:22:00,13593,,45536.55000000494,147384.45000000493,100147384.45000002
2021-12-28 11:25:00,LONG,11:23:00,ULTRACEMCO,7360.35,7363.35,11:25:00,13606,,40818.0,188202.45000000493,100188202.45000002
2021-12-28 11:27:00,SHORT,11:26:00,ULTRACEMCO,7363.0,7360.75,11:27:00,13606,,30613.5,218815.95000000493,100218815.95000002
2021-12-28 11:42:00,SHORT,11:28:00,ULTRACEMCO,7363.5,7374.45,11:42:00,13610,,-149029.49999999753,69786.4500000074,100069786.45000002
2021-12-28 11:49:00,LONG,11:43:00,ULTRACEMCO,7374.45,7375.15,11:49:00,13569,,9498.299999997533,79284.75000000493,100079284.75000001
2021-12-28 12:18:00,SHORT,11:50:00,ULTRACEMCO,7376.0,7400.0,12:18:00,13568,,-325632.0,-246347.24999999505,99753652.75
2021-12-28 12:21:00,LONG,12:20:00,ULTRACEMCO,7399.0,7405.0,12:21:00,13482,,80892.0,-165455.24999999505,99834544.75
2021-12-28 12:26:00,SHORT,12:22:00,ULTRACEMCO,7407.0,7400.15,12:26:00,13478,,92324.3000000049,-73130.94999999015,99926869.05000001
2021-12-28 12:29:00,LONG,12:27:00,ULTRACEMCO,7400.0,7402.0,12:29:00,13503,,27006.0,-46124.949999990145,99953875.05000001
2021-12-28 12:34:00,SHORT,12:30:00,ULTRACEMCO,7401.65,7400.0,12:34:00,13504,,22281.599999995087,-23843.349999995058,99976156.65
2021-12-28 12:49:00,LONG,12:35:00,ULTRACEMCO,7399.75,7392.0,12:49:00,13510,,-104702.5,-128545.84999999506,99871454.15
2021-12-28 13:12:00,SHORT,12:50:00,ULTRACEMCO,7395.6,7394.0,13:12:00,13504,,21606.400000004913,-106939.44999999015,99893060.55000001
2021-12-28 13:14:00,LONG,13:13:00,ULTRACEMCO,7394.0,7397.75,13:14:00,13510,,50662.5,-56276.949999990145,99943723.05000001
2021-12-28 13:43:00,SHORT,13:15:00,ULTRACEMCO,7397.85,7396.0,13:43:00,13509,,24991.650000004913,-31285.299999985233,99968714.70000002
2021-12-28 13:45:00,LONG,13:44:00,ULTRACEMCO,7396.0,7399.0,13:45:00,13516,,40548.0,9262.700000014767,100009262.70000002
2021-12-28 13:57:00,SHORT,13:46:00,ULTRACEMCO,7405.0,7407.9,13:57:00,13505,,-39164.49999999509,-29901.79999998032,99970098.20000002
2021-12-28 14:00:00,LONG,13:58:00,ULTRACEMCO,7406.0,7408.9,14:00:00,13498,,39144.19999999509,9242.400000014772,100009242.4
2021-12-28 14:02:00,LONG,14:01:00,ULTRACEMCO,7404.2,7408.6,14:02:00,13507,,59430.80000000737,68673.20000002215,100068673.20000002
2021-12-28 14:24:00,LONG,14:03:00,ULTRACEMCO,7404.6,7399.4,14:24:00,13514,,-70272.80000000983,-1599.5999999876803,99998400.4
2021-12-28 14:26:00,LONG,14:25:00,ULTRACEMCO,7395.0,7398.85,14:26:00,13522,,52059.700000004916,50460.100000017235,100050460.10000001
2021-12-28 14:34:00,SHORT,14:27:00,ULTRACEMCO,7399.85,7397.0,14:34:00,13520,,38532.00000000492,88992.10000002215,100088992.10000002
2021-12-28 14:49:00,LONG,14:36:00,ULTRACEMCO,7396.0,7383.4,14:49:00,13532,,-170503.20000000493,-81511.09999998278,99918488.90000002
2021-12-28 15:10:00,SHORT,14:50:00,ULTRACEMCO,7393.6,7405.1,15:10:00,13514,,-155411.0,-236922.09999998278,99763077.9
2021-12-28 15:18:00,LONG,15:11:00,ULTRACEMCO,7404.55,7408.45,15:18:00,13473,,52544.6999999951,-184377.39999998768,99815622.6
2021-12-28 15:21:00,SHORT,15:19:00,ULTRACEMCO,7407.6,7403.1,15:21:00,13474,,60633.0,-123744.39999998768,99876255.6
2021-12-28 15:27:00,SHORT,15:23:00,ULTRACEMCO,7409.85,7406.0,15:27:00,13478,,51890.30000000491,-71854.09999998278,99928145.9
2021-12-28 15:29:00,SHORT,15:28:00,ULTRACEMCO,7406.8,7409.95,15:29:00,13491,,-42496.64999999509,-114350.74999997787,99885649.24999999
2021-12-29 09:28:00,LONG,09:15:00,ULTRACEMCO,7399.95,7400.75,09:28:00,13498,,10798.400000002455,-103552.34999997541,99896447.64999999
2021-12-29 09:38:00,SHORT,09:29:00,ULTRACEMCO,7404.35,7416.35,09:38:00,13491,,-161892.0,-265444.3499999754,99734555.64999999
2021-12-29 09:52:00,LONG,09:47:00,ULTRACEMCO,7412.4,7418.0,09:52:00,13455,,75348.00000000489,-190096.34999997052,99809903.64999999
2021-12-29 09:55:00,SHORT,09:53:00,ULTRACEMCO,7419.0,7409.7,09:55:00,13453,,125112.90000000245,-64983.44999996807,99935016.54999998
2021-12-29 10:04:00,LONG,09:57:00,ULTRACEMCO,7412.35,7419.0,10:04:00,13482,,89655.2999999951,24671.85000002703,100024671.84999998
2021-12-29 10:15:00,SHORT,10:05:00,ULTRACEMCO,7421.0,7416.05,10:15:00,13478,,66716.09999999755,91387.95000002458,100091387.94999996
2021-12-29 10:20:00,LONG,10:16:00,ULTRACEMCO,7415.0,7401.95,10:20:00,13498,,-176148.90000000247,-84760.9499999779,99915239.04999995
2021-12-29 11:53:00,SHORT,10:21:00,ULTRACEMCO,7401.55,7444.0,11:53:00,13499,,-573032.5499999976,-657793.4999999756,99342206.49999994
2021-12-29 11:56:00,SHORT,11:54:00,ULTRACEMCO,7449.95,7446.0,11:56:00,13334,,52669.29999999757,-605124.199999978,99394875.79999995
2021-12-29 12:34:00,LONG,11:57:00,ULTRACEMCO,7444.85,7431.05,12:34:00,13350,,-184230.00000000242,-789354.1999999804,99210645.79999995
2021-12-29 12:39:00,SHORT,12:38:00,ULTRACEMCO,7431.0,7425.4,12:39:00,13350,,74760.00000000486,-714594.1999999755,99285405.79999995
2021-12-29 12:46:00,LONG,12:40:00,ULTRACEMCO,7422.0,7429.9,12:46:00,13377,,105678.29999999513,-608915.8999999803,99391084.09999995
2021-12-29 12:48:00,SHORT,12:47:00,ULTRACEMCO,7430.1,7426.35,12:48:00,13376,,50160.0,-558755.8999999803,99441244.09999995
2021-12-29 12:53:00,SHORT,12:50:00,ULTRACEMCO,7429.55,7428.8,12:53:00,13384,,10038.0,-548717.8999999803,99451282.09999995
2021-12-29 13:10:00,LONG,12:54:00,ULTRACEMCO,7427.8,7423.45,13:10:00,13389,,-58242.15000000487,-606960.0499999853,99393039.94999994
2021-12-29 13:26:00,LONG,13:11:00,ULTRACEMCO,7419.05,7422.15,13:26:00,13397,,41530.69999999269,-565429.3499999925,99434570.64999993
2021-12-29 13:38:00,LONG,13:27:00,ULTRACEMCO,7417.75,7426.45,13:38:00,13404,,116614.79999999756,-448814.549999995,99551185.44999993
2021-12-29 13:50:00,SHORT,13:39:00,ULTRACEMCO,7423.4,7426.65,13:50:00,13410,,-43582.5,-492397.049999995,99507602.94999993
2021-12-29 13:52:00,LONG,13:51:00,ULTRACEMCO,7425.05,7430.2,13:52:00,13401,,69015.14999999512,-423381.89999999985,99576618.09999993
2021-12-29 13:54:00,LONG,13:53:00,ULTRACEMCO,7425.0,7430.4,13:54:00,13410,,72413.99999999513,-350967.90000000474,99649032.09999993
2021-12-29 14:06:00,SHORT,13:55:00,ULTRACEMCO,7429.9,7427.5,14:06:00,13411,,32186.39999999512,-318781.5000000096,99681218.49999994
2021-12-29 14:22:00,SHORT,14:07:00,ULTRACEMCO,7430.0,7425.5,14:22:00,13416,,60372.0,-258409.5000000096,99741590.49999994
2021-12-29 14:24:00,SHORT,14:23:00,ULTRACEMCO,7431.55,7427.5,14:24:00,13421,,54355.05000000244,-204054.45000000717,99795945.54999995
2021-12-29 14:27:00,LONG,14:25:00,ULTRACEMCO,7427.5,7429.7,14:27:00,13436,,29559.199999997556,-174495.2500000096,99825504.74999996
2021-12-29 14:29:00,SHORT,14:28:00,ULTRACEMCO,7429.95,7428.0,14:29:00,13435,,26198.249999997555,-148297.00000001205,99851702.99999994
2021-12-29 14:32:00,LONG,14:30:00,ULTRACEMCO,7427.9,7429.0,14:32:00,13442,,14786.20000000489,-133510.80000000715,99866489.19999994
2021-12-29 14:34:00,LONG,14:33:00,ULTRACEMCO,7425.0,7429.0,14:34:00,13450,,53800.0,-79710.80000000715,99920289.19999994
2021-12-29 14:36:00,LONG,14:35:00,ULTRACEMCO,7425.3,7429.0,14:36:00,13456,,49787.19999999755,-29923.600000009596,99970076.39999995
2021-12-29 14:38:00,SHORT,14:37:00,ULTRACEMCO,7429.0,7426.45,14:38:00,13456,,34312.80000000245,4389.199999992852,100004389.19999994
2021-12-29 14:45:00,SHORT,14:39:00,ULTRACEMCO,7429.0,7427.6,14:45:00,13461,,18845.399999995105,23234.599999987957,100023234.59999992
2021-12-29 14:58:00,LONG,14:46:00,ULTRACEMCO,7426.1,7421.85,14:58:00,13469,,-57243.25,-34008.65000001204,99965991.34999992
2021-12-29 15:00:00,SHORT,14:59:00,ULTRACEMCO,7426.0,7420.0,15:00:00,13461,,80766.0,46757.34999998796,100046757.3499999
2021-12-29 15:04:00,LONG,15:01:00,ULTRACEMCO,7419.2,7422.35,15:04:00,13484,,42474.600000007355,89231.94999999531,100089231.94999991
2021-12-29 15:17:00,SHORT,15:05:00,ULTRACEMCO,7420.95,7421.05,15:17:00,13487,,-1348.7000000049065,87883.24999999041,100087883.2499999
2021-12-29 15:21:00,SHORT,15:18:00,ULTRACEMCO,7422.1,7421.05,15:21:00,13485,,14159.250000002452,102042.49999999287,100102042.49999988
2021-12-29 15:23:00,LONG,15:22:00,ULTRACEMCO,7421.05,7422.7,15:23:00,13488,,22255.199999995093,124297.69999998796,100124297.69999987
2021-12-29 15:29:00,SHORT,15:24:00,ULTRACEMCO,7422.0,7419.5,15:29:00,13490,,33725.0,158022.69999998796,100158022.69999987
2021-12-30 09:32:00,SHORT,09:16:00,ULTRACEMCO,7419.5,7422.2,09:32:00,13499,,-36447.29999999754,121575.39999999042,100121575.39999987
2021-12-30 09:47:00,LONG,09:33:00,ULTRACEMCO,7419.95,7427.3,09:47:00,13493,,99173.5500000049,220748.94999999533,100220748.94999988
2021-12-30 10:19:00,SHORT,09:48:00,ULTRACEMCO,7426.7,7451.2,10:19:00,13494,,-330603.0,-109854.05000000467,99890145.94999988
2021-12-30 10:31:00,SHORT,10:21:00,ULTRACEMCO,7459.25,7459.0,10:31:00,13391,,3347.75,-106506.30000000467,99893493.69999987
2021-12-30 10:33:00,SHORT,10:32:00,ULTRACEMCO,7461.6,7458.7,10:33:00,13387,,38822.30000000731,-67683.99999999737,99932315.99999987
2021-12-30 10:48:00,LONG,10:34:00,ULTRACEMCO,7457.0,7460.0,10:48:00,13401,,40203.0,-27480.999999997366,99972518.99999987
2021-12-30 10:50:00,LONG,10:49:00,ULTRACEMCO,7454.3,7460.0,10:50:00,13411,,76442.69999999757,48961.7000000002,100048961.69999987
2021-12-30 10:54:00,SHORT,10:51:00,ULTRACEMCO,7460.1,7457.0,10:54:00,13411,,41574.10000000488,90535.80000000508,100090535.7999999
2021-12-30 10:58:00,LONG,10:55:00,ULTRACEMCO,7456.45,7459.45,10:58:00,13423,,40269.0,130804.80000000508,100130804.7999999
2021-12-30 11:06:00,SHORT,10:59:00,ULTRACEMCO,7459.45,7455.05,11:06:00,13423,,59061.199999995115,189866.0000000002,100189865.99999988
2021-12-30 11:17:00,SHORT,11:07:00,ULTRACEMCO,7460.65,7456.5,11:17:00,13429,,55730.34999999512,245596.34999999532,100245596.34999987
2021-12-30 11:28:00,SHORT,11:19:00,ULTRACEMCO,7459.8,7463.05,11:28:00,13438,,-43673.5,201922.84999999532,100201922.84999987
2021-12-30 11:50:00,SHORT,11:29:00,ULTRACEMCO,7465.05,7473.2,11:50:00,13422,,-109389.29999999511,92533.5500000002,100092533.54999988
2021-12-30 11:54:00,LONG,11:51:00,ULTRACEMCO,7473.2,7478.15,11:54:00,13393,,66295.34999999756,158828.89999999775,100158828.89999987
2021-12-30 12:01:00,SHORT,11:55:00,ULTRACEMCO,7475.5,7472.5,12:01:00,13398,,40194.0,199022.89999999775,100199022.89999986
2021-12-30 12:09:00,SHORT,12:02:00,ULTRACEMCO,7476.0,7473.15,12:09:00,13402,,38195.70000000487,237218.60000000263,100237218.59999986
2021-12-30 12:20:00,LONG,12:10:00,ULTRACEMCO,7470.0,7469.75,12:20:00,13418,,-3354.5,233864.10000000263,100233864.09999986
2021-12-30 12:31:00,SHORT,12:21:00,ULTRACEMCO,7469.5,7480.55,12:31:00,13419,,-148279.95000000243,85584.1500000002,100085584.14999984
2021-12-30 12:33:00,SHORT,12:32:00,ULTRACEMCO,7484.15,7480.1,12:33:00,13373,,54160.64999999027,139744.79999999047,100139744.79999983
2021-12-30 12:36:00,LONG,12:34:00,ULTRACEMCO,7478.95,7483.0,12:36:00,13389,,54225.450000002435,193970.2499999929,100193970.24999984
2021-12-30 13:18:00,SHORT,12:37:00,ULTRACEMCO,7482.0,7487.45,13:18:00,13391,,-72980.94999999757,120989.29999999533,100120989.29999982
2021-12-30 13:47:00,LONG,13:19:00,ULTRACEMCO,7485.0,7427.85,13:47:00,13376,,-764438.3999999951,-643449.0999999999,99356550.89999983
2021-12-30 14:05:00,SHORT,13:48:00,ULTRACEMCO,7432.7,7432.9,14:05:00,13367,,-2673.3999999975686,-646122.4999999974,99353877.49999984
2021-12-30 14:30:00,SHORT,14:06:00,ULTRACEMCO,7436.35,7445.0,14:30:00,13360,,-115563.99999999514,-761686.4999999925,99238313.49999982
2021-12-30 14:35:00,LONG,14:32:00,ULTRACEMCO,7440.6,7446.9,14:35:00,13337,,84023.0999999903,-677663.4000000022,99322336.59999982
2021-12-30 14:46:00,LONG,14:36:00,ULTRACEMCO,7445.7,7437.3,14:46:00,13339,,-112047.59999999515,-789710.9999999974,99210288.99999982
2021-12-30 14:56:00,SHORT,14:47:00,ULTRACEMCO,7439.5,7431.85,14:56:00,13335,,102012.74999999515,-687698.2500000023,99312301.74999982
2021-12-30 15:06:00,LONG,14:59:00,ULTRACEMCO,7432.5,7394.2,15:06:00,13361,,-511726.30000000243,-1199424.5500000047,98800575.44999982
2021-12-30 15:29:00,SHORT,15:08:00,ULTRACEMCO,7394.9,7403.0,15:29:00,13360,,-108216.00000000486,-1307640.5500000096,98692359.44999981
2021-12-31 09:42:00,LONG,09:21:00,ULTRACEMCO,7467.25,7470.15,09:42:00,13216,,38326.39999999519,-1269314.1500000143,98730685.8499998
2021-12-31 09:50:00,LONG,09:43:00,ULTRACEMCO,7469.0,7470.0,09:50:00,13218,,13218.0,-1256096.1500000143,98743903.8499998
2021-12-31 10:05:00,SHORT,09:51:00,ULTRACEMCO,7479.1,7488.0,10:05:00,13202,,-117497.7999999952,-1373593.9500000095,98626406.0499998
2021-12-31 11:31:00,SHORT,10:10:00,ULTRACEMCO,7498.6,7625.45,11:31:00,13152,,-1668331.1999999927,-3041925.1500000022,96958074.84999983
2021-12-31 12:19:00,SHORT,11:32:00,ULTRACEMCO,7629.45,7626.65,12:19:00,12708,,35582.40000000231,-3006342.75,96993657.24999982
2021-12-31 12:35:00,LONG,12:20:00,ULTRACEMCO,7622.2,7627.0,12:35:00,12725,,61080.000000002314,-2945262.7499999977,97054737.24999982
2021-12-31 12:39:00,SHORT,12:36:00,ULTRACEMCO,7626.15,7616.25,12:39:00,12726,,125987.39999999537,-2819275.3500000024,97180724.6499998
2021-12-31 13:00:00,SHORT,12:41:00,ULTRACEMCO,7625.05,7623.0,13:00:00,12744,,26125.200000002318,-2793150.15,97206849.84999979
2021-12-31 13:39:00,LONG,13:01:00,ULTRACEMCO,7621.45,7607.0,13:39:00,12754,,-184295.2999999977,-2977445.4499999974,97022554.54999979
2021-12-31 13:58:00,LONG,13:40:00,ULTRACEMCO,7601.95,7588.0,13:58:00,12762,,-178029.89999999767,-3155475.349999995,96844524.6499998
2021-12-31 14:02:00,LONG,13:59:00,ULTRACEMCO,7585.5,7591.55,14:02:00,12767,,77240.35000000232,-3078234.9999999925,96921764.9999998
2021-12-31 14:04:00,SHORT,14:03:00,ULTRACEMCO,7588.0,7584.5,14:04:00,12773,,44705.5,-3033529.4999999925,96966470.49999982
2021-12-31 14:07:00,LONG,14:05:00,ULTRACEMCO,7579.3,7589.0,14:07:00,12793,,124092.09999999768,-2909437.399999995,97090562.59999982
2021-12-31 14:13:00,SHORT,14:08:00,ULTRACEMCO,7590.0,7570.25,14:13:00,12791,,252622.25,-2656815.149999995,97343184.84999982
2021-12-31 14:36:00,LONG,14:15:00,ULTRACEMCO,7570.05,7565.85,14:36:00,12858,,-54003.59999999766,-2710818.7499999925,97289181.24999982
2021-12-31 15:00:00,SHORT,14:39:00,ULTRACEMCO,7571.25,7575.5,15:00:00,12849,,-54608.25,-2765426.9999999925,97234572.99999982
2021-12-31 15:05:00,LONG,15:01:00,ULTRACEMCO,7575.05,7580.0,15:05:00,12836,,63538.19999999767,-2701888.7999999947,97298111.19999982
2021-12-31 15:10:00,SHORT,15:06:00,ULTRACEMCO,7584.0,7582.95,15:10:00,12829,,13470.450000002333,-2688418.349999992,97311581.64999981
2021-12-31 15:29:00,SHORT,15:11:00,ULTRACEMCO,7587.0,7600.0,15:29:00,12826,,-166738.0,-2855156.349999992,97144843.6499998
2022-01-03 09:44:00,SHORT,09:36:00,ULTRACEMCO,7594.0,7604.7,09:44:00,12792,,-136874.39999999767,-2992030.7499999898,97007969.2499998
2022-01-03 10:06:00,SHORT,09:57:00,ULTRACEMCO,7612.5,7605.0,10:06:00,12743,,95572.5,-2896458.2499999898,97103541.74999982
2022-01-03 10:30:00,LONG,10:19:00,ULTRACEMCO,7588.65,7595.4,10:30:00,12795,,86366.25,-2810091.9999999898,97189907.99999982
2022-01-03 10:35:00,SHORT,10:31:00,ULTRACEMCO,7595.4,7589.2,10:35:00,12795,,79328.99999999767,-2730762.999999992,97269236.99999982
2022-01-03 10:51:00,LONG,10:43:00,ULTRACEMCO,7583.0,7589.6,10:51:00,12827,,84658.20000000467,-2646104.7999999872,97353895.19999982
2022-01-03 10:59:00,SHORT,10:52:00,ULTRACEMCO,7590.0,7580.6,10:59:00,12826,,120564.39999999534,-2525540.399999992,97474459.5999998
2022-01-03 11:31:00,SHORT,11:03:00,ULTRACEMCO,7593.55,7590.95,11:31:00,12836,,33373.60000000467,-2492166.7999999872,97507833.1999998
2022-01-03 11:42:00,SHORT,11:32:00,ULTRACEMCO,7596.3,7587.4,11:42:00,12836,,114240.40000000701,-2377926.3999999803,97622073.5999998
2022-01-03 12:21:00,LONG,11:44:00,ULTRACEMCO,7585.1,7583.55,12:21:00,12870,,-19948.500000002343,-2397874.8999999827,97602125.0999998
2022-01-03 12:38:00,SHORT,12:22:00,ULTRACEMCO,7585.0,7619.95,12:38:00,12867,,-449701.64999999764,-2847576.5499999803,97152423.4499998
2022-01-03 12:45:00,LONG,12:40:00,ULTRACEMCO,7620.0,7624.05,12:45:00,12749,,51633.45000000232,-2795943.0999999777,97204056.8999998
2022-01-03 12:57:00,SHORT,12:46:00,ULTRACEMCO,7624.3,7619.55,12:57:00,12749,,60557.75,-2735385.3499999777,97264614.64999978
2022-01-03 13:11:00,LONG,12:58:00,ULTRACEMCO,7618.5,7625.35,13:11:00,12766,,87447.10000000465,-2647938.249999973,97352061.74999979
2022-01-03 14:16:00,SHORT,13:12:00,ULTRACEMCO,7626.0,7736.3,14:16:00,12765,,-1407979.5000000023,-4055917.7499999753,95944082.24999979
2022-01-03 14:26:00,LONG,14:17:00,ULTRACEMCO,7729.35,7733.95,14:26:00,12412,,57095.19999999323,-3998822.549999982,96001177.44999978
2022-01-03 14:49:00,LONG,14:27:00,ULTRACEMCO,7729.35,7735.9,14:49:00,12420,,81350.99999999096,-3917471.549999991,96082528.44999978
2022-01-03 15:07:00,LONG,14:50:00,ULTRACEMCO,7729.2,7720.1,15:07:00,12431,,-113122.09999999321,-4030593.649999984,95969406.34999979
2022-01-03 15:12:00,SHORT,15:08:00,ULTRACEMCO,7720.9,7718.0,15:12:00,12429,,36044.09999999548,-3994549.5499999886,96005450.44999978
2022-01-03 15:29:00,SHORT,15:13:00,ULTRACEMCO,7720.0,7712.0,15:29:00,12435,,99480.0,-3895069.5499999886,96104930.44999978
2022-01-04 10:05:00,SHORT,09:44:00,ULTRACEMCO,7684.2,7691.95,10:05:00,12506,,-96921.5,-3991991.0499999886,96008008.9499998
2022-01-04 10:07:00,SHORT,10:06:00,ULTRACEMCO,7695.0,7693.95,10:07:00,12476,,13099.80000000227,-3978891.2499999865,96021108.7499998
2022-01-04 10:17:00,LONG,10:08:00,ULTRACEMCO,7690.05,7695.0,10:17:00,12486,,61805.69999999773,-3917085.5499999886,96082914.44999981
2022-01-04 11:40:00,LONG,10:18:00,ULTRACEMCO,7693.05,7637.6,11:40:00,12489,,-692515.0499999977,-4609600.599999987,95390399.39999981
2022-01-04 11:46:00,SHORT,11:41:00,ULTRACEMCO,7638.05,7626.3,11:46:00,12488,,146734.0,-4462866.599999987,95537133.39999983
2022-01-04 11:53:00,SHORT,11:48:00,ULTRACEMCO,7638.25,7635.7,11:53:00,12507,,31892.850000002276,-4430973.749999984,95569026.24999984
2022-01-04 11:55:00,LONG,11:54:00,ULTRACEMCO,7634.8,7637.2,11:55:00,12517,,30040.799999995448,-4400932.949999989,95599067.04999982
2022-01-04 12:32:00,SHORT,11:56:00,ULTRACEMCO,7640.2,7643.5,12:32:00,12512,,-41289.600000002276,-4442222.549999991,95557777.44999981
2022-01-04 12:41:00,SHORT,12:33:00,ULTRACEMCO,7649.35,7643.45,12:41:00,12492,,73702.80000000681,-4368519.749999984,95631480.2499998
2022-01-04 12:47:00,SHORT,12:45:00,ULTRACEMCO,7646.8,7645.05,12:47:00,12506,,21885.5,-4346634.249999984,95653365.7499998
2022-01-04 12:49:00,LONG,12:48:00,ULTRACEMCO,7645.0,7645.55,12:49:00,12511,,6881.050000002276,-4339753.199999982,95660246.7999998
2022-01-04 12:56:00,SHORT,12:50:00,ULTRACEMCO,7648.55,7645.0,12:56:00,12506,,44396.30000000227,-4295356.899999979,95704643.09999979
2022-01-04 13:03:00,SHORT,12:58:00,ULTRACEMCO,7645.35,7644.35,13:03:00,12518,,12518.0,-4282838.899999979,95717161.09999979
2022-01-04 13:15:00,LONG,13:05:00,ULTRACEMCO,7643.6,7626.6,13:15:00,12522,,-212874.0,-4495712.899999979,95504287.09999979
2022-01-04 13:37:00,SHORT,13:16:00,ULTRACEMCO,7627.0,7654.5,13:37:00,12521,,-344327.5,-4840040.399999979,95159959.59999979
2022-01-04 14:03:00,LONG,13:38:00,ULTRACEMCO,7653.7,7648.4,14:03:00,12433,,-65894.90000000226,-4905935.299999981,95094064.69999978
2022-01-04 14:26:00,SHORT,14:04:00,ULTRACEMCO,7653.25,7649.15,14:26:00,12425,,50942.50000000452,-4854992.7999999765,95145007.19999978
2022-01-04 14:29:00,LONG,14:27:00,ULTRACEMCO,7646.2,7650.2,14:29:00,12443,,49772.0,-4805220.7999999765,95194779.19999978
2022-01-04 14:34:00,SHORT,14:30:00,ULTRACEMCO,7653.0,7647.9,14:34:00,12438,,63433.80000000453,-4741786.999999972,95258212.99999979
2022-01-04 14:37:00,SHORT,14:35:00,ULTRACEMCO,7651.65,7647.0,14:37:00,12449,,57887.84999999547,-4683899.149999976,95316100.84999979
2022-01-04 14:40:00,SHORT,14:38:00,ULTRACEMCO,7652.4,7646.0,14:40:00,12455,,79711.99999999547,-4604187.149999981,95395812.84999979
2022-01-04 14:44:00,LONG,14:43:00,ULTRACEMCO,7647.75,7651.6,14:44:00,12473,,48021.050000004536,-4556166.099999976,95443833.8999998
2022-01-04 14:46:00,SHORT,14:45:00,ULTRACEMCO,7653.0,7649.0,14:46:00,12471,,49884.0,-4506282.099999976,95493717.8999998
2022-01-04 14:49:00,LONG,14:47:00,ULTRACEMCO,7646.55,7652.45,14:49:00,12488,,73679.19999999546,-4432602.899999981,95567397.09999979
2022-01-04 14:53:00,SHORT,14:50:00,ULTRACEMCO,7652.75,7648.75,14:53:00,12487,,49948.0,-4382654.899999981,95617345.09999979
2022-01-04 14:57:00,SHORT,14:54:00,ULTRACEMCO,7652.8,7649.65,14:57:00,12494,,39356.100000006816,-4343298.799999974,95656701.19999978
2022-01-04 15:07:00,SHORT,14:58:00,ULTRACEMCO,7650.1,7646.05,15:07:00,12503,,50637.15000000227,-4292661.6499999715,95707338.34999979
2022-01-04 15:13:00,LONG,15:08:00,ULTRACEMCO,7643.95,7647.45,15:13:00,12520,,43820.0,-4248841.6499999715,95751158.34999979
2022-01-04 15:16:00,LONG,15:14:00,ULTRACEMCO,7645.05,7650.0,15:16:00,12524,,61993.79999999772,-4186847.8499999736,95813152.14999978
2022-01-04 15:29:00,SHORT,15:17:00,ULTRACEMCO,7652.5,7653.0,15:29:00,12520,,-6260.0,-4193107.8499999736,95806892.1499998
2022-01-05 09:28:00,SHORT,09:15:00,ULTRACEMCO,7668.75,7750.0,09:28:00,12493,,-1015056.25,-5208164.099999974,94791835.8999998
2022-01-05 11:08:00,LONG,09:29:00,ULTRACEMCO,7749.85,7640.1,11:08:00,12231,,-1342352.25,-6550516.349999974,93449483.6499998
2022-01-05 11:41:00,SHORT,11:15:00,ULTRACEMCO,7647.4,7638.0,11:41:00,12219,,114858.59999999555,-6435657.749999978,93564342.24999979
2022-01-05 11:52:00,SHORT,11:47:00,ULTRACEMCO,7634.8,7630.0,11:52:00,12254,,58819.20000000223,-6376838.549999976,93623161.44999981
2022-01-05 11:57:00,SHORT,11:53:00,ULTRACEMCO,7636.8,7630.05,11:57:00,12259,,82748.25,-6294090.299999976,93705909.6999998
2022-01-05 12:43:00,LONG,11:59:00,ULTRACEMCO,7629.6,7605.0,12:43:00,12281,,-302112.60000000446,-6596202.89999998,93403797.09999979
