Date,Outcome,Time of Entry,Option Symbol,Entry Price,Exit Price,Time of Exit,Quantity,SL,PnL,Cumulative PnL,Equity
2021-12-28 10:43:00,LONG,10:14:00,WIPRO,704.5,703.35,10:43:00,141944,,-163235.59999999678,-163235.59999999678,99836764.4
2021-12-28 10:47:00,SHORT,10:44:00,WIPRO,703.5,703.0,10:47:00,141914,,70957.0,-92278.59999999678,99907721.4
2021-12-28 11:09:00,LONG,10:48:00,WIPRO,702.35,703.6,11:09:00,142247,,177808.75,85530.15000000322,100085530.15
2021-12-28 11:12:00,SHORT,11:10:00,WIPRO,703.2,703.0,11:12:00,142328,,28465.600000006474,113995.75000000969,100113995.75
2021-12-28 11:17:00,LONG,11:13:00,WIPRO,702.95,704.5,11:17:00,142419,,220749.44999999352,334745.2000000032,100334745.19999999
2021-12-28 11:27:00,SHORT,11:18:00,WIPRO,703.95,705.3,11:27:00,142531,,-192416.84999998703,142328.3500000162,100142328.34999998
2021-12-28 11:38:00,SHORT,11:28:00,WIPRO,705.75,705.95,11:38:00,141894,,-28378.800000006453,113949.55000000974,100113949.54999995
2021-12-28 11:41:00,LONG,11:40:00,WIPRO,705.55,706.45,11:41:00,141894,,127704.6000000129,241654.15000002264,100241654.14999998
2021-12-28 11:45:00,SHORT,11:42:00,WIPRO,706.1,705.9,11:45:00,141965,,28393.000000006457,270047.15000002907,100270047.14999998
2021-12-28 12:13:00,LONG,11:46:00,WIPRO,705.85,706.0,12:13:00,142055,,21308.24999999677,291355.40000002587,100291355.39999998
2021-12-28 12:15:00,LONG,12:14:00,WIPRO,705.75,706.2,12:15:00,142106,,63947.700000006465,355303.10000003234,100355303.09999998
2021-12-28 12:26:00,LONG,12:16:00,WIPRO,705.7,705.95,12:26:00,142206,,35551.5,390854.60000003234,100390854.59999998
2021-12-28 12:34:00,SHORT,12:27:00,WIPRO,705.9,705.55,12:34:00,142216,,49775.600000003236,440630.2000000356,100440630.19999997
2021-12-28 12:39:00,LONG,12:36:00,WIPRO,705.55,705.85,12:39:00,142357,,42707.10000000971,483337.3000000453,100483337.29999998
2021-12-28 12:41:00,SHORT,12:40:00,WIPRO,706.15,705.75,12:41:00,142297,,56918.799999996765,540256.100000042,100540256.09999996
2021-12-28 12:44:00,SHORT,12:42:00,WIPRO,705.85,705.55,12:44:00,142438,,42731.400000009715,582987.5000000517,100582987.49999999
2021-12-28 12:52:00,LONG,12:45:00,WIPRO,705.3,704.55,12:52:00,142610,,-106957.5,476030.0000000517,100476029.99999999
2021-12-28 12:59:00,SHORT,12:53:00,WIPRO,704.55,704.35,12:59:00,142610,,28521.999999990272,504552.00000004197,100504552.0
2021-12-28 13:04:00,LONG,13:00:00,WIPRO,704.35,704.95,13:04:00,142691,,85614.60000000325,590166.6000000453,100590166.6
2021-12-28 13:06:00,SHORT,13:05:00,WIPRO,704.85,704.45,13:06:00,142711,,57084.39999999676,647251.000000042,100647250.99999999
2021-12-28 13:16:00,LONG,13:07:00,WIPRO,704.25,704.6,13:16:00,142914,,50019.90000000325,697270.9000000453,100697270.89999999
2021-12-28 13:28:00,LONG,13:17:00,WIPRO,704.25,704.0,13:28:00,142985,,-35746.25,661524.6500000453,100661524.64999999
2021-12-28 13:55:00,SHORT,13:29:00,WIPRO,704.0,705.15,13:55:00,142985,,-164432.74999999674,497091.90000004857,100497091.89999998
2021-12-28 13:57:00,LONG,13:56:00,WIPRO,704.95,705.3,13:57:00,142559,,49895.649999987036,546987.5500000356,100546987.54999995
2021-12-28 13:59:00,SHORT,13:58:00,WIPRO,705.3,705.1,13:59:00,142559,,28511.799999990275,575499.3500000258,100575499.34999993
2021-12-28 14:01:00,SHORT,14:00:00,WIPRO,705.3,704.95,14:01:00,142599,,49909.64999998703,625409.0000000128,100625408.99999991
2021-12-28 14:09:00,LONG,14:02:00,WIPRO,704.65,705.85,14:09:00,142801,,171361.2000000065,796770.2000000193,100796770.19999993
2021-12-28 14:14:00,SHORT,14:10:00,WIPRO,705.5,705.1,14:14:00,142872,,57148.79999999675,853919.0000000161,100853918.99999993
2021-12-28 14:47:00,LONG,14:15:00,WIPRO,704.8,703.0,14:47:00,143095,,-257570.99999999348,596348.0000000226,100596347.99999993
2021-12-28 14:49:00,SHORT,14:48:00,WIPRO,703.0,702.6,14:49:00,143095,,57237.99999999675,653586.0000000193,100653585.99999994
