Ticker,Date,Action,Quantity,Price,Total Value,Capital Left,Trade Type
AXISBANK,2021-12-28 10:20:00,BOUGHT,147972,675.8,99999477.6,522.4000000059605,True
AXISBANK,2021-12-28 10:43:00,SOLD,147972,673.4,99644344.8,99644867.2,True
AXISBANK,2021-12-28 10:44:00,SOLD,147950,673.5,99644325.0,199289192.2,False
AXISBANK,2021-12-28 10:48:00,BOUGHT,147950,673.15,99592542.5,99696649.69999999,False
AXISBANK,2021-12-28 10:49:00,BOUGHT,148159,672.9,99696191.1,458.59999999403954,True
AXISBANK,2021-12-28 10:51:00,SOLD,148159,673.35,99762862.65,99763321.25,True
AXISBANK,2021-12-28 10:52:00,SOLD,148126,673.5,99762861.0,199526182.25,False
AXISBANK,2021-12-28 11:04:00,BOUGHT,148126,673.8,99807298.8,99718883.45,False
AXISBANK,2021-12-28 11:05:00,BOUGHT,148060,673.5,99718410.0,473.45000000298023,True
AXISBANK,2021-12-28 11:09:00,SOLD,148060,674.2,99822052.0,99822525.45,True
AXISBANK,2021-12-28 11:10:00,SOLD,148016,674.4,99821990.39999999,199644515.85,False
AXISBANK,2021-12-28 11:40:00,BOUGHT,148016,675.1,99925601.60000001,99718914.24999999,False
AXISBANK,2021-12-28 11:41:00,BOUGHT,147720,675.05,99718386.0,528.2499999850988,True
AXISBANK,2021-12-28 11:55:00,SOLD,147720,674.65,99659298.0,99659826.24999999,True
AXISBANK,2021-12-28 11:56:00,SOLD,147666,674.9,99659783.39999999,199319609.64999998,False
AXISBANK,2021-12-28 12:20:00,BOUGHT,147666,675.3,99718849.8,99600759.84999998,False
AXISBANK,2021-12-28 12:21:00,SOLD,147338,676.0,99600488.0,199201247.84999996,False
AXISBANK,2021-12-28 12:23:00,BOUGHT,147338,675.65,99548919.7,99652328.14999996,False
AXISBANK,2021-12-28 12:24:00,BOUGHT,147534,675.45,99651840.30000001,487.84999994933605,True
AXISBANK,2021-12-28 12:28:00,SOLD,147534,675.9,99718230.6,99718718.44999994,True
AXISBANK,2021-12-28 12:29:00,BOUGHT,147578,675.7,99718454.60000001,263.8499999344349,True
AXISBANK,2021-12-28 12:33:00,SOLD,147578,675.8,99733212.39999999,99733476.24999993,True
AXISBANK,2021-12-28 12:34:00,SOLD,147589,675.75,99733266.75,199466742.99999994,False
AXISBANK,2021-12-28 12:46:00,BOUGHT,147589,676.15,99792302.35,99674440.64999995,False
AXISBANK,2021-12-28 12:47:00,SOLD,147327,676.55,99674081.85,199348522.49999994,False
AXISBANK,2021-12-28 12:50:00,BOUGHT,147327,676.1,99607784.7,99740737.79999994,False
AXISBANK,2021-12-28 12:51:00,BOUGHT,147578,675.85,99740591.3,146.49999994039536,True
AXISBANK,2021-12-28 12:53:00,SOLD,147578,676.25,99799622.5,99799768.99999994,True
AXISBANK,2021-12-28 12:54:00,SOLD,147567,676.3,99799562.1,199599331.09999993,False
AXISBANK,2021-12-28 12:55:00,BOUGHT,147567,676.0,99755292.0,99844039.09999993,False
AXISBANK,2021-12-28 12:56:00,BOUGHT,147720,675.9,99843948.0,91.09999993443489,True
AXISBANK,2021-12-28 12:59:00,SOLD,147720,676.4,99917808.0,99917899.09999993,True
AXISBANK,2021-12-28 13:00:00,SOLD,147621,676.85,99917273.85000001,199835172.94999993,False
AXISBANK,2021-12-28 13:03:00,BOUGHT,147621,675.95,99784414.95,100050757.99999993,False
AXISBANK,2021-12-28 13:04:00,BOUGHT,148080,675.65,100050252.0,505.9999999254942,True
AXISBANK,2021-12-28 13:14:00,SOLD,148080,675.85,100079868.0,100080373.99999993,True
AXISBANK,2021-12-28 13:15:00,BOUGHT,148124,675.65,100079980.6,393.39999993145466,True
AXISBANK,2021-12-28 13:20:00,SOLD,148124,675.8,100102199.19999999,100102592.59999992,True
