Ticker,Date,Action,Quantity,Price,Total Value,Capital Left,Trade Type
HDFC,2021-12-28 10:13:00,BOUGHT,38932,2568.55,99998788.60000001,1211.3999999910593,True
HDFC,2021-12-28 11:08:00,SOLD,38932,2557.0,99549124.0,99550335.39999999,True
HDFC,2021-12-28 11:09:00,SOLD,38929,2557.2,99549238.8,199099574.2,False
HDFC,2021-12-28 11:18:00,BOUGHT,38929,2557.05,99543399.45,99556174.74999999,False
HDFC,2021-12-28 11:19:00,BOUGHT,38939,2556.7,99555341.3,833.4499999880791,True
HDFC,2021-12-28 11:20:00,SOLD,38939,2560.05,99685786.95,99686620.39999999,True
HDFC,2021-12-28 11:21:00,SOLD,38938,2560.1,99685173.8,199371794.2,False
HDFC,2021-12-28 11:37:00,BOUGHT,38938,2559.2,99650129.6,99721664.6,False
HDFC,2021-12-28 11:38:00,BOUGHT,38969,2558.95,99719722.55,1942.0499999970198,True
HDFC,2021-12-28 11:39:00,SOLD,38969,2559.95,99758691.55,99760633.6,True
HDFC,2021-12-28 11:40:00,SOLD,38976,2559.5,99759072.0,199519705.6,False
HDFC,2021-12-28 11:41:00,BOUGHT,38976,2559.05,99741532.80000001,99778172.79999998,False
HDFC,2021-12-28 11:42:00,BOUGHT,38991,2559.0,99777969.0,203.7999999821186,True
HDFC,2021-12-28 11:43:00,SOLD,38991,2560.65,99842304.15,99842507.94999999,True
HDFC,2021-12-28 11:44:00,SOLD,39002,2559.9,99841219.8,199683727.75,False
HDFC,2021-12-28 12:09:00,BOUGHT,39002,2567.15,100123984.3,99559743.45,False
HDFC,2021-12-28 12:10:00,SOLD,38748,2569.4,99559111.2,199118854.65,False
HDFC,2021-12-28 12:19:00,BOUGHT,38748,2567.45,99483552.6,99635302.05000001,False
HDFC,2021-12-28 12:21:00,SOLD,38770,2569.9,99635023.0,199270325.05,False
HDFC,2021-12-28 12:23:00,BOUGHT,38770,2567.6,99545852.0,99724473.05000001,False
HDFC,2021-12-28 12:24:00,SOLD,38833,2568.0,99723144.0,199447617.05,False
HDFC,2021-12-28 12:51:00,BOUGHT,38833,2565.55,99628003.15,99819613.9,False
HDFC,2021-12-28 12:54:00,BOUGHT,38900,2566.05,99819345.0,268.90000000596046,True
HDFC,2021-12-28 13:00:00,SOLD,38900,2567.55,99877695.0,99877963.9,True
HDFC,2021-12-28 13:01:00,BOUGHT,38908,2567.0,99876836.0,1127.9000000059605,True
HDFC,2021-12-28 13:14:00,SOLD,38908,2563.0,99721204.0,99722331.9,True
HDFC,2021-12-28 13:15:00,SOLD,38917,2562.4,99720920.8,199443252.7,False
HDFC,2021-12-28 13:18:00,BOUGHT,38917,2560.5,99646978.5,99796274.19999999,False
HDFC,2021-12-28 13:19:00,SOLD,38938,2562.95,99796147.1,199592421.29999998,False
HDFC,2021-12-28 13:34:00,BOUGHT,38938,2563.65,99823403.7,99769017.59999998,False
HDFC,2021-12-28 13:35:00,BOUGHT,38949,2561.5,99767863.5,1154.0999999791384,True
HDFC,2021-12-28 13:46:00,SOLD,38949,2564.65,99890552.85000001,99891706.94999999,True
HDFC,2021-12-28 13:47:00,SOLD,38950,2564.55,99889222.5,199780929.45,False
HDFC,2021-12-28 14:05:00,BOUGHT,38950,2564.85,99900907.5,99880021.94999999,False
HDFC,2021-12-28 14:06:00,BOUGHT,38958,2563.75,99878572.5,1449.449999988079,True
HDFC,2021-12-28 14:16:00,SOLD,38958,2565.0,99927270.0,99928719.44999999,True
HDFC,2021-12-28 14:17:00,SOLD,38928,2567.0,99928176.0,199856895.45,False
HDFC,2021-12-28 14:23:00,BOUGHT,38928,2563.0,99772464.0,100084431.44999999,False
HDFC,2021-12-28 14:25:00,BOUGHT,39045,2563.3,100084048.5,382.94999998807907,True
HDFC,2021-12-28 14:47:00,SOLD,39045,2552.35,99656505.75,99656888.69999999,True
HDFC,2021-12-28 14:48:00,SOLD,38993,2555.75,99656359.75,199313248.45,False
HDFC,2021-12-28 15:29:00,BOUGHT,38993,2567.45,100112577.85,99200670.6,False
HDFC,2021-12-29 09:15:00,BOUGHT,38757,2559.5,99198541.5,2129.0999999940395,True
HDFC,2021-12-29 09:17:00,SOLD,38757,2562.55,99316750.35000001,99318879.45,True
HDFC,2021-12-29 09:18:00,SOLD,38747,2563.25,99318247.75,198637127.2,False
HDFC,2021-12-29 09:21:00,BOUGHT,38747,2560.3,99203944.10000001,99433183.09999998,False
HDFC,2021-12-29 09:22:00,SOLD,38795,2563.0,99431585.0,198864768.09999996,False
HDFC,2021-12-29 09:25:00,BOUGHT,38795,2560.05,99317139.75,99547628.34999996,False
HDFC,2021-12-29 09:26:00,BOUGHT,38916,2558.0,99547128.0,500.3499999642372,True
HDFC,2021-12-29 09:29:00,SOLD,38916,2561.1,99667767.6,99668267.94999996,True
HDFC,2021-12-29 09:30:00,SOLD,38910,2561.5,99667965.0,199336232.94999996,False
HDFC,2021-12-29 10:14:00,BOUGHT,38910,2571.15,100043446.5,99292786.44999996,False
HDFC,2021-12-29 10:15:00,BOUGHT,38637,2569.85,99291294.45,1491.9999999552965,True
HDFC,2021-12-29 10:26:00,SOLD,38637,2571.25,99345386.25,99346878.24999996,True
HDFC,2021-12-29 10:27:00,BOUGHT,38664,2569.45,99345214.8,1663.4499999582767,True
HDFC,2021-12-29 10:29:00,SOLD,38664,2571.05,99407077.2,99408740.64999996,True
HDFC,2021-12-29 10:30:00,SOLD,38643,2572.45,99407185.35,198815925.99999994,False
HDFC,2021-12-29 10:35:00,BOUGHT,38643,2570.1,99316374.3,99499551.69999994,False
HDFC,2021-12-29 10:36:00,SOLD,38708,2570.5,99498914.0,198998465.69999993,False
HDFC,2021-12-29 10:40:00,BOUGHT,38708,2568.85,99435045.8,99563419.89999993,False
HDFC,2021-12-29 10:41:00,BOUGHT,38767,2568.2,99561409.39999999,2010.4999999403954,True
HDFC,2021-12-29 11:02:00,SOLD,38767,2564.7,99425724.89999999,99427735.39999993,True
HDFC,2021-12-29 11:03:00,SOLD,38767,2564.7,99425724.89999999,198853460.29999992,False
HDFC,2021-12-29 11:04:00,BOUGHT,38767,2562.75,99350129.25,99503331.04999992,False
HDFC,2021-12-29 11:05:00,BOUGHT,38837,2562.05,99502335.85000001,995.1999999135733,True
HDFC,2021-12-29 11:13:00,SOLD,38837,2563.15,99545056.55,99546051.74999991,True
HDFC,2021-12-29 11:14:00,SOLD,38826,2563.85,99544040.1,199090091.8499999,False
HDFC,2021-12-29 12:20:00,BOUGHT,38826,2562.8,99503272.80000001,99586819.0499999,False
HDFC,2021-12-29 12:21:00,BOUGHT,38867,2562.2,99585027.39999999,1791.6499999016523,True
HDFC,2021-12-29 12:34:00,SOLD,38867,2564.4,99670534.8,99672326.4499999,True
HDFC,2021-12-29 12:35:00,SOLD,38865,2564.55,99671235.75,199343562.1999999,False
HDFC,2021-12-29 12:38:00,BOUGHT,38865,2562.85,99605165.25,99738396.9499999,False
HDFC,2021-12-29 12:39:00,SOLD,38894,2564.3,99735884.2,199474281.14999992,False
HDFC,2021-12-29 13:06:00,BOUGHT,38894,2568.1,99883681.39999999,99590599.74999993,False
HDFC,2021-12-29 13:07:00,SOLD,38769,2568.8,99589807.2,199180406.94999993,False
HDFC,2021-12-29 13:08:00,BOUGHT,38769,2568.4,99574299.60000001,99606107.34999992,False
HDFC,2021-12-29 13:09:00,SOLD,38772,2569.0,99605268.0,199211375.3499999,False
HDFC,2021-12-29 13:22:00,BOUGHT,38772,2576.35,99890242.2,99321133.1499999,False
HDFC,2021-12-29 13:23:00,SOLD,38511,2579.0,99319869.0,198641002.14999992,False
HDFC,2021-12-29 13:26:00,BOUGHT,38511,2576.75,99233219.25,99407782.89999992,False
HDFC,2021-12-29 13:27:00,BOUGHT,38591,2575.9,99406556.9,1225.999999910593,True
HDFC,2021-12-29 13:28:00,SOLD,38591,2577.75,99477950.25,99479176.24999991,True
HDFC,2021-12-29 13:29:00,SOLD,38598,2577.25,99476695.5,198955871.7499999,False
HDFC,2021-12-29 13:30:00,BOUGHT,38598,2576.15,99434237.7,99521634.04999991,False
HDFC,2021-12-29 13:32:00,SOLD,38614,2577.3,99519862.2,199041496.2499999,False
HDFC,2021-12-29 13:33:00,BOUGHT,38614,2576.75,99498624.5,99542871.74999991,False
HDFC,2021-12-29 13:34:00,BOUGHT,38637,2576.3,99540503.10000001,2368.6499999016523,True
HDFC,2021-12-29 13:41:00,SOLD,38637,2577.25,99577208.25,99579576.8999999,True
HDFC,2021-12-29 13:42:00,SOLD,38634,2577.45,99577203.3,199156780.1999999,False
HDFC,2021-12-29 13:43:00,BOUGHT,38634,2576.9,99555954.60000001,99600825.59999989,False
HDFC,2021-12-29 13:44:00,BOUGHT,38667,2575.85,99600391.95,433.6499998867512,True
HDFC,2021-12-29 13:48:00,SOLD,38667,2577.05,99646792.35000001,99647225.9999999,True
HDFC,2021-12-29 13:49:00,BOUGHT,38676,2576.45,99646780.19999999,445.7999999076128,True
HDFC,2021-12-29 13:50:00,SOLD,38676,2577.25,99677721.0,99678166.79999991,True
HDFC,2021-12-29 13:51:00,BOUGHT,38683,2576.75,99676420.25,1746.5499999076128,True
HDFC,2021-12-29 13:53:00,SOLD,38683,2576.95,99684156.85,99685903.3999999,True
HDFC,2021-12-29 13:54:00,BOUGHT,38696,2576.1,99684765.6,1137.7999999076128,True
HDFC,2021-12-29 13:59:00,SOLD,38696,2576.95,99717657.19999999,99718794.9999999,True
HDFC,2021-12-29 14:00:00,BOUGHT,38704,2576.4,99716985.60000001,1809.3999998867512,True
HDFC,2021-12-29 14:10:00,SOLD,38704,2575.5,99682152.0,99683961.39999989,True
HDFC,2021-12-29 14:11:00,SOLD,38714,2574.85,99682742.89999999,199366704.2999999,False
HDFC,2021-12-29 14:13:00,BOUGHT,38714,2573.5,99630479.0,99736225.2999999,False
