Ticker,Date,Action,Quantity,Price,Total Value,Capital Left,Trade Type
HDFCBANK,2021-12-28 10:15:00,BOUGHT,68457,1460.75,99998562.75,1437.25,True
HDFCBANK,2021-12-28 10:31:00,SOLD,68457,1457.05,99745271.85,99746709.1,True
HDFCBANK,2021-12-28 10:32:00,SOLD,68408,1458.1,99745704.8,199492413.89999998,False
HDFCBANK,2021-12-28 11:33:00,BOUGHT,68408,1464.55,100186936.39999999,99305477.49999999,False
HDFCBANK,2021-12-28 11:34:00,SOLD,67778,1465.15,99304936.7,198610414.2,False
HDFCBANK,2021-12-28 11:40:00,BOUGHT,67778,1462.8,99145658.39999999,99464755.8,False
HDFCBANK,2021-12-28 11:41:00,BOUGHT,68054,1461.55,99464323.7,432.09999999403954,True
HDFCBANK,2021-12-28 11:45:00,SOLD,68054,1463.0,99563002.0,99563434.1,True
HDFCBANK,2021-12-28 11:46:00,SOLD,68054,1463.0,99563002.0,199126436.1,False
HDFCBANK,2021-12-28 11:47:00,BOUGHT,68054,1462.85,99552793.89999999,99573642.2,False
HDFCBANK,2021-12-28 11:48:00,BOUGHT,68079,1462.6,99572345.39999999,1296.800000011921,True
HDFCBANK,2021-12-28 11:56:00,SOLD,68079,1462.7,99579153.3,99580450.10000001,True
HDFCBANK,2021-12-28 11:57:00,SOLD,68054,1463.25,99580015.5,199160465.60000002,False
HDFCBANK,2021-12-28 12:05:00,BOUGHT,68054,1462.45,99525572.3,99634893.30000003,False
HDFCBANK,2021-12-28 12:06:00,SOLD,68089,1463.3,99634633.7,199269527.00000003,False
HDFCBANK,2021-12-28 12:20:00,BOUGHT,68089,1462.4,99573353.60000001,99696173.40000002,False
HDFCBANK,2021-12-28 12:21:00,SOLD,68121,1463.5,99695083.5,199391256.90000004,False
HDFCBANK,2021-12-28 12:23:00,BOUGHT,68121,1461.85,99582683.85,99808573.05000004,False
HDFCBANK,2021-12-28 12:27:00,BOUGHT,68256,1462.25,99807336.0,1237.0500000417233,True
HDFCBANK,2021-12-28 12:28:00,SOLD,68256,1463.0,99858528.0,99859765.05000004,True
HDFCBANK,2021-12-28 12:29:00,SOLD,68228,1463.6,99858500.8,199718265.85000002,False
HDFCBANK,2021-12-28 12:32:00,BOUGHT,68228,1462.55,99786861.39999999,99931404.45000003,False
HDFCBANK,2021-12-28 12:33:00,SOLD,68305,1463.0,99930215.0,199861619.45000005,False
HDFCBANK,2021-12-28 12:51:00,BOUGHT,68305,1462.95,99926799.75,99934819.70000005,False
HDFCBANK,2021-12-28 12:54:00,BOUGHT,68303,1463.1,99934119.3,700.400000050664,True
HDFCBANK,2021-12-28 12:59:00,SOLD,68303,1463.7,99975101.10000001,99975801.50000006,True
HDFCBANK,2021-12-28 13:00:00,SOLD,68261,1464.6,99975060.6,199950862.10000005,False
HDFCBANK,2021-12-28 13:02:00,BOUGHT,68261,1463.6,99906799.6,100044062.50000006,False
HDFCBANK,2021-12-28 13:03:00,BOUGHT,68464,1461.25,100043020.0,1042.5000000596046,True
HDFCBANK,2021-12-28 13:05:00,SOLD,68464,1462.0,100094368.0,100095410.50000006,True
HDFCBANK,2021-12-28 13:06:00,SOLD,68476,1461.75,100094793.0,200190203.50000006,False
HDFCBANK,2021-12-28 13:07:00,BOUGHT,68476,1460.65,100019469.4,100170734.10000005,False
HDFCBANK,2021-12-28 13:09:00,BOUGHT,68591,1460.4,100170296.4,437.7000000476837,True
HDFCBANK,2021-12-28 13:14:00,SOLD,68591,1462.15,100290330.65,100290768.35000005,True
HDFCBANK,2021-12-28 13:15:00,SOLD,68603,1461.9,100290725.7,200581494.05000007,False
HDFCBANK,2021-12-28 13:18:00,BOUGHT,68603,1461.55,100266714.64999999,100314779.40000008,False
HDFCBANK,2021-12-28 13:19:00,SOLD,68617,1461.95,100314623.15,200629402.55000007,False
HDFCBANK,2021-12-28 13:36:00,BOUGHT,68617,1461.45,100280314.65,100349087.90000007,False
HDFCBANK,2021-12-28 13:37:00,SOLD,68638,1462.0,100348756.0,200697843.90000007,False
HDFCBANK,2021-12-28 13:41:00,BOUGHT,68638,1461.5,100314437.0,100383406.90000007,False
HDFCBANK,2021-12-28 13:42:00,BOUGHT,68687,1461.45,100382616.15,790.7500000596046,True
HDFCBANK,2021-12-28 13:46:00,SOLD,68687,1463.0,100489081.0,100489871.75000006,True
HDFCBANK,2021-12-28 13:47:00,SOLD,68694,1462.85,100489017.89999999,200978889.65000004,False
HDFCBANK,2021-12-28 14:04:00,BOUGHT,68694,1462.3,100451236.2,100527653.45000003,False
HDFCBANK,2021-12-28 14:05:00,BOUGHT,68760,1462.0,100527120.0,533.4500000327826,True
HDFCBANK,2021-12-28 14:12:00,SOLD,68760,1463.25,100613070.0,100613603.45000003,True
HDFCBANK,2021-12-28 14:13:00,BOUGHT,68797,1462.45,100612172.65,1430.800000026822,True
HDFCBANK,2021-12-28 14:27:00,SOLD,68797,1460.25,100460819.25,100462250.05000003,True
HDFCBANK,2021-12-28 14:28:00,BOUGHT,68816,1459.85,100461037.6,1212.4500000327826,True
HDFCBANK,2021-12-28 14:31:00,SOLD,68816,1460.2,100485123.2,100486335.65000004,True
HDFCBANK,2021-12-28 14:32:00,BOUGHT,68819,1460.15,100486062.85000001,272.8000000268221,True
HDFCBANK,2021-12-28 14:48:00,SOLD,68819,1456.15,100210786.85000001,100211059.65000004,True
HDFCBANK,2021-12-28 14:49:00,SOLD,68833,1455.85,100210523.05,200421582.70000005,False
HDFCBANK,2021-12-28 15:29:00,BOUGHT,68833,1461.0,100565013.0,99856569.70000005,False
HDFCBANK,2021-12-29 09:15:00,BOUGHT,68828,1450.8,99855662.39999999,907.3000000566244,True
HDFCBANK,2021-12-29 09:17:00,SOLD,68828,1451.75,99921049.0,99921956.30000006,True
HDFCBANK,2021-12-29 09:18:00,SOLD,68724,1453.95,99921259.8,199843216.10000005,False
HDFCBANK,2021-12-29 09:53:00,BOUGHT,68724,1458.25,100216773.0,99626443.10000005,False
HDFCBANK,2021-12-29 09:54:00,BOUGHT,68321,1458.2,99625682.2,760.900000050664,True
HDFCBANK,2021-12-29 10:03:00,SOLD,68321,1460.0,99748660.0,99749420.90000005,True
HDFCBANK,2021-12-29 10:04:00,SOLD,68361,1459.15,99748953.15,199498374.05000007,False
HDFCBANK,2021-12-29 10:08:00,BOUGHT,68361,1458.55,99707936.55,99790437.50000007,False
HDFCBANK,2021-12-29 10:09:00,BOUGHT,68422,1458.45,99790065.9,371.60000006854534,True
HDFCBANK,2021-12-29 10:24:00,SOLD,68422,1455.65,99598484.30000001,99598855.90000008,True
HDFCBANK,2021-12-29 10:25:00,SOLD,68424,1455.6,99597974.39999999,199196830.30000007,False
HDFCBANK,2021-12-29 10:27:00,BOUGHT,68424,1455.5,99591132.0,99605698.30000007,False
HDFCBANK,2021-12-29 10:28:00,BOUGHT,68438,1455.4,99604665.2,1033.1000000685453,True
HDFCBANK,2021-12-29 10:29:00,SOLD,68438,1455.7,99625196.60000001,99626229.70000008,True
HDFCBANK,2021-12-29 10:30:00,SOLD,68417,1456.15,99625414.55000001,199251644.2500001,False
HDFCBANK,2021-12-29 10:35:00,BOUGHT,68417,1454.25,99495422.25,99756222.00000009,False
