Ticker,Date,Action,Quantity,Price,Total Value,Capital Left,Trade Type
INDUSINDBK,2021-12-28 10:13:00,BOUGHT,117000,854.7,99999900.0,100.0,True
INDUSINDBK,2021-12-28 10:35:00,SOLD,117000,850.0,99450000.0,99450100.0,True
INDUSINDBK,2021-12-28 10:36:00,SOLD,116931,850.5,99449815.5,198899915.5,False
INDUSINDBK,2021-12-28 10:38:00,BOUGHT,116931,849.05,99280265.55,99619649.95,False
INDUSINDBK,2021-12-28 10:39:00,BOUGHT,117358,848.85,99619338.3,311.65000000596046,True
INDUSINDBK,2021-12-28 10:53:00,SOLD,117358,847.6,99472640.8,99472952.45,True
INDUSINDBK,2021-12-28 10:54:00,BOUGHT,117462,846.85,99472694.7,257.75,True
INDUSINDBK,2021-12-28 10:55:00,SOLD,117462,847.5,99549045.0,99549302.75,True
INDUSINDBK,2021-12-28 10:56:00,SOLD,117441,847.65,99548863.64999999,199098166.39999998,False
INDUSINDBK,2021-12-28 10:57:00,BOUGHT,117441,847.0,99472527.0,99625639.39999998,False
INDUSINDBK,2021-12-28 10:58:00,SOLD,117587,847.25,99625585.75,199251225.14999998,False
INDUSINDBK,2021-12-28 11:05:00,BOUGHT,117587,846.15,99496240.05,99754985.09999998,False
INDUSINDBK,2021-12-28 11:07:00,SOLD,117732,847.3,99754323.6,199509308.7,False
INDUSINDBK,2021-12-28 11:38:00,BOUGHT,117732,850.25,100101633.0,99407675.69999999,False
INDUSINDBK,2021-12-28 11:39:00,BOUGHT,116915,850.25,99406978.75,696.9499999880791,True
INDUSINDBK,2021-12-28 11:45:00,SOLD,116915,849.7,99342675.5,99343372.44999999,True
INDUSINDBK,2021-12-28 11:46:00,SOLD,116819,850.4,99342877.6,198686250.04999998,False
INDUSINDBK,2021-12-28 11:52:00,BOUGHT,116819,849.7,99261104.30000001,99425145.74999997,False
INDUSINDBK,2021-12-28 11:53:00,SOLD,116970,850.0,99424500.0,198849645.74999997,False
INDUSINDBK,2021-12-28 12:03:00,BOUGHT,116970,850.2,99447894.0,99401751.74999997,False
INDUSINDBK,2021-12-28 12:04:00,SOLD,116826,850.85,99401402.10000001,198803153.84999996,False
INDUSINDBK,2021-12-28 12:19:00,BOUGHT,116826,851.4,99465656.39999999,99337497.44999997,False
INDUSINDBK,2021-12-28 12:20:00,BOUGHT,116682,851.35,99337220.7,276.7499999701977,True
INDUSINDBK,2021-12-28 12:21:00,SOLD,116682,851.9,99401395.8,99401672.54999997,True
INDUSINDBK,2021-12-28 12:22:00,SOLD,116682,851.9,99401395.8,198803068.34999996,False
INDUSINDBK,2021-12-28 12:23:00,BOUGHT,116682,851.3,99331386.6,99471681.74999997,False
INDUSINDBK,2021-12-28 12:24:00,BOUGHT,116942,850.6,99470865.2,816.5499999672174,True
INDUSINDBK,2021-12-28 12:31:00,SOLD,116942,851.4,99564418.8,99565235.34999996,True
INDUSINDBK,2021-12-28 12:32:00,SOLD,116949,851.35,99564531.15,199129766.49999997,False
INDUSINDBK,2021-12-28 12:33:00,BOUGHT,116949,851.2,99546988.80000001,99582777.69999996,False
INDUSINDBK,2021-12-28 12:34:00,SOLD,116901,851.85,99582116.85000001,199164894.54999995,False
INDUSINDBK,2021-12-28 12:51:00,BOUGHT,116901,853.45,99769158.45,99395736.09999995,False
INDUSINDBK,2021-12-28 12:53:00,BOUGHT,116442,853.6,99394891.2,844.8999999463558,True
INDUSINDBK,2021-12-28 12:59:00,SOLD,116442,854.0,99441468.0,99442312.89999995,True
INDUSINDBK,2021-12-28 13:00:00,SOLD,116408,854.25,99441534.0,198883846.89999995,False
INDUSINDBK,2021-12-28 13:03:00,BOUGHT,116408,853.5,99354228.0,99529618.89999995,False
INDUSINDBK,2021-12-28 13:04:00,BOUGHT,116770,852.35,99528909.5,709.3999999463558,True
INDUSINDBK,2021-12-28 13:14:00,SOLD,116770,854.1,99733257.0,99733966.39999995,True
INDUSINDBK,2021-12-28 13:15:00,SOLD,116736,854.35,99733401.60000001,199467367.99999994,False
INDUSINDBK,2021-12-28 13:35:00,BOUGHT,116736,854.0,99692544.0,99774823.99999994,False
INDUSINDBK,2021-12-28 13:36:00,BOUGHT,116832,854.0,99774528.0,295.99999994039536,True
INDUSINDBK,2021-12-28 13:46:00,SOLD,116832,854.45,99827102.4,99827398.39999995,True
INDUSINDBK,2021-12-28 13:47:00,SOLD,116907,853.9,99826887.3,199654285.69999993,False
INDUSINDBK,2021-12-28 13:49:00,BOUGHT,116907,853.75,99809351.25,99844934.44999993,False
INDUSINDBK,2021-12-28 13:50:00,SOLD,116852,854.45,99844191.4,199689125.84999993,False
INDUSINDBK,2021-12-28 14:13:00,BOUGHT,116852,854.1,99803293.2,99885832.64999993,False
INDUSINDBK,2021-12-28 14:14:00,BOUGHT,116955,854.05,99885417.75,414.89999993145466,True
INDUSINDBK,2021-12-28 14:20:00,SOLD,116955,854.8,99973134.0,99973548.89999993,True
INDUSINDBK,2021-12-28 14:21:00,BOUGHT,117023,854.3,99972748.89999999,799.9999999403954,True
INDUSINDBK,2021-12-28 14:47:00,SOLD,117023,850.45,99522210.35000001,99523010.34999995,True
INDUSINDBK,2021-12-28 14:48:00,BOUGHT,117072,850.1,99522907.2,103.14999994635582,True
INDUSINDBK,2021-12-28 14:50:00,SOLD,117072,851.3,99663393.6,99663496.74999994,True
INDUSINDBK,2021-12-28 14:51:00,SOLD,117010,851.75,99663267.5,199326764.24999994,False
INDUSINDBK,2021-12-28 15:11:00,BOUGHT,117010,852.3,99727623.0,99599141.24999994,False
INDUSINDBK,2021-12-28 15:13:00,BOUGHT,116920,851.85,99598302.0,839.2499999403954,True
INDUSINDBK,2021-12-28 15:15:00,SOLD,116920,853.15,99750298.0,99751137.24999994,True
INDUSINDBK,2021-12-28 15:16:00,BOUGHT,117037,852.3,99750635.1,502.1499999463558,True
INDUSINDBK,2021-12-28 15:20:00,SOLD,117037,853.55,99896931.35,99897433.49999994,True
INDUSINDBK,2021-12-28 15:21:00,BOUGHT,117229,852.15,99896692.35,741.1499999463558,True
INDUSINDBK,2021-12-28 15:25:00,SOLD,117229,853.0,99996337.0,99997078.14999995,True
INDUSINDBK,2021-12-28 15:26:00,BOUGHT,117333,852.25,99997049.25,28.89999994635582,True
