Ticker,Date,Action,Quantity,Price,Total Value,Capital Left,Trade Type
M&M,2021-12-28 10:22:00,BOUGHT,120758,828.1,99999699.8,300.20000000298023,True
M&M,2021-12-28 10:33:00,SOLD,120758,827.4,99915169.2,99915469.4,True
M&M,2021-12-28 10:34:00,SOLD,120685,827.9,99915111.5,199830580.9,False
M&M,2021-12-28 11:20:00,BOUGHT,120685,831.35,100331474.75,99499106.15,False
M&M,2021-12-28 11:21:00,SOLD,119640,831.65,99498606.0,198997712.15,False
M&M,2021-12-28 11:42:00,BOUGHT,119640,832.3,99576372.0,99421340.15,False
M&M,2021-12-28 11:43:00,SOLD,119410,832.6,99420766.0,198842106.15,False
M&M,2021-12-28 11:44:00,BOUGHT,119410,831.95,99343149.5,99498956.65,False
M&M,2021-12-28 11:47:00,SOLD,119496,832.65,99498344.39999999,198997301.05,False
M&M,2021-12-28 11:48:00,BOUGHT,119496,832.4,99468470.39999999,99528830.65000002,False
M&M,2021-12-28 11:49:00,BOUGHT,119568,832.4,99528403.2,427.4500000178814,True
M&M,2021-12-28 11:57:00,SOLD,119568,832.0,99480576.0,99481003.45000002,True
M&M,2021-12-28 11:58:00,BOUGHT,119597,831.8,99480784.6,218.85000002384186,True
M&M,2021-12-28 12:12:00,SOLD,119597,832.05,99510683.85,99510902.70000002,True
M&M,2021-12-28 12:13:00,SOLD,119575,832.2,99510315.0,199021217.70000002,False
M&M,2021-12-28 12:47:00,BOUGHT,119575,833.0,99605975.0,99415242.70000002,False
M&M,2021-12-28 12:48:00,SOLD,119303,833.3,99415189.89999999,198830432.60000002,False
M&M,2021-12-28 12:49:00,BOUGHT,119303,832.35,99301852.05,99528580.55000003,False
M&M,2021-12-28 12:51:00,BOUGHT,119604,832.15,99528468.6,111.95000003278255,True
M&M,2021-12-28 13:00:00,SOLD,119604,832.9,99618171.6,99618283.55000003,True
M&M,2021-12-28 13:01:00,SOLD,119647,832.6,99618092.2,199236375.75000003,False
M&M,2021-12-28 13:03:00,BOUGHT,119647,832.2,99570233.4,99666142.35000002,False
M&M,2021-12-28 13:04:00,BOUGHT,119812,831.85,99665612.2,530.1500000208616,True
M&M,2021-12-28 13:05:00,SOLD,119812,832.55,99749480.6,99750010.75000001,True
M&M,2021-12-28 13:06:00,BOUGHT,119971,831.45,99749887.95,122.80000001192093,True
M&M,2021-12-28 13:08:00,SOLD,119971,832.75,99905850.25,99905973.05000001,True
M&M,2021-12-28 13:09:00,BOUGHT,120202,831.15,99905892.3,80.75000001490116,True
M&M,2021-12-28 13:11:00,SOLD,120202,831.8,99984023.6,99984104.35000001,True
M&M,2021-12-28 13:12:00,SOLD,120216,831.7,99983647.2,199967751.55,False
M&M,2021-12-28 13:18:00,BOUGHT,120216,831.0,99899496.0,100068255.55000001,False
M&M,2021-12-28 13:21:00,SOLD,120303,831.8,100068035.39999999,200136290.95,False
M&M,2021-12-28 14:04:00,BOUGHT,120303,836.65,100651504.95,99484785.99999999,False
M&M,2021-12-28 14:05:00,BOUGHT,118929,836.5,99484108.5,677.4999999850988,True
M&M,2021-12-28 14:09:00,SOLD,118929,837.1,99555465.9,99556143.39999999,True
M&M,2021-12-28 14:10:00,SOLD,118816,837.9,99555926.39999999,199112069.79999998,False
