Ticker,Date,Action,Quantity,Price,Total Value,Capital Left,Trade Type
TATASTEEL,2021-12-28 10:14:00,BOUGHT,887784,112.64,99999989.76,10.239999994635582,True
TATASTEEL,2021-12-28 10:15:00,SOLD,887784,112.76,100106523.84,100106534.08,True
TATASTEEL,2021-12-28 10:16:00,BOUGHT,888099,112.72,100106519.28,14.799999997019768,True
TATASTEEL,2021-12-28 10:21:00,SOLD,888099,112.76,100142043.24000001,100142058.04,True
TATASTEEL,2021-12-28 10:22:00,SOLD,887705,112.81,100142001.05,200284059.09,False
TATASTEEL,2021-12-28 10:25:00,BOUGHT,887705,112.74,100079861.69999999,100204197.39000002,False
TATASTEEL,2021-12-28 10:26:00,BOUGHT,889202,112.69,100204173.38,24.01000002026558,True
TATASTEEL,2021-12-28 10:37:00,SOLD,889202,112.73,100239741.46000001,100239765.47000003,True
TATASTEEL,2021-12-28 10:38:00,SOLD,889517,112.69,100239670.73,200479436.20000005,False
TATASTEEL,2021-12-28 10:42:00,BOUGHT,889517,112.62,100177404.54,100302031.66000004,False
TATASTEEL,2021-12-28 10:43:00,SOLD,890149,112.68,100301989.32000001,200604020.98000005,False
TATASTEEL,2021-12-28 10:45:00,BOUGHT,890149,112.62,100248580.38000001,100355440.60000004,False
TATASTEEL,2021-12-28 10:46:00,BOUGHT,891493,112.57,100355367.00999999,73.59000004827976,True
TATASTEEL,2021-12-28 10:50:00,SOLD,891493,112.67,100444516.31,100444589.90000005,True
TATASTEEL,2021-12-28 10:51:00,SOLD,891256,112.7,100444551.2,200889141.10000005,False
TATASTEEL,2021-12-28 11:05:00,BOUGHT,891256,112.74,100480201.44,100408939.66000006,False
TATASTEEL,2021-12-28 11:06:00,SOLD,890071,112.81,100408909.51,200817849.17000008,False
TATASTEEL,2021-12-28 11:43:00,BOUGHT,890071,112.91,100497916.61,100319932.56000008,False
TATASTEEL,2021-12-28 11:44:00,SOLD,888337,112.93,100319897.41000001,200639829.9700001,False
TATASTEEL,2021-12-28 11:53:00,BOUGHT,888337,112.87,100266597.19,100373232.78000009,False
TATASTEEL,2021-12-28 11:54:00,SOLD,888887,112.92,100373120.04,200746352.8200001,False
TATASTEEL,2021-12-28 12:08:00,BOUGHT,888887,113.0,100444231.0,100302121.82000011,False
TATASTEEL,2021-12-28 12:10:00,SOLD,887079,113.07,100302022.53,200604144.3500001,False
TATASTEEL,2021-12-28 12:13:00,BOUGHT,887079,113.06,100293151.74,100310992.61000012,False
TATASTEEL,2021-12-28 12:14:00,SOLD,887001,113.09,100310943.09,200621935.7000001,False
TATASTEEL,2021-12-28 12:17:00,BOUGHT,887001,113.06,100284333.06,100337602.6400001,False
TATASTEEL,2021-12-28 12:18:00,BOUGHT,888493,112.93,100337514.49000001,88.15000009536743,True
TATASTEEL,2021-12-28 12:39:00,SOLD,888493,113.01,100408593.93,100408682.0800001,True
TATASTEEL,2021-12-28 12:40:00,BOUGHT,888808,112.97,100408639.76,42.32000009715557,True
TATASTEEL,2021-12-28 12:42:00,SOLD,888808,113.01,100444192.08,100444234.4000001,True
TATASTEEL,2021-12-28 12:43:00,BOUGHT,889359,112.94,100444205.46,28.940000101923943,True
TATASTEEL,2021-12-28 12:58:00,SOLD,889359,112.88,100390843.92,100390872.8600001,True
TATASTEEL,2021-12-28 12:59:00,SOLD,889359,112.88,100390843.92,200781716.7800001,False
TATASTEEL,2021-12-28 13:00:00,BOUGHT,889359,112.82,100337482.38,100444234.4000001,False
TATASTEEL,2021-12-28 13:01:00,BOUGHT,890699,112.77,100444126.22999999,108.17000010609627,True
TATASTEEL,2021-12-28 13:26:00,SOLD,890699,112.72,100399591.28,100399699.4500001,True
TATASTEEL,2021-12-28 13:27:00,BOUGHT,891016,112.68,100399682.88000001,16.57000009715557,True
TATASTEEL,2021-12-28 13:28:00,SOLD,891016,112.72,100435323.52,100435340.0900001,True
TATASTEEL,2021-12-28 13:29:00,BOUGHT,891332,112.68,100435289.76,50.33000008761883,True
TATASTEEL,2021-12-28 13:30:00,SOLD,891332,112.72,100470943.03999999,100470993.37000008,True
TATASTEEL,2021-12-28 13:31:00,SOLD,891490,112.7,100470923.0,200941916.37000006,False
TATASTEEL,2021-12-28 13:54:00,BOUGHT,891490,112.76,100524412.4,100417503.97000006,False
TATASTEEL,2021-12-28 13:55:00,SOLD,890147,112.81,100417483.07000001,200834987.04000008,False
TATASTEEL,2021-12-28 13:58:00,BOUGHT,890147,112.76,100372975.72,100462011.32000008,False
TATASTEEL,2021-12-28 13:59:00,BOUGHT,891410,112.7,100461907.0,104.32000008225441,True
TATASTEEL,2021-12-28 14:00:00,SOLD,891410,112.78,100533219.8,100533324.12000008,True
TATASTEEL,2021-12-28 14:01:00,BOUGHT,891806,112.73,100533290.38000001,33.74000006914139,True
TATASTEEL,2021-12-28 14:03:00,SOLD,891806,112.79,100586798.74000001,100586832.48000008,True
TATASTEEL,2021-12-28 14:04:00,SOLD,891569,112.82,100586814.58,201173647.06000006,False
TATASTEEL,2021-12-28 14:06:00,BOUGHT,891569,112.72,100497657.67999999,100675989.38000007,False
TATASTEEL,2021-12-28 14:07:00,SOLD,892596,112.79,100675902.84,201351892.2200001,False
TATASTEEL,2021-12-28 14:11:00,BOUGHT,892596,112.76,100649124.96000001,100702767.26000008,False
TATASTEEL,2021-12-28 14:12:00,BOUGHT,893071,112.76,100702685.96000001,81.30000007152557,True
TATASTEEL,2021-12-28 14:17:00,SOLD,893071,112.79,100729478.09,100729559.39000008,True
TATASTEEL,2021-12-28 14:18:00,SOLD,892675,112.84,100729447.0,201459006.39000008,False
TATASTEEL,2021-12-28 14:37:00,BOUGHT,892675,112.84,100729447.0,100729559.39000008,False
TATASTEEL,2021-12-28 14:38:00,BOUGHT,892675,112.84,100729447.0,112.39000007510185,True
TATASTEEL,2021-12-28 14:47:00,SOLD,892675,112.47,100399157.25,100399269.64000008,True
TATASTEEL,2021-12-28 14:48:00,BOUGHT,892914,112.44,100399250.16,19.48000007867813,True
TATASTEEL,2021-12-28 14:50:00,SOLD,892914,112.47,100426037.58,100426057.06000008,True
TATASTEEL,2021-12-28 14:51:00,SOLD,892596,112.51,100425975.96000001,200852033.0200001,False
TATASTEEL,2021-12-28 15:21:00,BOUGHT,892596,112.69,100586643.24,100265389.7800001,False
TATASTEEL,2021-12-28 15:22:00,SOLD,889508,112.72,100265341.76,200530731.5400001,False
TATASTEEL,2021-12-28 15:23:00,BOUGHT,889508,112.67,100220866.36,100309865.18000011,False
TATASTEEL,2021-12-28 15:25:00,SOLD,889981,112.71,100309758.50999999,200619623.69000012,False
TATASTEEL,2021-12-28 15:27:00,BOUGHT,889981,112.7,100300858.7,100318764.99000011,False
TATASTEEL,2021-12-28 15:28:00,BOUGHT,890139,112.7,100318665.3,99.6900001168251,True
TATASTEEL,2021-12-28 15:29:00,SOLD,890139,112.7,100318665.3,100318764.99000011,True
TATASTEEL,2021-12-29 09:15:00,BOUGHT,896503,111.9,100318685.7,79.29000011086464,True
TATASTEEL,2021-12-29 09:16:00,SOLD,896503,112.2,100587636.60000001,100587715.89000012,True
TATASTEEL,2021-12-29 09:17:00,SOLD,894988,112.39,100587701.32000001,201175417.21000013,False
TATASTEEL,2021-12-29 09:25:00,BOUGHT,894988,112.33,100534002.03999999,100641415.17000014,False
TATASTEEL,2021-12-29 09:26:00,BOUGHT,896183,112.3,100641350.89999999,64.27000014483929,True
TATASTEEL,2021-12-29 09:32:00,SOLD,896183,112.45,100775778.35000001,100775842.62000015,True
TATASTEEL,2021-12-29 09:33:00,SOLD,896183,112.45,100775778.35000001,201551620.97000015,False
TATASTEEL,2021-12-29 09:35:00,BOUGHT,896183,112.33,100668236.39,100883384.58000015,False
TATASTEEL,2021-12-29 09:36:00,BOUGHT,899940,112.1,100883274.0,110.58000014722347,True
TATASTEEL,2021-12-29 10:22:00,SOLD,899940,111.25,100118325.0,100118435.58000015,True
TATASTEEL,2021-12-29 10:23:00,SOLD,899860,111.26,100118423.60000001,200236859.18000016,False
TATASTEEL,2021-12-29 10:27:00,BOUGHT,899860,111.19,100055433.39999999,100181425.78000017,False
TATASTEEL,2021-12-29 10:28:00,SOLD,900507,111.25,100181403.75,200362829.53000015,False
TATASTEEL,2021-12-29 10:30:00,BOUGHT,900507,111.09,100037322.63000001,100325506.90000014,False
TATASTEEL,2021-12-29 10:31:00,BOUGHT,903751,111.01,100325398.51,108.3900001347065,True
TATASTEEL,2021-12-29 10:36:00,SOLD,903751,111.04,100352511.04,100352619.43000014,True
TATASTEEL,2021-12-29 10:37:00,SOLD,903914,111.02,100352532.28,200705151.71000016,False
TATASTEEL,2021-12-29 11:06:00,BOUGHT,903914,111.0,100334454.0,100370697.71000016,False
TATASTEEL,2021-12-29 11:07:00,SOLD,903670,111.07,100370626.89999999,200741324.61000013,False
TATASTEEL,2021-12-29 11:31:00,BOUGHT,903670,111.12,100415810.4,100325514.21000013,False
TATASTEEL,2021-12-29 11:33:00,BOUGHT,902776,111.13,100325496.88,17.33000013232231,True
TATASTEEL,2021-12-29 11:36:00,SOLD,902776,111.18,100370635.68,100370653.01000014,True
TATASTEEL,2021-12-29 11:37:00,BOUGHT,903019,111.15,100370561.85000001,91.16000013053417,True
TATASTEEL,2021-12-29 11:44:00,SOLD,903019,111.18,100397652.42,100397743.58000013,True
TATASTEEL,2021-12-29 11:45:00,SOLD,902532,111.24,100397659.67999999,200795403.2600001,False
TATASTEEL,2021-12-29 11:54:00,BOUGHT,902532,111.21,100370583.72,100424819.54000011,False
TATASTEEL,2021-12-29 11:55:00,SOLD,902613,111.26,100424722.38000001,200849541.92000014,False
TATASTEEL,2021-12-29 11:56:00,BOUGHT,902613,111.22,100388617.86,100460924.06000014,False
TATASTEEL,2021-12-29 11:57:00,BOUGHT,903263,111.22,100460910.86,13.200000137090683,True
TATASTEEL,2021-12-29 11:58:00,SOLD,903263,111.26,100497041.38000001,100497054.58000015,True
TATASTEEL,2021-12-29 11:59:00,SOLD,903100,111.28,100496968.0,200994022.58000016,False
TATASTEEL,2021-12-29 12:02:00,BOUGHT,903100,111.21,100433751.0,100560271.58000016,False
