Ticker,Date,Action,Quantity,Price,Total Value,Capital Left,Trade Type
TITAN,2021-12-28 10:14:00,BOUGHT,42499,2352.95,99998022.05,1977.9500000029802,True
TITAN,2021-12-28 10:31:00,SOLD,42499,2356.95,100168018.05,100169996.0,True
TITAN,2021-12-28 10:32:00,SOLD,42490,2357.45,100168050.49999999,200338046.5,False
TITAN,2021-12-28 10:45:00,BOUGHT,42490,2361.0,100318890.0,100019156.5,False
TITAN,2021-12-28 10:46:00,SOLD,42358,2361.25,100017827.5,200036984.0,False
TITAN,2021-12-28 11:10:00,BOUGHT,42358,2365.7,100206320.6,99830663.4,False
TITAN,2021-12-28 11:11:00,BOUGHT,42224,2364.3,99830203.2,460.20000000298023,True
TITAN,2021-12-28 11:23:00,SOLD,42224,2367.85,99980098.39999999,99980558.6,True
TITAN,2021-12-28 11:24:00,SOLD,42236,2367.15,99978947.4,199959506.0,False
TITAN,2021-12-28 11:25:00,BOUGHT,42236,2364.0,99845904.0,100113602.0,False
TITAN,2021-12-28 11:26:00,BOUGHT,42385,2362.0,100113370.0,232.0,True
TITAN,2021-12-28 11:34:00,SOLD,42385,2365.25,100251121.25,100251353.25,True
TITAN,2021-12-28 11:35:00,SOLD,42377,2365.7,100251268.89999999,200502622.14999998,False
TITAN,2021-12-28 12:15:00,BOUGHT,42377,2378.9,100810645.3,99691976.84999998,False
TITAN,2021-12-28 12:16:00,BOUGHT,41906,2378.9,99690183.4,1793.449999973178,True
TITAN,2021-12-28 12:17:00,SOLD,41906,2379.6,99719517.6,99721311.04999997,True
TITAN,2021-12-28 12:18:00,BOUGHT,41922,2378.7,99719861.39999999,1449.6499999761581,True
TITAN,2021-12-28 12:19:00,SOLD,41922,2379.2,99740822.39999999,99742272.04999997,True
TITAN,2021-12-28 12:20:00,BOUGHT,41940,2378.2,99741707.99999999,564.0499999821186,True
TITAN,2021-12-28 12:21:00,SOLD,41940,2379.8,99808812.00000001,99809376.05,True
TITAN,2021-12-28 12:22:00,SOLD,41913,2381.3,99807426.9,199616802.95,False
TITAN,2021-12-28 12:30:00,BOUGHT,41913,2379.5,99731983.5,99884819.44999999,False
TITAN,2021-12-28 12:31:00,SOLD,41933,2382.0,99884406.0,199769225.45,False
TITAN,2021-12-28 12:34:00,BOUGHT,41933,2380.0,99800540.0,99968685.44999999,False
TITAN,2021-12-28 12:35:00,BOUGHT,42015,2379.35,99968390.25,295.19999998807907,True
TITAN,2021-12-28 12:36:00,SOLD,42015,2381.25,100048218.75,100048513.94999999,True
TITAN,2021-12-28 12:37:00,SOLD,41993,2382.45,100046222.85,200094736.79999998,False
TITAN,2021-12-28 12:41:00,BOUGHT,41993,2380.35,99958037.55,100136699.24999999,False
TITAN,2021-12-28 12:42:00,SOLD,42039,2381.95,100134796.05,200271495.29999998,False
TITAN,2021-12-28 12:46:00,BOUGHT,42039,2380.2,100061227.8,100210267.49999999,False
TITAN,2021-12-28 12:47:00,SOLD,42088,2380.95,100209423.6,200419691.09999996,False
TITAN,2021-12-28 12:48:00,BOUGHT,42088,2380.0,100169440.0,100250251.09999996,False
TITAN,2021-12-28 12:49:00,BOUGHT,42134,2379.3,100249426.2,824.899999961257,True
TITAN,2021-12-28 12:57:00,SOLD,42134,2380.6,100304200.39999999,100305025.29999995,True
TITAN,2021-12-28 12:58:00,BOUGHT,42140,2380.25,100303735.0,1290.2999999523163,True
TITAN,2021-12-28 12:59:00,SOLD,42140,2381.85,100371159.0,100372449.29999995,True
TITAN,2021-12-28 13:00:00,BOUGHT,42164,2380.5,100371402.0,1047.2999999523163,True
TITAN,2021-12-28 13:01:00,SOLD,42164,2381.5,100413566.0,100414613.29999995,True
TITAN,2021-12-28 13:02:00,SOLD,42157,2381.9,100413758.3,200828371.59999996,False
TITAN,2021-12-28 13:03:00,BOUGHT,42157,2380.5,100354738.5,100473633.09999996,False
TITAN,2021-12-28 13:04:00,BOUGHT,42210,2380.3,100472463.00000001,1170.099999949336,True
TITAN,2021-12-28 13:13:00,SOLD,42210,2373.45,100183324.49999999,100184494.59999993,True
TITAN,2021-12-28 13:14:00,SOLD,42200,2374.0,100182800.0,200367294.59999993,False
TITAN,2021-12-28 13:24:00,BOUGHT,42200,2377.5,100330500.0,100036794.59999993,False
TITAN,2021-12-28 13:26:00,SOLD,42037,2379.7,100035448.89999999,200072243.49999994,False
TITAN,2021-12-28 13:32:00,BOUGHT,42037,2377.5,99942967.5,100129275.99999994,False
TITAN,2021-12-28 13:34:00,SOLD,42104,2378.1,100127522.39999999,200256798.39999992,False
TITAN,2021-12-28 13:37:00,BOUGHT,42104,2377.4,100098049.60000001,100158748.79999991,False
TITAN,2021-12-28 13:38:00,BOUGHT,42154,2376.0,100157904.0,844.7999999076128,True
TITAN,2021-12-28 13:49:00,SOLD,42154,2378.25,100252750.5,100253595.29999991,True
TITAN,2021-12-28 13:50:00,SOLD,42150,2378.45,100251667.49999999,200505262.7999999,False
TITAN,2021-12-28 14:19:00,BOUGHT,42150,2382.0,100401300.0,100103962.7999999,False
TITAN,2021-12-28 14:20:00,BOUGHT,42026,2381.95,100103830.69999999,132.09999990463257,True
TITAN,2021-12-28 14:27:00,SOLD,42026,2380.9,100059703.4,100059835.49999991,True
TITAN,2021-12-28 14:28:00,SOLD,42015,2381.5,100058722.5,200118557.9999999,False
TITAN,2021-12-28 14:29:00,BOUGHT,42015,2380.0,99995700.0,100122857.99999991,False
TITAN,2021-12-28 14:30:00,BOUGHT,42072,2379.75,100120842.0,2015.999999910593,True
TITAN,2021-12-28 14:50:00,SOLD,42072,2372.85,99830545.2,99832561.19999991,True
TITAN,2021-12-28 14:51:00,SOLD,42070,2373.0,99832110.0,199664671.19999993,False
TITAN,2021-12-28 14:58:00,BOUGHT,42070,2371.9,99785833.0,99878838.19999993,False
TITAN,2021-12-28 15:00:00,SOLD,42043,2375.6,99877350.8,199756188.99999994,False
TITAN,2021-12-28 15:28:00,BOUGHT,42043,2378.4,99995071.2,99761117.79999994,False
TITAN,2021-12-28 15:29:00,BOUGHT,41951,2378.0,99759478.0,1639.7999999374151,True
